topic_no	test_statistic	p-value	topic_words
topic_17	44.50659712548014	0.0	world time professor life earth human people find form mind 
topic_26	41.926025636108406	0.0	air light earth foot mile ship little city machine speed 
topic_44	28.55799312524201	1.0653591589954465e-165	ship time take planet work space mind want screen kinnison 
topic_38	23.31772077285289	5.567864730632896e-114	island reply day sea harding take captain water time engineer 
topic_8	18.37057975001054	6.935589976302506e-73	time reply warrior turn return find take cabot eye people 
topic_19	18.192807892835077	7.254012632423268e-72	water tree time find little rock fire day place foot 
topic_28	16.424615172715296	3.9281388488189644e-59	war country people england government english take day american general 
topic_18	14.924459808784945	1.8466016888975332e-49	hand cry face eye stand arm head fall voice foot 
topic_48	12.323289862807915	1.8152295823885495e-34	captain boat ship sea water deck sail take time board 
topic_9	3.662168511293387	0.0002524866083499429	book story author boy york life ii write novel work 
topic_5	2.314507824384833	0.02066632958059145	thou god thee thy priest day city lord people give 
topic_20	0.5519544236996848	0.5809990751433686	croft hand woman citizen friend sir give chauvelin whilst hour 
topic_39	-0.8258920757845905	0.40889572606399704	eye look hand face little white head stand voice light 
topic_27	-2.2581541503121443	0.023964401781186653	jurgen barker quite really saltash fisher look little talk wilkins 
topic_46	-2.4880710095537455	0.012867304487218421	horse ride trail ranch señor indian neale phantom camp san 
topic_34	-3.6700287465856003	0.00024431074957974785	armstrong storm sin spargo girl old underwood maitland shaw nixon 
topic_32	-4.151978967939358	3.333158162688847e-05	work money business want company dollar people day take office 
topic_4	-4.231472363027411	2.3451880669316802e-05	want stone find look mean room right fleming kill detective 
topic_40	-4.8657835354745025	1.1661185701710066e-06	life woman feel world day eye heart mind face night 
topic_37	-6.337089775647921	2.4988150469621586e-10	old look take little want hand boy head right eye 
topic_21	-9.217565213888566	3.7039097723050234e-20	colonel smith wogan forbes amory tristram ballard hagar gilead sir 
topic_45	-9.43150225725609	4.738972969287376e-21	ye wi th lord take woman hear minister day time 
topic_3	-10.07346906107124	9.488732812153481e-24	doctor dr sir nurse patient take wint room bed right 
topic_15	-11.132736006406825	1.2364379481306045e-28	soldier officer general army colonel take fight order war captain 
topic_25	-13.856741723299912	3.285825011318669e-43	horse ride road take time saddle look hear turn leave 
topic_11	-15.058128504392808	1.0537195732535332e-50	car take find time kennedy work office street right look 
topic_7	-15.52719291980591	4.5492491742078115e-54	take piers eaton time lupin house police give westerham duvall 
topic_43	-17.587922034019932	8.611791017510657e-68	time take day matter give fact find present case course 
topic_0	-18.642495781265346	5.612890402053899e-77	markham jones detective room murder find case call gubb night 
topic_31	-18.824171547016867	1.0953607815815579e-77	sir lord master thou take ti cry knight gentleman thee 
topic_36	-19.056069067304165	4.393508438237841e-80	ye old right de boy fer git dat take want 
topic_23	-19.73744955839906	1.0391533701653046e-85	de duke count monsieur st la answer mademoiselle sword countess 
topic_35	-19.944564293678447	2.8885947739739348e-86	woman eye girl smile beautiful dress room play old white 
topic_2	-19.961991098524482	1.5486477405870682e-86	house old day road little year father walk look tree 
topic_14	-20.44928627917481	2.3139883078619078e-92	cleek ste night sir hartley time verbeck little captain black 
topic_10	-20.78976645510555	2.7832495984211056e-95	pan time give god take head zagloba hand eye kmita 
topic_16	-22.561729603447397	9.53122498367971e-112	look answer sir find reply take want time turn give 
topic_6	-23.545743257428683	1.2360946758907261e-118	door room house open window light night look take stand 
topic_24	-24.48486875303002	3.820831760511651e-131	godfrey giles take father herrick look find money give murder 
topic_42	-25.007595841044402	1.0558080405847815e-136	little answer look hand take time declare sir remark room 
topic_49	-25.115527634910602	8.21903167271862e-138	sir look take give money find woman leave murder quite 
topic_30	-25.313059836110718	5.15137501266253e-140	countess count vittoria italian italy rome san visconti beppo speak 
topic_41	-26.969452900820087	3.363312476367205e-158	look take feel levin newman talk willoughby people give want 
topic_47	-27.883104640472528	9.97201496366002e-169	london take find police leave sir day reply time hotel 
topic_33	-28.76002570405263	1.9340141164679603e-179	look find give house take room word hear eye leave 
topic_13	-31.335038343186252	8.733697097966355e-212	de madame monsieur la mademoiselle little french ah day rue 
topic_1	-38.78366117439966	9.225527027556323e-303	look eye face take hand answer turn speak time word 
topic_12	-39.61455446036204	0.0	sir case murder find take inspector evidence police holmes body 
topic_29	-39.71176975969487	0.0	father heart woman hand day life mother face take word 
topic_22	-43.815049087017684	0.0	little look want take girl time day dear old mother 
