topic_no	test_statistic	p-value	topic_words
topic_3	90.15481014288508	0.0	sir take find case murder give leave time look house 
topic_0	46.33674867451604	0.0	door room look house open light hand window stand turn 
topic_14	36.35293503333001	1.682222886115552e-276	take want time right look find car work give hand 
topic_5	28.40706545542167	7.882865920686435e-172	little look answer take hand sir time want turn room 
topic_7	-2.0583160426774003	0.039570635984707336	countess wint hear look take levin vittoria friend speak hand 
topic_8	-2.0666261592727198	0.03878006964838969	look eye hand hanaud smile face turn take señor gray 
topic_19	-2.509385014082583	0.012101509470201983	de monsieur madame la mademoiselle take little hand st give 
topic_12	-7.313501171460287	2.689007918075804e-13	time day fact find life give take mind matter present 
topic_11	-12.23540138687437	2.4510664157358184e-34	ye old de right take look hand time fer want 
topic_15	-17.114432617915575	2.6988888668761227e-65	look little take want old time girl day give mother 
topic_1	-20.981872784583352	8.568024840383438e-97	eye face look hand woman word heart speak life voice 
topic_10	-22.790116944994754	9.239469010716668e-114	woman old life eye world little book year white story 
topic_17	-23.581122577932273	6.686689658116849e-122	captain boat sea ship water deck island take time sail 
topic_18	-30.461224622509665	5.138276141652775e-200	time give take pan hand god head hear day eye 
topic_9	-31.777569093775973	3.4187822387890757e-218	hand cry foot stand head face eye fall arm turn 
topic_4	-39.44004483861871	0.0	little look day horse tree old time road water hill 
topic_2	-39.55464947120112	0.0	earth time ship planet space light take air world work 
topic_6	-45.301027656224754	0.0	colonel war general take officer army soldier day order time 
topic_16	-47.355494661484215	0.0	thou god thee thy father day priest hand lord heart 
topic_13	-48.28835425485357	0.0	sir lord take master duke hand cry gentleman give horse 
