topic_no	test_statistic	p-value	topic_words
topic_22	60.412638664814324	0.0	little look want take girl time day dear old mother 
topic_40	46.17821385216925	0.0	life woman feel world day eye heart mind face night 
topic_35	33.829843315861524	1.6215221131278224e-242	woman eye girl smile beautiful dress room play old white 
topic_1	30.722781286324807	6.946470998962313e-202	look eye face take hand answer turn speak time word 
topic_39	25.41401026345095	1.0155496139332194e-139	eye look hand face little white head stand voice light 
topic_32	23.866026134229916	3.166664081097805e-123	work money business want company dollar people day take office 
topic_41	22.757882582080008	4.4257562878393085e-112	look take feel levin newman talk willoughby people give want 
topic_2	17.201184697218142	9.137659485132334e-66	house old day road little year father walk look tree 
topic_37	13.13515475293247	3.051441785610982e-39	old look take little want hand boy head right eye 
topic_36	12.362586372427039	6.119858308280372e-35	ye old right de boy fer git dat take want 
topic_45	12.109383860189906	1.4805911467687017e-33	ye wi th lord take woman hear minister day time 
topic_3	11.583079525935233	6.735282682670025e-31	doctor dr sir nurse patient take wint room bed right 
topic_46	11.460334513968396	2.743196303152772e-30	horse ride trail ranch señor indian neale phantom camp san 
topic_29	11.008296614148973	4.25121395741421e-28	father heart woman hand day life mother face take word 
topic_34	10.492152893853293	1.1517630518602849e-25	armstrong storm sin spargo girl old underwood maitland shaw nixon 
topic_21	8.633406061712813	6.496366071931528e-18	colonel smith wogan forbes amory tristram ballard hagar gilead sir 
topic_30	1.0737035107592778	0.28296678599162917	countess count vittoria italian italy rome san visconti beppo speak 
topic_27	0.6785970784871825	0.49739963747659954	jurgen barker quite really saltash fisher look little talk wilkins 
topic_25	0.506576313978504	0.6124570678897125	horse ride road take time saddle look hear turn leave 
topic_9	-0.7166691209300798	0.47358497004866207	book story author boy york life ii write novel work 
topic_43	-2.1789856026268613	0.029343699099893775	time take day matter give fact find present case course 
topic_48	-2.845140825959743	0.004443345298783484	captain boat ship sea water deck sail take time board 
topic_23	-7.608749541134233	2.861273743998191e-14	de duke count monsieur st la answer mademoiselle sword countess 
topic_19	-7.712334882906678	1.2814695929644033e-14	water tree time find little rock fire day place foot 
topic_7	-8.926818837915182	4.614572529142465e-19	take piers eaton time lupin house police give westerham duvall 
topic_13	-9.002862629593691	2.329122517346454e-19	de madame monsieur la mademoiselle little french ah day rue 
topic_4	-9.740452583594626	2.1734091245428336e-22	want stone find look mean room right fleming kill detective 
topic_14	-11.423098374567328	3.656657135662279e-30	cleek ste night sir hartley time verbeck little captain black 
topic_11	-11.791249828056827	5.06975563164493e-32	car take find time kennedy work office street right look 
topic_0	-11.798813879805893	4.599318937151154e-32	markham jones detective room murder find case call gubb night 
topic_24	-12.227876218368845	2.62619966499764e-34	godfrey giles take father herrick look find money give murder 
topic_49	-13.068005007065409	6.308895786077335e-39	sir look take give money find woman leave murder quite 
topic_20	-14.474717178395045	2.458048820737187e-47	croft hand woman citizen friend sir give chauvelin whilst hour 
topic_18	-15.963808436500992	4.5622063997258345e-57	hand cry face eye stand arm head fall voice foot 
topic_16	-17.23964476389147	3.0389648121277014e-66	look answer sir find reply take want time turn give 
topic_8	-18.03091051423835	3.2195734693107393e-72	time reply warrior turn return find take cabot eye people 
topic_31	-18.727791136379913	8.096977176896299e-78	sir lord master thou take ti cry knight gentleman thee 
topic_10	-18.873727497732506	7.21455879328608e-79	pan time give god take head zagloba hand eye kmita 
topic_33	-19.42294542693011	1.6277869390500387e-83	look find give house take room word hear eye leave 
topic_6	-20.49608375779058	1.1677779912081413e-92	door room house open window light night look take stand 
topic_28	-22.47167217984641	5.43383868272625e-111	war country people england government english take day american general 
topic_38	-22.793736955808335	9.682260571215876e-114	island reply day sea harding take captain water time engineer 
topic_5	-22.843591374682322	1.3451878626497172e-114	thou god thee thy priest day city lord people give 
topic_15	-25.885449152111136	3.190724202408171e-146	soldier officer general army colonel take fight order war captain 
topic_44	-26.87073707752611	1.515851284911635e-156	ship time take planet work space mind want screen kinnison 
topic_47	-27.85311812526124	1.240537004152432e-168	london take find police leave sir day reply time hotel 
topic_17	-28.02573241571892	8.686315474235366e-171	world time professor life earth human people find form mind 
topic_42	-29.830864493923865	7.116408306789094e-192	little answer look hand take time declare sir remark room 
topic_26	-34.39833715562091	1.110944093549292e-253	air light earth foot mile ship little city machine speed 
topic_12	-44.108369517646494	0.0	sir case murder find take inspector evidence police holmes body 
