Distributed	VERB	distribute
Proofreaders	NOUN	proofreader
THE	DET	the
LOUDWATER	PROPN	LOUDWATER
MYSTERY	PROPN	MYSTERY
BY	PROPN	BY
EDGAR	PROPN	EDGAR
JEPSON	PROPN	JEPSON
1920	NUM	1920
CHAPTER	NOUN	chapter
I	NUM	i
Lord	PROPN	Lord
Loudwater	PROPN	Loudwater
was	AUX	be
paying	VERB	pay
attention	NOUN	attention
neither	CCONJ	neither
to	ADP	to
his	PRON	his
breakfast	NOUN	breakfast
nor	CCONJ	nor
to	ADP	to
the	DET	the
cat	NOUN	cat
Melchisidec	PROPN	Melchisidec
.	PUNCT	.
Absorbed	VERB	absorb
in	ADP	in
a	DET	a
leader	NOUN	leader
in	ADP	in
_	SYM	_
The	DET	the
Times	PROPN	Times
_	PUNCT	_
newspaper	NOUN	newspaper
,	PUNCT	,
now	ADV	now
and	CCONJ	and
again	ADV	again
he	PRON	he
tugged	VERB	tug
at	ADP	at
his	PRON	his
red	ADJ	red
-	PUNCT	-
brown	ADJ	brown
beard	NOUN	beard
in	ADP	in
order	NOUN	order
to	PART	to
quicken	VERB	quicken
his	PRON	his
comprehension	NOUN	comprehension
of	ADP	of
the	DET	the
weighty	ADJ	weighty
phrases	NOUN	phrase
of	ADP	of
the	DET	the
leader	NOUN	leader
-	PUNCT	-
writer	NOUN	writer
;	PUNCT	;
now	ADV	now
and	CCONJ	and
again	ADV	again
he	PRON	he
made	VERB	make
noises	NOUN	noise
,	PUNCT	,
chiefly	ADV	chiefly
with	ADP	with
his	PRON	his
nose	NOUN	nose
,	PUNCT	,
expressive	ADJ	expressive
of	ADP	of
disgust	NOUN	disgust
.	PUNCT	.
Lady	PROPN	Lady
Loudwater	PROPN	Loudwater
paid	VERB	pay
no	DET	no
attention	NOUN	attention
to	ADP	to
these	DET	these
noises	NOUN	noise
.	PUNCT	.
She	PRON	she
did	AUX	do
not	PART	not
even	ADV	even
raise	VERB	raise
her	PRON	her
eyes	NOUN	eye
to	ADP	to
her	PRON	her
husband	NOUN	husband
's	PART	's
face	NOUN	face
.	PUNCT	.
She	PRON	she
ate	VERB	eat
her	PRON	her
breakfast	NOUN	breakfast
with	ADP	with
a	DET	a
thoughtful	ADJ	thoughtful
air	NOUN	air
,	PUNCT	,
her	PRON	her
brow	NOUN	brow
puckered	ADJ	puckered
by	ADP	by
a	DET	a
faint	ADJ	faint
frown	NOUN	frown
.	PUNCT	.
She	PRON	she
also	ADV	also
paid	VERB	pay
no	DET	no
attention	NOUN	attention
to	ADP	to
her	PRON	her
favourite	NOUN	favourite
,	PUNCT	,
Melchisidec	PROPN	Melchisidec
.	PUNCT	.
Melchisidec	PROPN	Melchisidec
,	PUNCT	,
unduly	ADV	unduly
excited	VERB	excite
by	ADP	by
the	DET	the
smell	NOUN	smell
of	ADP	of
grilled	VERB	grill
sole	NOUN	sole
,	PUNCT	,
came	VERB	come
to	ADP	to
Lord	PROPN	Lord
Loudwater	PROPN	Loudwater
,	PUNCT	,
rose	VERB	rise
on	ADP	on
his	PRON	his
hind	ADJ	hind
legs	NOUN	leg
,	PUNCT	,
laid	VERB	lay
his	PRON	his
paws	NOUN	paw
on	ADP	on
his	PRON	his
trousers	NOUN	trouser
,	PUNCT	,
and	CCONJ	and
stuck	VERB	stick
some	DET	some
claws	NOUN	claw
into	ADP	into
his	PRON	his
thigh	NOUN	thigh
.	PUNCT	.
It	PRON	it
was	AUX	be
no	DET	no
more	ADJ	more
than	ADP	than
gentle	ADJ	gentle
,	PUNCT	,
arresting	ADJ	arresting
pricks	NOUN	prick
;	PUNCT	;
but	CCONJ	but
the	DET	the
tender	ADJ	tender
nobleman	NOUN	nobleman
sprang	VERB	spring
from	ADP	from
his	PRON	his
chair	NOUN	chair
with	ADP	with
a	DET	a
short	ADJ	short
howl	NOUN	howl
,	PUNCT	,
kicked	VERB	kick
with	ADP	with
futile	ADJ	futile
violence	NOUN	violence
a	DET	a
portion	NOUN	portion
of	ADP	of
the	DET	the
empty	ADJ	empty
air	NOUN	air
which	DET	which
Melchisidec	PROPN	Melchisidec
had	AUX	have
just	ADV	just
vacated	VERB	vacate
,	PUNCT	,
staggered	VERB	stagger
,	PUNCT	,
and	CCONJ	and
nearly	ADV	nearly
fell	VERB	fall
.	PUNCT	.
Lady	PROPN	Lady
Loudwater	PROPN	Loudwater
did	AUX	do
not	PART	not
laugh	VERB	laugh
;	PUNCT	;
