SANT	PROPN	SANT
'	PROPN	'
ILARIO	PROPN	ILARIO
BY	PROPN	BY
F.	PROPN	F.
MARION	PROPN	MARION
CRAWFORD	PROPN	CRAWFORD
AUTHOR	PROPN	AUTHOR
OF	ADP	of
""""	PUNCT	""""
MR	PROPN	MR
.	PROPN	.
ISAACS	PROPN	ISAACS
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
DR	PROPN	DR
.	PROPN	.
CLAUDIUS	PROPN	CLAUDIUS
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
ZOROASTER	PROPN	ZOROASTER
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
A	DET	a
TALE	NOUN	tale
OF	ADP	of
A	PROPN	A
LONELY	ADJ	lonely
PARISH	PROPN	PARISH
,	PUNCT	,
""""	PUNCT	""""
ETC	PROPN	ETC
.	PUNCT	.
TO	PROPN	TO
My	PRON	my
Wife	NOUN	wife
THIS	DET	this
SECOND	ADJ	second
PART	NOUN	part
OF	ADP	of
""""	PUNCT	""""
SARACINESCA	PROPN	SARACINESCA
""""	PUNCT	""""
IS	AUX	be
LOVINGLY	ADV	lovingly
DEDICATED	VERB	dedicate
CHAPTER	NOUN	chapter
I.	PUNCT	I.
Two	NUM	two
years	NOUN	year
of	ADP	of
service	NOUN	service
in	ADP	in
the	DET	the
Zouaves	PROPN	Zouaves
had	AUX	have
wrought	VERB	work
a	DET	a
change	NOUN	change
in	ADP	in
Anastase	PROPN	Anastase
Gouache	PROPN	Gouache
,	PUNCT	,
the	DET	the
painter	NOUN	painter
.	PUNCT	.
He	PRON	he
was	AUX	be
still	ADV	still
a	DET	a
light	ADJ	light
man	NOUN	man
,	PUNCT	,
nervously	ADV	nervously
built	VERB	build
,	PUNCT	,
with	ADP	with
small	ADJ	small
hands	NOUN	hand
and	CCONJ	and
feet	NOUN	foot
,	PUNCT	,
and	CCONJ	and
a	DET	a
delicate	ADJ	delicate
face	NOUN	face
;	PUNCT	;
but	CCONJ	but
constant	ADJ	constant
exposure	NOUN	exposure
to	ADP	to
the	DET	the
weather	NOUN	weather
had	AUX	have
browned	VERB	brown
his	PRON	his
skin	NOUN	skin
,	PUNCT	,
and	CCONJ	and
a	DET	a
life	NOUN	life
of	ADP	of
unceasing	ADJ	unceasing
activity	NOUN	activity
had	AUX	have
strengthened	VERB	strengthen
his	PRON	his
sinews	NOUN	sinew
and	CCONJ	and
hardened	VERB	harden
his	PRON	his
compact	ADJ	compact
frame	NOUN	frame
.	PUNCT	.
The	DET	the
clustering	VERB	cluster
black	ADJ	black
curls	NOUN	curl
were	AUX	be
closely	ADV	closely
cropped	VERB	crop
,	PUNCT	,
too	ADV	too
,	PUNCT	,
while	SCONJ	while
the	DET	the
delicate	ADJ	delicate
dark	NOUN	dark
moustache	NOUN	moustache
had	AUX	have
slightly	ADV	slightly
thickened	VERB	thicken
.	PUNCT	.
He	PRON	he
had	AUX	have
grown	VERB	grow
to	PART	to
be	AUX	be
a	DET	a
very	ADV	very
soldierly	ADJ	soldierly
young	ADJ	young
fellow	NOUN	fellow
,	PUNCT	,
straight	ADJ	straight
and	CCONJ	and
alert	ADJ	alert
,	PUNCT	,
quick	ADJ	quick
of	ADP	of
hand	NOUN	hand
and	CCONJ	and
eye	NOUN	eye
,	PUNCT	,
inured	ADJ	inured
to	ADP	to
that	DET	that
perpetual	ADJ	perpetual
readiness	NOUN	readiness
which	DET	which
is	AUX	be
the	DET	the
first	ADJ	first
characteristic	NOUN	characteristic
of	ADP	of
the	DET	the
good	NOUN	good
soldier	NOUN	soldier
,	PUNCT	,
whether	SCONJ	whether
in	ADP	in
peace	NOUN	peace
or	CCONJ	or
war	NOUN	war
.	PUNCT	.
The	DET	the
dreamy	ADJ	dreamy
look	NOUN	look
that	PRON	that
was	AUX	be
so	ADV	so
often	ADV	often
in	ADP	in
his	PRON	his
face	NOUN	face
in	ADP	in
the	DET	the
days	NOUN	day
when	SCONJ	when
he	PRON	he
sat	VERB	sit
upon	SCONJ	upon
a	DET	a
high	ADJ	high
stool	NOUN	stool
painting	VERB	paint
the	DET	the
portrait	NOUN	portrait
of	ADP	of
Donna	PROPN	Donna
Tullia	PROPN	Tullia
Mayer	PROPN	Mayer
,	PUNCT	,
had	AUX	have
given	VERB	give
place	NOUN	place
to	ADP	to
an	DET	an
expression	NOUN	expression
of	ADP	of
wide	ADV	wide
-	PUNCT	-
awake	NOUN	awake
curiosity	NOUN	curiosity
in	ADP	in
the	DET	the
world	NOUN	world
's	PART	's
doings	NOUN	doing
.	PUNCT	.
Anastase	PROPN	Anastase
was	AUX	be
an	DET	an
artist	NOUN	artist
by	ADP	by
nature	NOUN	nature
and	CCONJ	and
no	DET	no
amount	NOUN	amount
of	ADP	of
military	ADJ	military
service	NOUN	service
could	AUX	could
crush	VERB	crush
the	DET	the
chief	ADJ	chief
aspirations	NOUN	aspiration
of	ADP	of
his	PRON	his
intelligence	NOUN	intelligence
.	PUNCT	.
He	PRON	he
had	AUX	have
not	PART	not
abandoned	VERB	abandon
work	NOUN	work
since	SCONJ	since
he	PRON	he
had	AUX	have
joined	VERB	join
the	DET	the
Zouaves	PROPN	Zouaves
,	PUNCT	,
for	ADP	for
his	PRON	his
hours	NOUN	hour
of	ADP	of
leisure	NOUN	leisure
from	ADP	from
duty	NOUN	duty
were	AUX	be
passed	VERB	pass
in	ADP	in
his	PRON	his
studio	NOUN	studio
.	PUNCT	.
But	CCONJ	but
the	DET	the
change	NOUN	change
in	ADP	in
his	PRON	his
outward	ADJ	outward
appearance	NOUN	appearance
was	AUX	be
connected	VERB	connect
with	ADP	with
a	DET	a
similar	ADJ	similar
development	NOUN	development
in	ADP	in
his	PRON	his
character	NOUN	character
.	PUNCT	.
He	PRON	he
himself	PRON	himself
sometimes	ADV	sometimes
wondered	VERB	wonder
how	SCONJ	how
he	PRON	he
could	AUX	could
have	AUX	have
ever	ADV	ever
taken	VERB	take
any	ADJ	any
interest	NOUN	interest
in	ADP	in
the	DET	the
half	ADJ	half
-	PUNCT	-
hearted	ADJ	hearted
political	ADJ	political
fumbling	NOUN	fumbling
which	DET	which
Donna	PROPN	Donna
Tullia	PROPN	Tullia
,	PUNCT	,
Ugo	PROPN	Ugo
Del	PROPN	Del
Ferice	PROPN	Ferice
,	PUNCT	,
and	CCONJ	and
others	NOUN	other
of	ADP	of
their	PRON	their
set	NOUN	set
used	VERB	use
to	PART	to
dignify	VERB	dignify
by	ADP	by
the	DET	the
name	NOUN	name
of	ADP	of
conspiracy	NOUN	conspiracy
.	PUNCT	.
It	PRON	it
seemed	VERB	seem
to	ADP	to
him	PRON	he
that	SCONJ	that
his	PRON	his
ideas	NOUN	idea
must	AUX	must
at	ADP	at
that	DET	that
time	NOUN	time
have	AUX	have
been	AUX	be
deplorably	ADV	deplorably
confused	VERB	confuse
and	CCONJ	and
lamentably	ADV	lamentably
unsettled	VERB	unsettle
.	PUNCT	.
He	PRON	he
sometimes	ADV	sometimes
took	VERB	take
out	ADP	out
the	DET	the
old	ADJ	old
sketch	NOUN	sketch
of	ADP	of
Madame	PROPN	Madame
Mayer	PROPN	Mayer
's	PART	's
portrait	NOUN	portrait
,	PUNCT	,
and	CCONJ	and
setting	VERB	set
it	PRON	it
upon	SCONJ	upon
his	PRON	his
easel	NOUN	easel
,	PUNCT	,
tried	VERB	try
to	PART	to
realise	VERB	realise
and	CCONJ	and
bring	VERB	bring
back	ADV	back
those	DET	those
times	NOUN	time
when	SCONJ	when
she	PRON	she
had	AUX	have
sat	VERB	sit
for	ADP	for
him	PRON	he
.	PUNCT	.
He	PRON	he
could	AUX	could
recall	VERB	recall
Del	PROPN	Del
Ferice	PROPN	Ferice
's	PART	's
mock	ADJ	mock
heroics	NOUN	heroic
,	PUNCT	,
Donna	PROPN	Donna
Tullia	PROPN	Tullia
's	PART	's
ill	ADV	ill
-	PUNCT	-
expressed	VERB	express
invectives	NOUN	invective
,	PUNCT	,
and	CCONJ	and
his	PRON	his
own	ADJ	own
half	ADJ	half
-	PUNCT	-
sarcastic	ADJ	sarcastic
sympathy	NOUN	sympathy
in	ADP	in
the	DET	the
liberal	ADJ	liberal
movement	NOUN	movement
;	PUNCT	;
but	CCONJ	but
the	DET	the
young	ADJ	young
fellow	NOUN	fellow
in	ADP	in
an	DET	an
old	ADJ	old
velveteen	ADJ	velveteen
jacket	NOUN	jacket
who	PRON	who
used	VERB	use
to	PART	to
talk	VERB	talk
glibly	ADV	glibly
about	ADP	about
the	DET	the
guillotine	NOUN	guillotine
,	PUNCT	,
about	ADP	about
stringing	VERB	string
-	PUNCT	-
up	ADP	up
the	DET	the
clericals	NOUN	clerical
to	ADP	to
street	NOUN	street
-	PUNCT	-
lamps	NOUN	lamp
and	CCONJ	and
turning	VERB	turn
the	DET	the
churches	NOUN	church
into	ADP	into
popular	ADJ	popular
theatres	NOUN	theatre
,	PUNCT	,
was	AUX	be
surely	ADV	surely
not	PART	not
the	DET	the
energetic	ADJ	energetic
,	PUNCT	,
sunburnt	ADJ	sunburnt
Zouave	PROPN	Zouave
who	PRON	who
had	AUX	have
been	AUX	be
hunting	VERB	hunt
down	ADP	down
brigands	NOUN	brigand
in	ADP	in
the	DET	the
Samnite	PROPN	Samnite
hills	NOUN	hill
last	ADJ	last
summer	NOUN	summer
,	PUNCT	,
who	PRON	who
spent	VERB	spend
three	NUM	three
-	PUNCT	-
fourths	NOUN	fourth
of	ADP	of
his	PRON	his
time	NOUN	time
among	ADP	among
soldiers	NOUN	soldier
like	ADP	like
himself	PRON	himself
,	PUNCT	,
and	CCONJ	and
who	PRON	who
had	AUX	have
pledged	VERB	pledge
his	PRON	his
honour	NOUN	honour
to	PART	to
follow	VERB	follow
the	DET	the
gallant	ADJ	gallant
Charette	PROPN	Charette
and	CCONJ	and
defend	VERB	defend
the	DET	the
Pope	PROPN	Pope
as	ADV	as
long	ADV	long
as	ADP	as
he	PRON	he
could	AUX	could
carry	VERB	carry
a	DET	a
musket	NOUN	musket
.	PUNCT	.
There	PRON	there
is	AUX	be
a	DET	a
sharp	ADJ	sharp
dividing	VERB	divide
line	NOUN	line
between	ADP	between
youth	NOUN	youth
and	CCONJ	and
manhood	NOUN	manhood
.	PUNCT	.
Sometimes	ADV	sometimes
we	PRON	we
cross	VERB	cross
it	PRON	it
early	ADV	early
,	PUNCT	,
and	CCONJ	and
sometimes	ADV	sometimes
late	ADV	late
,	PUNCT	,
but	CCONJ	but
we	PRON	we
do	AUX	do
not	PART	not
know	VERB	know
that	SCONJ	that
we	PRON	we
are	AUX	be
passing	VERB	pass
from	ADP	from
one	NUM	one
life	NOUN	life
to	ADP	to
another	DET	another
as	ADP	as
we	PRON	we
step	VERB	step
across	ADP	across
the	DET	the
boundary	NOUN	boundary
.	PUNCT	.
The	DET	the
world	NOUN	world
seems	VERB	seem
to	ADP	to
us	PRON	we
the	DET	the
same	ADJ	same
for	ADP	for
a	DET	a
while	NOUN	while
,	PUNCT	,
as	ADP	as
we	PRON	we
knew	VERB	know
it	PRON	it
yesterday	NOUN	yesterday
and	CCONJ	and
shall	AUX	shall
know	VERB	know
it	PRON	it
to	ADP	to
-	PUNCT	-
morrow	NOUN	morrow
.	PUNCT	.
Suddenly	ADV	suddenly
,	PUNCT	,
we	PRON	we
look	VERB	look
back	ADV	back
and	CCONJ	and
start	VERB	start
with	ADP	with
astonishment	NOUN	astonishment
when	SCONJ	when
we	PRON	we
see	VERB	see
the	DET	the
past	NOUN	past
,	PUNCT	,
which	DET	which
we	PRON	we
thought	VERB	think
so	ADV	so
near	ADJ	near
,	PUNCT	,
already	ADV	already
vanishing	VERB	vanish
in	ADP	in
the	DET	the
distance	NOUN	distance
,	PUNCT	,
shapeless	ADJ	shapeless
,	PUNCT	,
confused	ADJ	confused
,	PUNCT	,
and	CCONJ	and
estranged	ADJ	estranged
from	ADP	from
our	PRON	our
present	ADJ	present
selves	NOUN	self
.	PUNCT	.
Then	ADV	then
,	PUNCT	,
we	PRON	we
know	VERB	know
that	SCONJ	that
we	PRON	we
are	AUX	be
men	NOUN	man
,	PUNCT	,
and	CCONJ	and
acknowledge	VERB	acknowledge
,	PUNCT	,
with	ADP	with
something	PRON	something
like	ADP	like
a	DET	a
sigh	NOUN	sigh
,	PUNCT	,
that	SCONJ	that
we	PRON	we
have	AUX	have
put	VERB	put
away	ADP	away
childish	ADJ	childish
things	NOUN	thing
.	PUNCT	.
When	SCONJ	when
Gouache	PROPN	Gouache
put	VERB	put
on	ADP	on
the	DET	the
gray	ADJ	gray
jacket	NOUN	jacket
,	PUNCT	,
the	DET	the
red	ADJ	red
sash	NOUN	sash
and	CCONJ	and
the	DET	the
yellow	NOUN	yellow
gaiters	NOUN	gaiter
,	PUNCT	,
he	PRON	he
