Murder	NOUN	murder
in	ADP	in
the	DET	the
Maze	NOUN	maze
by	ADP	by
J.	PROPN	J.
J.	PROPN	J.
Connington	PROPN	Connington
CONTENTS	NOUN	content
I.	PUNCT	I.
The	DET	the
Hackleton	PROPN	Hackleton
Case	NOUN	case
II	X	ii
.	PUNCT	.
The	DET	the
Affair	NOUN	affair
in	ADP	in
the	DET	the
Maze	NOUN	maze
III	X	iii
.	PUNCT	.
The	DET	the
Immediate	ADJ	immediate
Results	NOUN	result
IV	X	iv
.	PUNCT	.
The	DET	the
Chief	PROPN	Chief
Constable	NOUN	constable
V.	PUNCT	V.
The	DET	the
Evidence	NOUN	evidence
in	ADP	in
the	DET	the
Case	NOUN	case
VI	X	vi
.	PUNCT	.
The	DET	the
Toxicologist	NOUN	toxicologist
VII	X	vii
.	PUNCT	.
The	DET	the
Pot	NOUN	pot
of	ADP	of
Curare	NOUN	curare
VIII	NUM	viii
.	PUNCT	.
Opportunity	NOUN	opportunity
,	PUNCT	,
Method	NOUN	method
,	PUNCT	,
and	CCONJ	and
Motive	NOUN	motive
IX	NUM	ix
.	PUNCT	.
The	DET	the
Burglary	NOUN	burglary
at	ADP	at
Whistlefield	PROPN	Whistlefield
X.	PUNCT	X.
The	DET	the
Third	ADJ	third
Attack	NOUN	attack
in	ADP	in
the	DET	the
Maze	PROPN	Maze
XI	NOUN	xi
.	PUNCT	.
The	DET	the
Squire	PROPN	Squire
's	PART	's
Theories	NOUN	theory
XII	NOUN	xii
.	PUNCT	.
The	DET	the
Fourth	ADJ	fourth
Attack	NOUN	attack
XIII	NOUN	xiii
.	PUNCT	.
The	DET	the
Dart	NOUN	dart
XIV	NOUN	xiv
.	PUNCT	.
The	DET	the
Forged	VERB	forge
Cheque	NOUN	cheque
XV	NOUN	xv
.	PUNCT	.
The	DET	the
Secretary	NOUN	secretary
's	PART	's
Affairs	NOUN	affair
XVI	NOUN	xvi
.	PUNCT	.
The	DET	the
Last	ADJ	last
Attack	NOUN	attack
in	ADP	in
the	DET	the
Maze	PROPN	Maze
XVII	NOUN	xvii
.	PUNCT	.
The	DET	the
Siege	NOUN	siege
of	ADP	of
the	DET	the
Maze	PROPN	Maze
XVIII	NOUN	xviii
.	PUNCT	.
The	DET	the
Truth	NOUN	truth
of	ADP	of
the	DET	the
Matter	NOUN	matter
CHAPTER	NOUN	chapter
I.	NUM	i.
The	DET	the
Hackleton	PROPN	Hackleton
Case	PROPN	Case
Neville	PROPN	Neville
Shandon	PROPN	Shandon
stood	VERB	stand
at	ADP	at
the	DET	the
window	NOUN	window
of	ADP	of
his	PRON	his
brother	NOUN	brother
's	PART	's
study	NOUN	study
gazing	VERB	gaze
contentedly	ADV	contentedly
out	ADV	out
over	ADP	over
the	DET	the
Whistlefield	PROPN	Whistlefield
grounds	NOUN	ground
.	PUNCT	.
This	DET	this
was	AUX	be
a	DET	a
good	ADJ	good
place	NOUN	place
to	PART	to
recuperate	VERB	recuperate
in	ADP	in
,	PUNCT	,
he	PRON	he
reflected	VERB	reflect
,	PUNCT	,
especially	ADV	especially
when	SCONJ	when
one	PRON	one
could	AUX	could
only	ADV	only
snatch	VERB	snatch
a	DET	a
couple	NOUN	couple
of	ADP	of
days	NOUN	day
at	ADP	at
a	DET	a
time	NOUN	time
from	ADP	from
the	DET	the
grinding	VERB	grind
pressure	NOUN	pressure
of	ADP	of
a	DET	a
barrister	NOUN	barrister
's	PART	's
practice	NOUN	practice
.	PUNCT	.
His	PRON	his
eye	NOUN	eye
travelled	VERB	travel
slowly	ADV	slowly
over	ADP	over
the	DET	the
prospect	NOUN	prospect
of	ADP	of
greenery	NOUN	greenery
which	DET	which
lay	VERB	lie
before	ADP	before
him	PRON	he
,	PUNCT	,
lawn	NOUN	lawn
beyond	ADP	beyond
lawn	NOUN	lawn
,	PUNCT	,
down	ADV	down
to	ADP	to
where	SCONJ	where
a	DET	a
glint	NOUN	glint
of	ADP	of
silver	NOUN	silver
showed	VERB	show
where	SCONJ	where
the	DET	the
river	NOUN	river
cut	VERB	cut
across	ADP	across
the	DET	the
estate	NOUN	estate
.	PUNCT	.
Beyond	ADP	beyond
that	DET	that
came	VERB	come
the	DET	the
stretches	NOUN	stretch
of	ADP	of
the	DET	the
Low	PROPN	Low
Meadows	PROPN	Meadows
,	PUNCT	,
intersected	VERB	intersect
here	ADV	here
and	CCONJ	and
there	ADV	there
by	ADP	by
the	DET	the
darker	NOUN	darker
green	NOUN	green
of	ADP	of
the	DET	the
hedges	NOUN	hedge
;	PUNCT	;
then	ADV	then
the	DET	the
long	ADJ	long
curve	NOUN	curve
of	ADP	of
the	DET	the
main	ADJ	main
road	NOUN	road
;	PUNCT	;
and	CCONJ	and
at	ADV	at
last	ADV	last
,	PUNCT	,
closing	VERB	close
the	DET	the
horizon	NOUN	horizon
,	PUNCT	,
the	DET	the
gentle	ADJ	gentle
slope	NOUN	slope
of	ADP	of
Longshoot	PROPN	Longshoot
Hill	PROPN	Hill
surmounted	VERB	surmount
by	ADP	by
its	PRON	its
church	NOUN	church
spire	NOUN	spire
.	PUNCT	.
A	DET	a
bee	NOUN	bee
hummed	VERB	hum
lazily	ADV	lazily
at	ADP	at
the	DET	the
open	ADJ	open
window	NOUN	window
;	PUNCT	;
then	ADV	then
,	PUNCT	,
startled	VERB	startle
by	ADP	by
a	DET	a
movement	NOUN	movement
,	PUNCT	,
it	PRON	it
shot	VERB	shoot
away	ADV	away
,	PUNCT	,
the	DET	the
note	NOUN	note
of	ADP	of
its	PRON	its
wings	NOUN	wing
growing	VERB	grow
higher	ADJ	high
and	CCONJ	and
fainter	ADJ	faint
as	ADP	as
it	PRON	it
receded	VERB	recede
in	ADP	in
the	DET	the
sunlight	NOUN	sunlight
.	PUNCT	.
The	DET	the
King	PROPN	King
's	PART	's
Counsel	PROPN	Counsel
let	VERB	let
his	PRON	his
attention	NOUN	attention
wander	VERB	wander
for	ADP	for
a	DET	a
moment	NOUN	moment
to	ADP	to
the	DET	the
rooks	NOUN	rook
sailing	VERB	sail
,	PUNCT	,
in	ADP	in
their	PRON	their
effortless	ADJ	effortless
flight	NOUN	flight
around	ADP	around
the	DET	the
tree	NOUN	tree
-	PUNCT	-
crests	NOUN	crest
by	ADP	by
the	DET	the
river	NOUN	river
;	PUNCT	;
then	ADV	then
,	PUNCT	,
with	ADP	with
something	PRON	something
more	ADJ	more
than	ADP	than
apparent	ADJ	apparent
reluctance	NOUN	reluctance
,	PUNCT	,
he	PRON	he
turned	VERB	turn
away	ADV	away
from	ADP	from
the	DET	the
landscape	NOUN	landscape
.	PUNCT	.
“	PUNCT	""""
You	PRON	you
did	AUX	do
pretty	ADV	pretty
well	ADV	well
when	SCONJ	when
you	PRON	you
bought	VERB	buy
Whistlefield	PROPN	Whistlefield
,	PUNCT	,
Roger	PROPN	Roger
,	PUNCT	,
”	PUNCT	""""
he	PRON	he
commented	VERB	comment
as	ADP	as
he	PRON	he
moved	VERB	move
back	ADV	back
into	ADP	into
the	DET	the
room	NOUN	room
.	PUNCT	.
“	PUNCT	""""
It	PRON	it
's	AUX	be
as	ADV	as
restful	ADJ	restful
a	DET	a
place	NOUN	place
as	ADP	as
I	PRON	I
know	VERB	know
.	PUNCT	.
If	SCONJ	if
it	PRON	it
were	AUX	be
n't	PART	not
that	SCONJ	that
I	PRON	I
can	AUX	can
get	VERB	get
down	ADV	down
here	ADV	here
from	ADP	from
time	NOUN	time
to	ADP	to
time	NOUN	time
,	PUNCT	,
I	PRON	I
'd	AUX	would
be	AUX	be
hard	ADV	hard
put	VERB	put
to	ADP	to
it	PRON	it
to	PART	to
keep	VERB	keep
fit	ADJ	fit
for	ADP	for
my	PRON	my
work	NOUN	work
.	PUNCT	.
Think	VERB	think
of	ADP	of
the	DET	the
Law	PROPN	Law
Courts	PROPN	Courts
on	ADP	on
a	DET	a
day	NOUN	day
like	ADP	like
this	DET	this
!	PUNCT	!
And	CCONJ	and
that	DET	that
Hackleton	PROPN	Hackleton
case	NOUN	case
has	AUX	have
been	AUX	be
a	DET	a
bit	NOUN	bit
of	ADP	of
a	DET	a
strain	NOUN	strain
,	PUNCT	,
a	DET	a
bigger	ADJ	big
business	NOUN	business
than	ADP	than
