Number	NOUN	number
Seventeen	NUM	seventeen
BY	PROPN	BY
Louis	PROPN	Louis
Tracy	PROPN	Tracy
1915	NUM	1915
CHAPTER	NOUN	chapter
I	NUM	i
THE	DET	the
OUTCOME	NOUN	outcome
OF	ADP	of
ARTISTIC	ADJ	artistic
CURIOSITY	NOUN	curiosity
""""	PUNCT	""""
Taxi	NOUN	taxi
,	PUNCT	,
sir	NOUN	sir
?	PUNCT	?
Yes	INTJ	yes
,	PUNCT	,
sir	NOUN	sir
.	PUNCT	.
No	NOUN	no
.	NOUN	.
4	NUM	4
will	AUX	will
be	AUX	be
yours	PRON	yours
.	PUNCT	.
""""	PUNCT	""""
A	DET	a
red	ADJ	red
-	PUNCT	-
faced	ADJ	faced
,	PUNCT	,
loud	ADV	loud
-	PUNCT	-
breathing	VERB	breathe
commissionaire	NOUN	commissionaire
,	PUNCT	,
engaged	VERB	engage
in	ADP	in
the	DET	the
lucrative	ADJ	lucrative
task	NOUN	task
of	ADP	of
pocketing	VERB	pocket
sixpences	NOUN	sixpence
as	ADV	as
quickly	ADV	quickly
as	ADP	as
he	PRON	he
could	AUX	could
summon	VERB	summon
cabs	NOUN	cab
,	PUNCT	,
vanished	VERB	vanish
in	ADP	in
a	DET	a
swirl	NOUN	swirl
of	ADP	of
macintoshes	NOUN	macintosh
and	CCONJ	and
umbrellas	NOUN	umbrella
.	PUNCT	.
People	NOUN	People
who	PRON	who
had	AUX	have
arrived	VERB	arrive
at	ADP	at
the	DET	the
theater	NOUN	theater
in	ADP	in
fine	ADJ	fine
weather	NOUN	weather
were	AUX	be
emerging	VERB	emerge
into	ADP	into
a	DET	a
drizzle	NOUN	drizzle
of	ADP	of
rain	NOUN	rain
.	PUNCT	.
""""	PUNCT	""""
All	DET	all
London	PROPN	London
,	PUNCT	,
""""	PUNCT	""""
as	ADP	as
the	DET	the
phrase	NOUN	phrase
goes	VERB	go
,	PUNCT	,
was	AUX	be
flocking	VERB	flock
to	PART	to
see	VERB	see
the	DET	the
latest	ADJ	late
musical	ADJ	musical
comedy	NOUN	comedy
at	ADP	at
Daly	PROPN	Daly
's	PART	's
,	PUNCT	,
but	CCONJ	but
all	DET	all
London	PROPN	London
,	PUNCT	,
regarded	VERB	regard
thus	ADV	thus
collectively	ADV	collectively
,	PUNCT	,
is	AUX	be
far	ADV	far
from	ADP	from
owning	VERB	own
motor	NOUN	motor
cars	NOUN	car
,	PUNCT	,
or	CCONJ	or
even	ADV	even
affording	VERB	afford
taxicabs	NOUN	taxicab
,	PUNCT	,
so	SCONJ	so
the	DET	the
majority	NOUN	majority
of	ADP	of
the	DET	the
play	NOUN	play
-	PUNCT	-
goers	NOUN	goer
were	AUX	be
hurrying	VERB	hurry
on	ADP	on
foot	NOUN	foot
towards	ADP	towards
tube	NOUN	tube
railways	NOUN	railway
and	CCONJ	and
omnibus	NOUN	omnibus
routes	NOUN	route
.	PUNCT	.
Still	ADV	still
,	PUNCT	,
a	DET	a
popular	ADJ	popular
light	NOUN	light
opera	NOUN	opera
could	AUX	could
hardly	ADV	hardly
fail	VERB	fail
to	PART	to
draw	VERB	draw
many	ADJ	many
patrons	NOUN	patron
from	ADP	from
the	DET	the
upper	ADJ	upper
ranks	NOUN	rank
of	ADP	of
society	NOUN	society
,	PUNCT	,
and	CCONJ	and
,	PUNCT	,
in	ADP	in
the	DET	the
crush	NOUN	crush
at	ADP	at
the	DET	the
main	ADJ	main
exit	NOUN	exit
,	PUNCT	,
Francis	PROPN	Francis
Berrold	PROPN	Berrold
Theydon	PROPN	Theydon
,	PUNCT	,
hesitating	VERB	hesitate
whether	SCONJ	whether
to	PART	to
walk	VERB	walk
or	CCONJ	or
wait	VERB	wait
the	DET	the
hazard	NOUN	hazard
of	ADP	of
a	DET	a
cab	NOUN	cab
,	PUNCT	,
deemed	VERB	deem
himself	PRON	himself
fortunate	ADJ	fortunate
when	SCONJ	when
a	DET	a
panting	VERB	pant
commissionaire	NOUN	commissionaire
promised	VERB	promise
to	PART	to
secure	VERB	secure
a	DET	a
taxi	NOUN	taxi
""""	PUNCT	""""
in	ADP	in
half	DET	half
a	DET	a
minute	NOUN	minute
.	PUNCT	.
""""	PUNCT	""""
Automobiles	NOUN	automobile
of	ADP	of
every	DET	every
known	ADJ	known
variety	NOUN	variety
were	AUX	be
snorting	VERB	snort
up	ADP	up
to	ADP	to
the	DET	the
curb	NOUN	curb
and	CCONJ	and
bustling	VERB	bustle
off	ADP	off
again	ADV	again
as	ADV	as
promptly	ADV	promptly
as	ADP	as
their	PRON	their
users	NOUN	user
could	AUX	could
enter	VERB	enter
and	CCONJ	and
bestow	VERB	bestow
themselves	PRON	themselves
in	ADP	in
dim	ADJ	dim
interiors	NOUN	interior
.	PUNCT	.
Being	AUX	be
a	DET	a
considerate	ADJ	considerate
person	NOUN	person
--	PUNCT	--
wishful	ADJ	wishful
also	ADV	also
to	PART	to
light	VERB	light
a	DET	a
cigarette	NOUN	cigarette
--	PUNCT	--
Theydon	PROPN	Theydon
moved	VERB	move
out	ADV	out
of	ADP	of
the	DET	the
way	NOUN	way
.	PUNCT	.
In	ADP	in
so	ADV	so
doing	VERB	do
,	PUNCT	,
he	PRON	he
was	AUX	be
cannoned	VERB	cannon
against	ADP	against
by	ADP	by
an	DET	an
impetuous	ADJ	impetuous
footman	NOUN	footman
,	PUNCT	,
whose	DET	whose
cry	NOUN	cry
,	PUNCT	,
""""	PUNCT	""""
Your	PRON	your
car	NOUN	car
,	PUNCT	,
sir	NOUN	sir
,	PUNCT	,
""""	PUNCT	""""
led	VERB	lead
him	PRON	he
to	PART	to
follow	VERB	follow
the	DET	the
man	NOUN	man
's	PART	's
alert	ADJ	alert
eyes	NOUN	eye
.	PUNCT	.
He	PRON	he
saw	VERB	see
a	DET	a
tall	ADJ	tall
,	PUNCT	,
elderly	ADJ	elderly
gentleman	NOUN	gentleman
,	PUNCT	,
with	ADP	with
clean	ADJ	clean
-	PUNCT	-
shaven	ADJ	shaven
,	PUNCT	,
shrewd	ADJ	shrewd
,	PUNCT	,
and	CCONJ	and
highly	ADV	highly
intelligent	ADJ	intelligent
features	NOUN	feature
,	PUNCT	,
of	ADP	of
the	DET	the
type	NOUN	type
which	DET	which
finance	NOUN	finance
,	PUNCT	,
or	CCONJ	or
the	DET	the
law	NOUN	law
,	PUNCT	,
or	CCONJ	or
a	NOUN	a
combination	NOUN	combination
of	ADP	of
both	DET	both
,	PUNCT	,
seems	VERB	seem
to	PART	to
evolve	VERB	evolve
only	ADV	only
in	ADP	in
big	ADJ	big
cities	NOUN	city
,	PUNCT	,
escorting	VERB	escort
a	DET	a
young	ADJ	young
lady	NOUN	lady
from	ADP	from
the	DET	the
vestibule	NOUN	vestibule
.	PUNCT	.
Then	ADV	then
Theydon	PROPN	Theydon
remembered	VERB	remember
that	SCONJ	that
he	PRON	he
had	AUX	have
