SILENCE	PROPN	SILENCE
his	PRON	his
country	NOUN	country
under	ADP	under
the	DET	the
domination	NOUN	domination
of	ADP	of
the	DET	the
Nazi	PROPN	Nazi
_	PUNCT	_
gestapo	NOUN	gestapo
_	PUNCT	_
.	PUNCT	.
At	ADP	at
other	ADJ	other
times	NOUN	time
,	PUNCT	,
the	DET	the
man	NOUN	man
seemed	VERB	seem
a	DET	a
genius	NOUN	genius
.	PUNCT	.
Perhaps	ADV	perhaps
that	DET	that
was	AUX	be
the	DET	the
answer	NOUN	answer
--	PUNCT	--
a	DET	a
mad	ADJ	mad
genius	NOUN	genius
!	PUNCT	!
Curtis	PROPN	Curtis
opened	VERB	open
the	DET	the
door	NOUN	door
and	CCONJ	and
looked	VERB	look
out	ADP	out
.	PUNCT	.
Rain	NOUN	rain
whipped	VERB	whip
against	ADP	against
his	PRON	his
face	NOUN	face
like	ADP	like
a	DET	a
stinging	ADJ	stinging
wet	ADJ	wet
lash	NOUN	lash
.	PUNCT	.
Overhead	ADV	overhead
,	PUNCT	,
the	DET	the
sky	NOUN	sky
was	AUX	be
a	DET	a
storm	NOUN	storm
-	PUNCT	-
racked	VERB	rack
mass	NOUN	mass
of	ADP	of
clouds	NOUN	cloud
,	PUNCT	,
broken	VERB	break
in	ADP	in
one	NUM	one
spot	NOUN	spot
by	ADP	by
a	DET	a
tiny	ADJ	tiny
patch	NOUN	patch
of	ADP	of
starlit	ADJ	starlit
blue	NOUN	blue
.	PUNCT	.
His	PRON	his
eyes	NOUN	eye
rested	VERB	rest
inquiringly	ADV	inquiringly
on	ADP	on
the	DET	the
face	NOUN	face
of	ADP	of
the	DET	the
man	NOUN	man
who	PRON	who
stood	VERB	stand
before	ADP	before
him	PRON	he
.	PUNCT	.
It	PRON	it
_	PUNCT	_
was	AUX	be
_	PUNCT	_
Nelson	PROPN	Nelson
,	PUNCT	,
his	PRON	his
shaggy	ADJ	shaggy
blond	ADJ	blond
brows	NOUN	brow
drawn	VERB	draw
scowlingly	ADV	scowlingly
down	ADV	down
over	ADP	over
his	PRON	his
