Slaves	NOUN	slave
of	ADP	of
Mercury	PROPN	Mercury
_	PUNCT	_
A	DET	a
Complete	ADJ	complete
Novelette	NOUN	novelette
_	PUNCT	_
By	ADP	by
Nat	PROPN	Nat
Schachner	PROPN	Schachner
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
CHAPTER	NOUN	chapter
I	NUM	i
_	PUNCT	_
The	DET	the
Space	PROPN	Space
Wanderer	NOUN	wanderer
Returns	VERB	return
_	PUNCT	_
[	X	[
Sidenote	X	sidenote
:	PUNCT	:
Hilary	PROPN	Hilary
returns	VERB	return
to	PART	to
find	VERB	find
alien	ADJ	alien
diskoids	NOUN	diskoid
in	ADP	in
Earth	PROPN	Earth
's	PART	's
stratosphere	NOUN	stratosphere
,	PUNCT	,
and	CCONJ	and
out	ADJ	out
-	PUNCT	-
world	NOUN	world
lords	NOUN	lord
patrolling	VERB	patrol
her	PRON	her
cities	NOUN	city
.	PUNCT	.
]	X	]
Hilary	PROPN	Hilary
Grendon	PROPN	Grendon
piloted	VERB	pilot
his	PRON	his
battered	VERB	batter
,	PUNCT	,
time	NOUN	time
-	PUNCT	-
worn	VERB	wear
space	NOUN	space
flier	NOUN	flier
,	PUNCT	,
the	DET	the
_	PUNCT	_
Vagabond	PROPN	Vagabond
_	PUNCT	_
,	PUNCT	,
to	ADP	to
the	DET	the
smiling	VERB	smile
Earth	PROPN	Earth
that	PRON	that
rose	VERB	rise
rapidly	ADV	rapidly
to	PART	to
greet	VERB	greet
it	PRON	it
.	PUNCT	.
Only	ADV	only
the	DET	the
instinctive	ADJ	instinctive
ease	NOUN	ease
of	ADP	of
long	ADJ	long
practise	NOUN	practise
prevented	VERB	prevent
a	DET	a
smash	NOUN	smash
-	PUNCT	-
up	NOUN	up
,	PUNCT	,
his	PRON	his
hands	NOUN	hand
trembled	VERB	tremble
so	ADV	so
at	ADP	at
the	DET	the
controls	NOUN	control
.	PUNCT	.
Home	ADV	home
again	ADV	again
--	PUNCT	--
the	DET	the
old	ADJ	old
familiar	ADJ	familiar
Earth	PROPN	Earth
!	PUNCT	!
He	PRON	he
could	AUX	could
scarcely	ADV	scarcely
believe	VERB	believe
it	PRON	it
!	PUNCT	!
Perhaps	ADV	perhaps
it	PRON	it
was	AUX	be
only	ADV	only
a	DET	a
dream	NOUN	dream
,	PUNCT	,
and	CCONJ	and
he	PRON	he
'd	AUX	would
