EVELINA	PROPN	EVELINA
'S	PART	's
GARDEN	PROPN	GARDEN
by	PROPN	by
MARY	PROPN	MARY
E.	PROPN	E.
WILKINS	PROPN	WILKINS
New	PROPN	New
York	PROPN	York
and	CCONJ	and
London	PROPN	London
Harper	PROPN	Harper
&	CCONJ	&
Brothers	PROPN	Brothers
MDCCCXCIX	PROPN	MDCCCXCIX
On	ADP	on
the	DET	the
south	NOUN	south
a	DET	a
high	ADJ	high
arbor	NOUN	arbor
-	PUNCT	-
vitae	NOUN	vitae
hedge	NOUN	hedge
separated	VERB	separate
Evelina	PROPN	Evelina
's	PART	's
garden	NOUN	garden
from	ADP	from
the	DET	the
road	NOUN	road
.	PUNCT	.
The	DET	the
hedge	NOUN	hedge
was	AUX	be
so	ADV	so
high	ADJ	high
that	SCONJ	that
when	SCONJ	when
the	DET	the
school	NOUN	school
-	PUNCT	-
children	NOUN	child
lagged	VERB	lag
by	ADV	by
,	PUNCT	,
and	CCONJ	and
the	DET	the
secrets	NOUN	secret
behind	ADP	behind
it	PRON	it
fired	VERB	fire
them	PRON	they
with	ADP	with
more	ADJ	more
curiosity	NOUN	curiosity
than	ADP	than
those	DET	those
between	ADP	between
their	PRON	their
battered	ADJ	battered
book	NOUN	book
covers	NOUN	cover
,	PUNCT	,
the	DET	the
tallest	ADJ	tall
of	ADP	of
them	PRON	they
by	VERB	by
stretching	VERB	stretch
up	ADV	up
on	ADP	on
tiptoe	NOUN	tiptoe
could	AUX	could
not	PART	not
peer	VERB	peer
over	ADP	over
.	PUNCT	.
And	CCONJ	and
so	SCONJ	so
they	PRON	they
were	AUX	be
driven	VERB	drive
to	ADP	to
childish	ADJ	childish
engineering	NOUN	engineering
feats	NOUN	feat
,	PUNCT	,
and	CCONJ	and
would	AUX	would
set	VERB	set
to	PART	to
work	VERB	work
and	CCONJ	and
pick	VERB	pick
away	ADP	away
sprigs	NOUN	sprig
of	ADP	of
the	DET	the
arbor	NOUN	arbor
-	PUNCT	-
vitae	NOUN	vitae
with	ADP	with
their	PRON	their
little	ADJ	little
fingers	NOUN	finger
,	PUNCT	,
and	CCONJ	and
make	NOUN	make
peep	NOUN	peep
-	PUNCT	-
holes	NOUN	hole
--	PUNCT	--
but	CCONJ	but
small	ADJ	small
ones	NOUN	one
,	PUNCT	,
that	PRON	that
Evelina	PROPN	Evelina
might	AUX	might
not	PART	not
discern	VERB	discern
them	PRON	they
.	PUNCT	.
Then	ADV	then
they	PRON	they
would	AUX	would
thrust	VERB	thrust
their	PRON	their
pink	ADJ	pink
faces	NOUN	face
into	ADP	into
the	DET	the
hedge	NOUN	hedge
,	PUNCT	,
and	CCONJ	and
the	DET	the
enduring	ADJ	enduring
fragrance	NOUN	fragrance
of	ADP	of
it	PRON	it
would	AUX	would
come	VERB	come
to	ADP	to
their	PRON	their
nostrils	NOUN	nostril
like	ADP	like
a	DET	a
gust	NOUN	gust
of	ADP	of
aromatic	ADJ	aromatic
breath	NOUN	breath
from	ADP	from
the	DET	the
mouth	NOUN	mouth
of	ADP	of
the	DET	the
northern	ADJ	northern
woods	NOUN	wood
,	PUNCT	,
and	CCONJ	and
peer	VERB	peer
into	ADP	into
Evelina	PROPN	Evelina
's	PART	's
garden	NOUN	garden
as	ADP	as
through	ADP	through
the	DET	the
green	ADJ	green
tubes	NOUN	tube
of	ADP	of
vernal	ADJ	vernal
telescopes	NOUN	telescope
.	PUNCT	.
Then	ADV	then
suddenly	ADV	suddenly
hollyhocks	NOUN	hollyhock
,	PUNCT	,
blooming	VERB	bloom
in	ADP	in
rank	NOUN	rank
and	CCONJ	and
