Night	PROPN	Night
and	CCONJ	and
Day	NOUN	day
by	ADP	by
Virginia	PROPN	Virginia
Woolf	PROPN	Woolf
TO	PROPN	TO
VANESSA	PROPN	VANESSA
BELL	PROPN	BELL
BUT	PROPN	BUT
,	PUNCT	,
LOOKING	VERB	look
FOR	ADP	for
A	DET	a
PHRASE	NOUN	phrase
,	PUNCT	,
I	PRON	I
FOUND	VERB	find
NONE	NOUN	none
TO	PART	to
STAND	VERB	stand
BESIDE	ADP	beside
YOUR	PRON	your
NAME	NOUN	name
Contents	X	contents
CHAPTER	NOUN	chapter
I.	NUM	i.
CHAPTER	NOUN	chapter
II	NUM	ii
.	PUNCT	.
CHAPTER	NOUN	chapter
III	NUM	iii
.	PUNCT	.
CHAPTER	NOUN	chapter
IV	NUM	iv
.	PUNCT	.
CHAPTER	NOUN	chapter
V.	NUM	v.
CHAPTER	NOUN	chapter
VI	NUM	vi
.	PUNCT	.
CHAPTER	NOUN	chapter
VII	NUM	vii
.	PUNCT	.
CHAPTER	NOUN	chapter
VIII	NUM	viii
.	PUNCT	.
CHAPTER	NOUN	chapter
IX	NUM	ix
.	PUNCT	.
CHAPTER	NOUN	chapter
X.	NUM	x.
CHAPTER	NOUN	chapter
XI	NUM	xi
.	PUNCT	.
CHAPTER	NOUN	chapter
XII	NUM	xii
.	PUNCT	.
CHAPTER	NOUN	chapter
XIII	NUM	xiii
.	PUNCT	.
CHAPTER	NOUN	chapter
XIV	NUM	xiv
.	PUNCT	.
CHAPTER	NOUN	chapter
XV	NUM	xv
.	PUNCT	.
CHAPTER	NOUN	chapter
XVI	NUM	xvi
.	PUNCT	.
CHAPTER	NOUN	chapter
XVII	NUM	xvii
.	PUNCT	.
CHAPTER	NOUN	chapter
XVIII	NUM	xviii
.	PUNCT	.
CHAPTER	NOUN	chapter
XIX	NUM	xix
.	PUNCT	.
CHAPTER	NOUN	chapter
XX	NUM	xx
.	PUNCT	.
CHAPTER	NOUN	chapter
XXI	NUM	xxi
.	PUNCT	.
CHAPTER	NOUN	chapter
XXII	NUM	xxii
.	PUNCT	.
CHAPTER	NOUN	chapter
XXIII	NUM	xxiii
.	PUNCT	.
CHAPTER	NOUN	chapter
XXIV	NUM	xxiv
.	PUNCT	.
CHAPTER	NOUN	chapter
XXV	NUM	xxv
.	PUNCT	.
CHAPTER	NOUN	chapter
XXVI	NUM	xxvi
.	PUNCT	.
CHAPTER	NOUN	chapter
XXVII	NUM	xxvii
.	PUNCT	.
CHAPTER	NOUN	chapter
XXVIII	NUM	xxviii
.	PUNCT	.
CHAPTER	NOUN	chapter
XXIX	NUM	xxix
.	PUNCT	.
CHAPTER	NOUN	chapter
XXX	NUM	xxx
.	PUNCT	.
CHAPTER	NOUN	chapter
XXXI	NUM	xxxi
.	PUNCT	.
CHAPTER	NOUN	chapter
XXXII	NUM	xxxii
.	PUNCT	.
CHAPTER	NOUN	chapter
XXXIII	NUM	xxxiii
.	PUNCT	.
CHAPTER	NOUN	chapter
XXXIV	NUM	xxxiv
.	PUNCT	.
NIGHT	NOUN	night
AND	CCONJ	and
DAY	NOUN	day
CHAPTER	NOUN	chapter
I	NUM	i
It	PRON	it
was	AUX	be
