GLORIAN	PROPN	GLORIAN
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
Polaris	PROPN	Polaris
and	CCONJ	and
the	DET	the
Goddess	PROPN	Goddess
Glorian	PROPN	Glorian
By	ADP	by
Charles	PROPN	Charles
B.	PROPN	B.
Stilson	PROPN	Stilson
_	PUNCT	_
Copyright	NOUN	copyright
1917	NUM	1917
by	ADP	by
Popular	PROPN	Popular
Publications	PROPN	Publications
,	PUNCT	,
Inc.	PROPN	Inc.
_	PUNCT	_
Introduction	NOUN	introduction
In	ADP	in
the	DET	the
antarctic	ADJ	antarctic
wilds	NOUN	wild
far	ADV	far
below	ADP	below
Ross	PROPN	Ross
Sea	PROPN	Sea
,	PUNCT	,
Polaris	PROPN	Polaris
Janess	PROPN	Janess
(	PUNCT	(
Polaris	PROPN	Polaris
--	PUNCT	--
of	ADP	of
the	DET	the
Snows	PROPN	Snows
)	PUNCT	)
,	PUNCT	,
was	AUX	be
born	VERB	bear
,	PUNCT	,
of	ADP	of
a	DET	a
mother	NOUN	mother
he	PRON	he
never	ADV	never
knew	VERB	know
,	PUNCT	,
and	CCONJ	and
grew	VERB	grow
to	ADP	to
manhood	NOUN	manhood
's	PART	's
years	NOUN	year
knowing	VERB	know
one	NUM	one
human	ADJ	human
face	NOUN	face
only	ADV	only
,	PUNCT	,
that	DET	that
of	ADP	of
his	PRON	his
father	NOUN	father
.	PUNCT	.
When	SCONJ	when
that	DET	that
father	VERB	father
died	VERB	die
,	PUNCT	,
the	DET	the
young	ADJ	young
man	NOUN	man
set	VERB	set
his	PRON	his
face	NOUN	face
to	ADP	to
the	DET	the
north	NOUN	north
,	PUNCT	,
to	PART	to
find	VERB	find
the	DET	the
world	NOUN	world
of	ADP	of
men	NOUN	man
,	PUNCT	,
of	ADP	of
which	DET	which
his	PRON	his
father	NOUN	father
and	CCONJ	and
his	PRON	his
books	NOUN	book
had	AUX	have
told	VERB	tell
him	PRON	he
;	PUNCT	;
and	CCONJ	and
to	PART	to
deliver	VERB	deliver
to	ADP	to
the	DET	the
National	PROPN	National
Geographic	PROPN	Geographic
Society	PROPN	Society
in	ADP	in
Washington	PROPN	Washington
a	DET	a
packet	NOUN	packet
containing	VERB	contain
scientific	ADJ	scientific
data	NOUN	datum
compiled	VERB	compile
by	ADP	by
his	PRON	his
explorer	NOUN	explorer
sire	PROPN	sire
.	PUNCT	.
Journeying	VERB	journey
through	ADP	through
the	DET	the
