CHRIST	PROPN	CHRIST
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
Ben	PROPN	Ben
-	PUNCT	-
Hur	PROPN	Hur
A	DET	a
Tale	NOUN	tale
of	ADP	of
the	DET	the
Christ	PROPN	Christ
by	PROPN	by
Lew	PROPN	Lew
Wallace	PROPN	Wallace
to	PROPN	to
THE	DET	the
WIFE	NOUN	wife
OF	ADP	of
MY	PRON	my
YOUTH	NOUN	youth
who	PRON	who
still	ADV	still
abides	VERB	abide
with	ADP	with
me	PRON	I
Contents	NOUN	content
BOOK	PROPN	BOOK
FIRST	PROPN	FIRST
I.	X	i.
Into	ADP	into
the	DET	the
Desert	NOUN	desert
II	X	ii
.	PUNCT	.
Meeting	NOUN	meeting
of	ADP	of
the	DET	the
Wise	PROPN	Wise
Men	PROPN	Men
III	X	iii
.	PUNCT	.
The	DET	the
Athenian	PROPN	Athenian
Speaks	NOUN	speak
—	PUNCT	—
Faith	PROPN	Faith
IV	X	iv
.	PUNCT	.
Speech	NOUN	speech
of	ADP	of
the	DET	the
Hindoo	PROPN	Hindoo
—	PUNCT	—
Love	NOUN	love
V.	X	v.
The	DET	the
Egyptian	PROPN	Egyptian
's	PART	's
Story	PROPN	Story
—	PUNCT	—
Good	ADJ	good
Works	NOUN	work
VI	X	vi
.	PUNCT	.
The	DET	the
Joppa	PROPN	Joppa
Gate	PROPN	Gate
VII	X	vii
.	PUNCT	.
Typical	ADJ	typical
Characters	NOUN	character
at	ADP	at
the	DET	the
Joppa	PROPN	Joppa
Gate	PROPN	Gate
VIII	X	viii
.	PUNCT	.
Joseph	PROPN	Joseph
and	CCONJ	and
Mary	PROPN	Mary
Going	VERB	go
to	ADP	to
Bethlehem	PROPN	Bethlehem
IX	X	ix
.	PUNCT	.
The	DET	the
Cave	NOUN	cave
at	ADP	at
Bethlehem	PROPN	Bethlehem
X.	PUNCT	X.
The	DET	the
Light	NOUN	light
in	ADP	in
the	DET	the
Sky	NOUN	sky
XI	X	xi
.	PUNCT	.
Christ	PROPN	Christ
is	AUX	be
Born	VERB	bear
XII	X	xii
.	PUNCT	.
The	DET	the
Wise	ADJ	wise
Men	NOUN	man
Arrive	VERB	arrive
at	ADP	at
Jerusalem	PROPN	Jerusalem
XIII	NUM	xiii
.	PUNCT	.
The	DET	the
Witnesses	NOUN	witness
before	ADP	before
Herod	PROPN	Herod
XIV	NUM	xiv
.	PUNCT	.
The	DET	the
