MINISTRY	NOUN	ministry
...	PUNCT	...
OF	ADP	of
DISTURBANCE	PROPN	DISTURBANCE
BY	ADP	by
H.	PROPN	H.
BEAM	PROPN	BEAM
PIPER	PROPN	PIPER
Illustrated	VERB	illustrate
by	ADP	by
van	PROPN	van
Dongen	PROPN	Dongen
_	X	_
Sometimes	ADV	sometimes
getting	VERB	get
a	DET	a
job	NOUN	job
is	AUX	be
harder	ADJ	hard
than	ADP	than
the	DET	the
job	NOUN	job
after	ADP	after
you	PRON	you
get	VERB	get
it	VERB	it
--	PUNCT	--
and	CCONJ	and
sometimes	ADV	sometimes
getting	VERB	get
out	ADP	out
of	ADP	of
a	DET	a
job	NOUN	job
is	AUX	be
harder	ADJ	hard
than	ADP	than
either	DET	either
!	PUNCT	!
_	PUNCT	_
The	DET	the
symphony	NOUN	symphony
was	AUX	be
ending	VERB	end
,	PUNCT	,
the	DET	the
final	ADJ	final
triumphant	ADJ	triumphant
pæan	NOUN	pæan
soaring	VERB	soar
up	ADV	up
and	CCONJ	and
up	ADP	up
,	PUNCT	,
beyond	ADP	beyond
the	DET	the
limit	NOUN	limit
of	ADP	of
audibility	NOUN	audibility
.	PUNCT	.
For	ADP	for
a	DET	a
moment	NOUN	moment
,	PUNCT	,
after	ADP	after
the	DET	the
last	ADJ	last
notes	NOUN	note
had	AUX	have
gone	VERB	go
away	ADV	away
,	PUNCT	,
Paul	PROPN	Paul
sat	VERB	sit
motionless	ADJ	motionless
,	PUNCT	,
as	ADP	as
though	SCONJ	though
some	DET	some
part	NOUN	part
of	ADP	of
him	PRON	he
had	AUX	have
followed	VERB	follow
.	PUNCT	.
Then	ADV	then
he	PRON	he
roused	VERB	rouse
himself	PRON	himself
and	CCONJ	and
finished	VERB	finish
his	PRON	his
coffee	NOUN	coffee
and	CCONJ	and
cigarette	NOUN	cigarette
,	PUNCT	,
looking	VERB	look
out	ADP	out
the	DET	the
wide	ADJ	wide
window	NOUN	window
across	ADP	across
the	DET	the
city	NOUN	city
below	ADV	below
--	PUNCT	--
treetops	NOUN	treetop
and	CCONJ	and
towers	NOUN	tower
,	PUNCT	,
roofs	NOUN	roof
and	CCONJ	and
domes	NOUN	dome
and	CCONJ	and
arching	VERB	arch
skyways	NOUN	skyway
,	PUNCT	,
busy	ADJ	busy
swarms	NOUN	swarm
of	ADP	of
aircars	NOUN	aircar
glinting	VERB	glint
in	ADP	in
the	DET	the
early	ADJ	early
sunlight	NOUN	sunlight
.	PUNCT	.
Not	PART	not
many	ADJ	many
people	NOUN	people
cared	VERB	care
for	ADP	for
João	PROPN	João
Coelho	PROPN	Coelho
's	PART	's
music	NOUN	music
,	PUNCT	,
now	ADV	now
,	PUNCT	,
and	CCONJ	and
least	ADJ	least
of	ADP	of
