TRENTON	PROPN	TRENTON
Monmouth	PROPN	Monmouth
,	PUNCT	,
”	PUNCT	""""
takes	VERB	take
in	ADP	in
the	DET	the
encounters	NOUN	encounter
around	ADP	around
Philadelphia	PROPN	Philadelphia
,	PUNCT	,
including	VERB	include
the	DET	the
battle	NOUN	battle
of	ADP	of
Germantown	PROPN	Germantown
,	PUNCT	,
and	CCONJ	and
ends	VERB	end
with	ADP	with
Washington	PROPN	Washington
's	PART	's
brilliant	ADJ	brilliant
success	NOUN	success
at	ADP	at
Monmouth	PROPN	Monmouth
.	PUNCT	.
Ben	PROPN	Ben
Cooper	PROPN	Cooper
fills	VERB	fill
the	DET	the
eye	NOUN	eye
in	ADP	in
this	DET	this
volume	NOUN	volume
;	PUNCT	;
and	CCONJ	and
during	ADP	during
the	DET	the
course	NOUN	course
of	ADP	of
the	DET	the
story	NOUN	story
appears	VERB	appear
the	DET	the
celebrated	VERB	celebrate
Molly	PROPN	Molly
Pitcher	PROPN	Pitcher
,	PUNCT	,
the	DET	the
girl	NOUN	girl
who	PRON	who
served	VERB	serve
a	DET	a
gun	NOUN	gun
at	ADP	at
Monmouth	PROPN	Monmouth
and	CCONJ	and
whom	PRON	whom
Washington	PROPN	Washington
afterward	ADV	afterward
made	VERB	make
a	DET	a
sergeant	NOUN	sergeant
on	ADP	on
the	DET	the
field	NOUN	field
of	ADP	of
battle	NOUN	battle
.	PUNCT	.
This	DET	this
volume	NOUN	volume
is	AUX	be
now	ADV	now
in	ADP	in
preparation	NOUN	preparation
.	PUNCT	.
Contents	NOUN	contents
I.	NOUN	i.
SHOWS	VERB	show
HOW	SCONJ	how
MERCHANT	PROPN	MERCHANT
DANA	PROPN	DANA
BOARDED	VERB	board
THE	DET	the
“	PUNCT	""""
NANCY	PROPN	NANCY
BREEN	PROPN	BREEN
”	PUNCT	""""
AND	CCONJ	and
WHAT	PRON	what
CAME	VERB	come
OF	ADP	of
IT	PRON	it
9	NUM	9
II	NUM	ii
.	PUNCT	.
SHOWS	VERB	show
THE	DET	the
RECEPTION	NOUN	reception
GEORGE	PROPN	GEORGE
PRENTISS	PROPN	PRENTISS
MET	VERB	meet
WITH	ADP	with
IN	ADP	in
NEW	PROPN	NEW
YORK	PROPN	YORK
TOWN	PROPN	TOWN
34	NUM	34
III	NUM	iii
.	PUNCT	.
TELLS	VERB	tell
HOW	SCONJ	how
A	DET	a
BULLY	NOUN	bully
ENTERED	VERB	enter
THE	DET	the
“	PUNCT	""""
KING	PROPN	KING
'S	PART	's
ARMS	PROPN	ARMS
”	PUNCT	""""
52	NUM	52
IV	NOUN	iv
.	PUNCT	.
TELLS	VERB	tell
HOW	SCONJ	how
THE	DET	the
BULLY	NOUN	bully
CHANGED	VERB	change
HIS	PRON	his
MIND	NOUN	mind
,	PUNCT	,
AND	CCONJ	and
HOW	SCONJ	how
GEORGE	PROPN	GEORGE
WAS	AUX	be
SENT	VERB	send
FOR	ADP	for
IN	ADP	in
HASTE	PROPN	HASTE
64	NUM	64
V.	PUNCT	V.
IN	ADP	in
WHICH	DET	which
GENERAL	PROPN	GENERAL
PUTNAM	PROPN	PUTNAM
HAS	AUX	have
HIS	PRON	his
SAY	NOUN	say
75	NUM	75
VI	NUM	vi
.	PUNCT	.
EXPLAINS	VERB	explain
HOW	SCONJ	how
GEORGE	PROPN	GEORGE
PRENTISS	PROPN	PRENTISS
BECOMES	VERB	become
A	DET	a
GUEST	NOUN	guest
AT	ADP	at
THE	DET	the
“	PUNCT	""""
WHEAT	NOUN	wheat
SHEAF	PROPN	SHEAF
”	PUNCT	""""
82	NUM	82
VII	NUM	vii
.	PUNCT	.
TELLS	VERB	tell
HOW	SCONJ	how
THREE	NUM	three
PEOPLE	NOUN	PEOPLE
MADE	VERB	make
A	DET	a
DASH	NOUN	dash
FOR	ADP	for
FREEDOM	NOUN	freedom
111	NUM	111
VIII	NUM	viii
.	PUNCT	.
TELLS	VERB	tell
HOW	SCONJ	how
PEGGY	PROPN	PEGGY
GAVE	VERB	gave
A	DET	a
WARNING	NOUN	warning
122	NUM	122
IX	NUM	ix
.	PUNCT	.
IN	ADP	in
WHICH	DET	which
GEORGE	PROPN	GEORGE
PRENTISS	PROPN	PRENTISS
RECEIVES	VERB	receive
AN	DET	an
INVITATION	NOUN	invitation
129	NUM	129
X.	NOUN	x.
SHOWS	VERB	show
HOW	SCONJ	how
WASHINGTON	PROPN	WASHINGTON
CAME	VERB	come
TO	ADP	to
NEW	PROPN	NEW
YORK	PROPN	YORK
138	NUM	138
XI	NOUN	XI
.	PUNCT	.
IN	ADP	in
WHICH	DET	which
GEORGE	PROPN	GEORGE
PRENTISS	PROPN	PRENTISS
MAKES	VERB	make
A	DET	a
SUDDEN	ADJ	sudden
RESOLUTION	NOUN	resolution
152	NUM	152
XII	NOUN	xii
.	PUNCT	.
TELLS	VERB	tell
HOW	SCONJ	how
TWO	NUM	two
PEOPLE	NOUN	PEOPLE
PEERED	VERB	peer
THROUGH	ADP	through
THE	DET	the
WINDOW	NOUN	window
OF	ADP	of
THE	DET	the
OLD	PROPN	OLD
MILL	PROPN	MILL
163	PROPN	163
XIII	PROPN	XIII
.	PUNCT	.
IN	ADP	in
WHICH	DET	which
PEGGY	PROPN	PEGGY
CAMP	PROPN	CAMP
SHOWS	VERB	show
HER	PRON	her
COURAGE	NOUN	courage
171	NUM	171
XIV	NOUN	xiv
.	PUNCT	.
SHOWS	VERB	show
HOW	SCONJ	how
THE	DET	the
BRITISH	ADJ	british
SHIPS	NOUN	ship
CAME	VERB	come
INTO	ADP	into
THE	DET	the
BAY	PROPN	BAY
181	NUM	181
XV	NOUN	xv
.	PUNCT	.
TELLS	VERB	tell
HOW	SCONJ	how
GEORGE	PROPN	GEORGE
VISITED	VERB	visit
THE	DET	the
HOUSE	NOUN	house
IN	ADP	in
CROWN	PROPN	CROWN
STREET	PROPN	STREET
190	NUM	190
XVI	PROPN	XVI
.	PUNCT	.
PEGGY	PROPN	PEGGY
SPEAKS	VERB	speak
HER	PRON	her
MIND	NOUN	mind
204	NUM	204
XVII	NUM	xvii
.	PUNCT	.
SHOWS	VERB	show
WHAT	PRON	what
HAPPENED	VERB	happen
IN	ADP	in
THE	DET	the
TAPESTRIED	VERB	tapestrie
CHAMBER	NOUN	chamber
217	NUM	217
XVIII	PROPN	XVIII
.	PUNCT	.
IN	ADP	in
WHICH	DET	which
IS	AUX	be
FOUGHT	VERB	fight
THE	DET	the
BATTLE	NOUN	battle
OF	ADP	of
LONG	PROPN	LONG
ISLAND	PROPN	ISLAND
229	NUM	229
XIX	PROPN	XIX
.	PUNCT	.
DESCRIBES	VERB	describe
HOW	SCONJ	how
GEORGE	PROPN	GEORGE
AND	CCONJ	and
HIS	PRON	his
FRIEND	NOUN	friend
START	VERB	start
UPON	SCONJ	upon
A	DET	a
DANGEROUS	ADJ	dangerous
MISSION	NOUN	mission
255	NUM	255
XX	NUM	xx
.	PUNCT	.
TELLS	VERB	tell
OF	ADP	of
TWO	NUM	two
PATRIOTS	NOUN	patriot
IN	ADP	in
TRENTON	PROPN	TRENTON
274	NUM	274
XXI	NUM	xxi
.	PUNCT	.
HOW	SCONJ	how
COLONEL	PROPN	COLONEL
RAHL	PROPN	RAHL
PROPOSED	VERB	propose
GIVING	VERB	give
A	DET	a
CHRISTMAS	PROPN	CHRISTMAS
CONCERT	NOUN	concert
283	NUM	283
XXII	NUM	xxii
.	PUNCT	.
TELLS	VERB	tell
HOW	SCONJ	how
A	DET	a
FIRE	NOUN	fire
WAS	AUX	be
KINDLED	VERB	kindle
ON	ADP	on
A	DET	a
HILLSIDE	NOUN	hillside
301	NUM	301
XXIII	NUM	xxiii
.	PUNCT	.
SHOWS	VERB	show
HOW	SCONJ	how
THE	DET	the
CONCERT	NOUN	concert
WAS	AUX	be
INTERRUPTED	VERB	interrupt
317	NUM	317
Illustrations	NOUN	illustration
PAGE	X	page
“	PUNCT	""""
GET	VERB	get
OUT	ADP	out
OF	ADP	of
THE	DET	the
WAY	NOUN	way
,	PUNCT	,
MY	PRON	my
HEARTY	NOUN	hearty
”	PUNCT	""""
_	PUNCT	_
Frontispiece	NOUN	frontispiece
