POPULAR	ADJ	popular
NOVELS	NOUN	novel
BY	ADP	by
FERGUS	PROPN	FERGUS
HUME	PROPN	HUME
Author	NOUN	author
of	ADP	of
'	PUNCT	'
The	DET	the
Mystery	NOUN	mystery
of	ADP	of
a	DET	a
Hansom	PROPN	Hansom
Cab	PROPN	Cab
,	PUNCT	,
'	PUNCT	'
etc	X	etc
.	PUNCT	.
In	ADP	in
Crown	PROPN	Crown
8vo	PROPN	8vo
,	PUNCT	,
pictorial	ADJ	pictorial
cloth	NOUN	cloth
.	PUNCT	.
Price	NOUN	price
6s	NOUN	6
.	NOUN	.
each	DET	each
.	PUNCT	.
THE	DET	the
RED	PROPN	RED
WINDOW	PROPN	WINDOW
=	PUNCT	=
Second	ADJ	second
Impression=	NOUN	impression=
'	PUNCT	'
For	ADP	for
a	DET	a
skilfully	ADV	skilfully
conceived	VERB	conceive
plot	NOUN	plot
,	PUNCT	,
succession	NOUN	succession
of	ADP	of
stirring	ADJ	stirring
incidents	NOUN	incident
and	CCONJ	and
series	NOUN	series
of	ADP	of
surprises	NOUN	surprise
,	PUNCT	,
not	PART	not
one	NUM	one
of	ADP	of
Mr.	PROPN	Mr.
Fergus	PROPN	Fergus
Hume	PROPN	Hume
's	PART	's
books	NOUN	book
is	AUX	be
surpassed	VERB	surpass
by	ADP	by
""""	PUNCT	""""
The	DET	the
Red	PROPN	Red
Window	PROPN	Window
.	PUNCT	.
""""	PUNCT	""""
...	PUNCT	...
Is	AUX	be
the	DET	the
best	ADJ	good
book	NOUN	book
of	ADP	of
the	DET	the
kind	NOUN	kind
issued	VERB	issue
this	DET	this
season	NOUN	season
.	PUNCT	.
'--_Newcastle	PROPN	'--_Newcastle
Daily	PROPN	Daily
Journal	PROPN	Journal
.	PUNCT	.
_	PUNCT	_
THE	DET	the
YELLOW	PROPN	YELLOW
HOLLY	PROPN	HOLLY
=	PUNCT	=
Third	ADJ	third
Edition=	NOUN	edition=
'	PUNCT	'
A	DET	a
story	NOUN	story
of	ADP	of
thrilling	ADJ	thrilling
interest	NOUN	interest
.	PUNCT	.
'--_To	PUNCT	'--_To
-	PUNCT	-
Day	NOUN	day
.	PUNCT	.
_	PUNCT	_
'	PUNCT	'
An	DET	an
exciting	ADJ	exciting
detective	NOUN	detective
story	NOUN	story
.	PUNCT	.
'--_Academy	PROPN	'--_Academy
.	PUNCT	.
_	PUNCT	_
A	DET	a
COIN	PROPN	COIN
OF	ADP	of
EDWARD	PROPN	EDWARD
VII	PROPN	VII
.	PUNCT	.
=	PUNCT	=
Third	ADJ	third
Edition=	NOUN	edition=
'	PUNCT	'
A	DET	a
clever	ADJ	clever
detective	NOUN	detective
story	NOUN	story
.	PUNCT	.
The	DET	the
book	NOUN	book
holds	VERB	hold
one	NUM	one
spellbound	ADJ	spellbound
to	ADP	to
the	DET	the
end	NOUN	end
.	PUNCT	.
'--_Yorkshire	PROPN	'--_Yorkshire
Herald	PROPN	Herald
.	PUNCT	.
_	PUNCT	_
THE	DET	the
CRIME	NOUN	crime
OF	ADP	of
THE	DET	the
CRYSTAL	PROPN	CRYSTAL
=	PUNCT	=
Third	ADJ	third
Edition=	PUNCT	Edition=
'	PUNCT	'
Mr.	PROPN	Mr.
Fergus	PROPN	Fergus
Hume	PROPN	Hume
once	ADV	once
more	ADV	more
shows	VERB	show
his	PRON	his
skill	NOUN	skill
in	ADP	in
weaving	VERB	weave
an	DET	an
intricate	ADJ	intricate
plot	NOUN	plot
which	DET	which
holds	VERB	hold
the	DET	the
reader	NOUN	reader
enthralled	VERB	enthral
until	ADP	until
the	DET	the
last	ADJ	last
line	NOUN	line
.	PUNCT	.
If	SCONJ	if
this	DET	this
book	NOUN	book
were	AUX	be
judged	VERB	judge
upon	SCONJ	upon
its	PRON	its
merits	NOUN	merit
it	PRON	it
should	AUX	should
obtain	VERB	obtain
a	DET	a
popularity	NOUN	popularity
even	ADV	even
greater	ADJ	great
than	ADP	than
""""	PUNCT	""""
The	DET	the
Mystery	PROPN	Mystery
of	ADP	of
a	DET	a
Hansom	PROPN	Hansom
Cab	PROPN	Cab
.	PUNCT	.
"""'--_Court"	PUNCT	"""'--_Court"
Circular	PROPN	Circular
.	PUNCT	.
_	PUNCT	_
THE	DET	the
PAGAN	PROPN	PAGAN
'S	PART	's
CUP	PROPN	CUP
=	PUNCT	=
Third	ADJ	third
Edition=	NOUN	edition=
'	PUNCT	'
For	ADP	for
the	DET	the
lover	NOUN	lover
of	ADP	of
mystery	NOUN	mystery
the	DET	the
author	NOUN	author
of	ADP	of
the	DET	the
""""	PUNCT	""""
Mystery	PROPN	Mystery
of	ADP	of
a	DET	a
Hansom	PROPN	Hansom
Cab	PROPN	Cab
""""	PUNCT	""""
has	AUX	have
prepared	VERB	prepare
a	DET	a
feast	NOUN	feast
in	ADP	in
his	PRON	his
new	ADJ	new
book	NOUN	book
.	PUNCT	.
The	DET	the
story	NOUN	story
is	AUX	be
beyond	ADP	beyond
doubt	NOUN	doubt
enthralling	VERB	enthral
,	PUNCT	,
and	CCONJ	and
will	AUX	will
in	ADP	in
every	DET	every
case	NOUN	case
be	AUX	be
read	VERB	read
at	ADP	at
a	DET	a
sitting	NOUN	sitting
.	PUNCT	.
'--_Glasgow	PROPN	'--_Glasgow
Herald	PROPN	Herald
.	PUNCT	.
_	PUNCT	_
THE	DET	the
RED	PROPN	RED
-	PUNCT	-
HEADED	PROPN	HEADED
MAN	PROPN	MAN
=	PUNCT	=
Third	ADJ	third
Edition=	NOUN	edition=
'	PUNCT	'
Is	AUX	be
perhaps	ADV	perhaps
the	DET	the
best	ADJ	good
piece	NOUN	piece
of	ADP	of
work	NOUN	work
that	PRON	that
Mr.	PROPN	Mr.
Fergus	PROPN	Fergus
Hume	PROPN	Hume
has	AUX	have
given	VERB	give
us	PRON	we
since	SCONJ	since
he	PRON	he
wrote	VERB	write
""""	PUNCT	""""
The	DET	the
Mystery	NOUN	mystery
of	ADP	of
a	DET	a
Hansom	PROPN	Hansom
Cab	PROPN	Cab
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
plot	NOUN	plot
is	AUX	be
very	ADV	very
ingenious	ADJ	ingenious
.	PUNCT	.
Devoid	ADJ	devoid
of	ADP	of
suspicion	NOUN	suspicion
of	ADP	of
padding	NOUN	padding
,	PUNCT	,
brightly	ADV	brightly
and	CCONJ	and
smoothly	ADV	smoothly
written	VERB	write
,	PUNCT	,
Mr.	PROPN	Mr.
Fergus	PROPN	Fergus
Hume	PROPN	Hume
's	PART	's
latest	ADJ	late
tale	NOUN	tale
contains	VERB	contain
not	PART	not
a	DET	a
single	ADJ	single
dull	ADJ	dull
chapter	NOUN	chapter
.	PUNCT	.
'--_World	PUNCT	'--_World
.	PUNCT	.
_	PUNCT	_
'	PUNCT	'
A	DET	a
highly	ADV	highly
ingenious	ADJ	ingenious
and	CCONJ	and
well	ADV	well
-	PUNCT	-
constructed	VERB	construct
tale	NOUN	tale
.	PUNCT	.
'--_Scotsman	PROPN	'--_Scotsman
.	PUNCT	.
_	PUNCT	_
SHYLOCK	PROPN	SHYLOCK
OF	ADP	of
THE	DET	the
RIVER	PROPN	RIVER
=	PUNCT	=
Fifth	ADJ	fifth
Edition=	NOUN	edition=
'	VERB	'
Quite	DET	quite
the	DET	the
most	ADV	most
brilliant	ADJ	brilliant
detective	NOUN	detective
story	NOUN	story
Mr.	PROPN	Mr.
Hume	PROPN	Hume
has	AUX	have
given	VERB	give
us	PRON	we
since	SCONJ	since
he	PRON	he
made	VERB	make
such	DET	such
a	DET	a
remarkable	ADJ	remarkable
hit	NOUN	hit
in	ADP	in
""""	PUNCT	""""
The	DET	the
Mystery	NOUN	mystery
of	ADP	of
a	DET	a
Hansom	PROPN	Hansom
Cab	PROPN	Cab
.	PUNCT	.
"""'--_Literary"	PROPN	"""'--_Literary"
World	PROPN	World
.	PUNCT	.
_	PUNCT	_
THE	DET	the
MASQUERADE	PROPN	MASQUERADE
MYSTERY	PROPN	MYSTERY
=	PUNCT	=
Third	ADJ	third
Edition=	NOUN	edition=
'	PUNCT	'
Is	AUX	be
as	ADV	as
good	ADJ	good
as	ADP	as
,	PUNCT	,
if	SCONJ	if
not	PART	not
better	ADJ	well
than	ADP	than
,	PUNCT	,
""""	PUNCT	""""
The	DET	the
Mystery	PROPN	Mystery
of	ADP	of
a	DET	a
Hansom	PROPN	Hansom
Cab	PROPN	Cab
.	PUNCT	.
""""	PUNCT	""""
...	PUNCT	...
It	PRON	it
is	AUX	be
an	DET	an
excellent	ADJ	excellent
story	NOUN	story
.	PUNCT	.
'--_World	PUNCT	'--_World
.	PUNCT	.
_	PUNCT	_
=	PUNCT	=
In	ADP	in
Crown	PROPN	Crown
8vo	PROPN	8vo
,	PUNCT	,
Cloth	PROPN	Cloth
,	PUNCT	,
2s	NUM	2s
.	PROPN	.
6d	NUM	6d
.	PUNCT	.
Cheap	ADJ	cheap
Edition=	NOUN	edition=
A	DET	a
MARRIAGE	NOUN	marriage
MYSTERY	NOUN	mystery
'	PUNCT	'
Is	AUX	be
ingeniously	ADV	ingeniously
put	VERB	put
together	ADP	together
....	PUNCT	....
Mr.	PROPN	Mr.
Hume	PROPN	Hume
's	PART	's
new	ADJ	new
book	NOUN	book
