Works	NOUN	work
of	ADP	of
ARTHUR	PROPN	ARTHUR
GRIFFITHS	PROPN	GRIFFITHS
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
The	DET	the
Passenger	NOUN	passenger
from	ADP	from
Calais	PROPN	Calais
$	SYM	$
1.25	NUM	1.25
The	DET	the
Rome	PROPN	Rome
Express	PROPN	Express
1.25	NUM	1.25
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
L.C.	PROPN	L.C.
PAGE	PROPN	PAGE
&	CCONJ	&
COMPANY	PROPN	COMPANY
New	PROPN	New
England	PROPN	England
Building	PROPN	Building
,	PUNCT	,
Boston	PROPN	Boston
,	PUNCT	,
Mass.	PROPN	Mass.
The	DET	the
Passenger	NOUN	passenger
from	ADP	from
Calais	PROPN	Calais
By	ADP	by
Arthur	PROPN	Arthur
Griffiths	PROPN	Griffiths
Author	NOUN	author
of	ADP	of
""""	PUNCT	""""
The	DET	the
Rome	PROPN	Rome
Express	PROPN	Express
,	PUNCT	,
""""	PUNCT	""""
etc	X	etc
.	PUNCT	.
Boston	PROPN	Boston
--	PUNCT	--
L.C.	PROPN	L.C.
Page	PROPN	Page
and	CCONJ	and
Company	PROPN	Company
--	PUNCT	--
Publishers	PROPN	Publishers
_	PUNCT	_
First	ADJ	first
Impression	PROPN	Impression
,	PUNCT	,
January	PROPN	January
,	PUNCT	,
1906	NUM	1906
Second	ADJ	second
Impression	PROPN	Impression
,	PUNCT	,
February	PROPN	February
,	PUNCT	,
1906	NUM	1906
Third	ADJ	third
Impression	PROPN	Impression
,	PUNCT	,
February	PROPN	February
,	PUNCT	,
1906	NUM	1906
Fourth	ADJ	fourth
Impression	PROPN	Impression
,	PUNCT	,
March	PROPN	March
,	PUNCT	,
1908	NUM	1908
_	PUNCT	_
Colonial	PROPN	Colonial
Press	PROPN	Press
_	PUNCT	_
C.H.	PROPN	C.H.
Simonds	PROPN	Simonds
&	CCONJ	&
Co.	PROPN	Co.
Boston	PROPN	Boston
,	PUNCT	,
U.S.A.	PROPN	U.S.A.
_	PUNCT	_
FOREWORD	PROPN	FOREWORD
_	PUNCT	_
I	PRON	I
desire	VERB	desire
to	PART	to
state	VERB	state
that	SCONJ	that
the	DET	the
initial	ADJ	initial
fact	NOUN	fact
upon	SCONJ	upon
which	DET	which
I	PRON	I
have	AUX	have
founded	VERB	found
this	DET	this
story	NOUN	story
is	AUX	be
within	ADP	within
my	PRON	my
own	ADJ	own
experience	NOUN	experience
.	PUNCT	.
I	PRON	I
travelled	VERB	travel
from	ADP	from
Calais	PROPN	Calais
to	ADP	to
Basle	PROPN	Basle
by	ADP	by
the	DET	the
Engadine	PROPN	Engadine
Express	PROPN	Express
in	ADP	in
the	DET	the
latter	ADJ	latter
end	NOUN	end
of	ADP	of
July	PROPN	July
,	PUNCT	,
1902	NUM	1902
,	PUNCT	,
when	SCONJ	when
my	PRON	my
wife	NOUN	wife
and	CCONJ	and
myself	PRON	myself
were	AUX	be
the	DET	the
only	NOUN	only
passengers	NOUN	passenger
.	PUNCT	.
The	DET	the
rest	NOUN	rest
is	AUX	be
pure	ADJ	pure
fiction	NOUN	fiction
.	PUNCT	.
_	PUNCT	_
A.G.	PROPN	A.G.
CHAPTER	NOUN	chapter
I.	NUM	i.
[	X	[
_	PUNCT	_
Colonel	PROPN	Colonel
Annesley	PROPN	Annesley
's	PART	's
Story	NOUN	story
_	PUNCT	_
]	X	]
The	DET	the
crossing	NOUN	crossing
from	ADP	from
Dover	PROPN	Dover
to	ADP	to
Calais	PROPN	Calais
had	AUX	have
been	AUX	be
rough	ADJ	rough
;	PUNCT	;
a	DET	a
drizzling	VERB	drizzle
rain	NOUN	rain
fell	VERB	fall
all	DET	all
the	DET	the
time	NOUN	time
,	PUNCT	,
and	CCONJ	and
most	ADJ	most
of	ADP	of
the	DET	the
passengers	NOUN	passenger
had	AUX	have
remained	VERB	remain
below	ADP	below
.	PUNCT	.
Strange	ADJ	strange
to	PART	to
say	VERB	say
,	PUNCT	,
they	PRON	they
were	AUX	be
few	ADJ	few
enough	ADV	enough
,	PUNCT	,
as	ADP	as
I	PRON	I
saw	VERB	see
on	ADP	on
landing	NOUN	landing
.	PUNCT	.
It	PRON	it
was	AUX	be
a	DET	a
Sunday	PROPN	Sunday
in	ADP	in
late	ADJ	late
July	PROPN	July
,	PUNCT	,
and	CCONJ	and
there	PRON	there
ought	AUX	ought
to	PART	to
have	AUX	have
been	AUX	be
a	DET	a
strong	ADJ	strong
stream	NOUN	stream
setting	VERB	set
towards	ADP	towards
Central	PROPN	Central
Europe	PROPN	Europe
.	PUNCT	.
I	PRON	I
hardly	ADV	hardly
expected	VERB	expect
to	PART	to
find	VERB	find
much	ADJ	much
room	NOUN	room
in	ADP	in
the	DET	the
train	NOUN	train
;	PUNCT	;
not	PART	not
that	SCONJ	that
it	PRON	it
mattered	VERB	matter
,	PUNCT	,
for	ADP	for
my	PRON	my
place	NOUN	place
was	AUX	be
booked	VERB	book
through	ADP	through
in	ADP	in
the	DET	the
Lucerne	PROPN	Lucerne
sleeping	NOUN	sleeping
-	PUNCT	-
car	NOUN	car
of	ADP	of
the	DET	the
Engadine	PROPN	Engadine
express	NOUN	express
.	PUNCT	.
Room	NOUN	room
!	PUNCT	!
When	SCONJ	when
I	PRON	I
reached	VERB	reach
the	DET	the
siding	NOUN	siding
where	SCONJ	where
this	DET	this
train	NOUN	train
de	X	de
luxe	X	luxe
was	AUX	be
drawn	VERB	draw
up	ADP	up
,	PUNCT	,
I	PRON	I
saw	VERB	see
that	SCONJ	that
I	PRON	I
was	AUX	be
not	PART	not
merely	ADV	merely
the	DET	the
first	ADJ	first
but	CCONJ	but
the	DET	the
only	ADJ	only
passenger	NOUN	passenger
.	PUNCT	.
Five	NUM	five
sleeping	VERB	sleep
-	PUNCT	-
cars	NOUN	car
and	CCONJ	and
a	DET	a
dining	NOUN	dining
-	PUNCT	-
car	NOUN	car
attached	VERB	attach
,	PUNCT	,
with	ADP	with
the	DET	the
