Library	NOUN	library
,	PUNCT	,
Agnes	PROPN	Agnes
Scott	PROPN	Scott
College	PROPN	College
.	PUNCT	.
JURGEN	PROPN	JURGEN
_	PUNCT	_
A	DET	a
Comedy	PROPN	Comedy
of	ADP	of
Justice	PROPN	Justice
_	PUNCT	_
By	ADP	by
JAMES	PROPN	JAMES
BRANCH	PROPN	BRANCH
CABELL	PROPN	CABELL
1922	NUM	1922
_	X	_
""""	PUNCT	""""
Of	ADP	of
JURGEN	PROPN	JURGEN
eke	X	eke
they	PRON	they
maken	VERB	maken
mencioun	X	mencioun
,	PUNCT	,
That	DET	that
of	ADP	of
an	DET	an
old	ADJ	old
wyf	NOUN	wyf
gat	X	gat
his	PRON	his
youthe	PROPN	youthe
agoon	PROPN	agoon
,	PUNCT	,
And	CCONJ	and
gat	VERB	gat
himselfe	PRON	himselfe
a	DET	a
shirte	X	shirte
as	ADV	as
bright	ADJ	bright
as	ADP	as
fyre	X	fyre
Wherein	X	wherein
to	PART	to
jape	VERB	jape
,	PUNCT	,
yet	CCONJ	yet
gat	X	gat
not	PART	not
his	PRON	his
desire	NOUN	desire
In	ADP	in
any	DET	any
countrie	X	countrie
ne	X	ne
condicioun	X	condicioun
.	PUNCT	.
""""	PUNCT	""""
_	PUNCT	_
TO	PROPN	TO
BURTON	PROPN	BURTON
RASCOE	PROPN	RASCOE
Before	ADP	before
each	DET	each
tarradiddle	NOUN	tarradiddle
,	PUNCT	,
Uncowed	VERB	uncowe
by	ADP	by
sciolists	NOUN	sciolist
,	PUNCT	,
Robuster	PROPN	Robuster
persons	NOUN	person
twiddle	VERB	twiddle
Tremendously	ADV	tremendously
big	ADJ	big
fists	NOUN	fist
.	PUNCT	.
""""	PUNCT	""""
Our	PRON	our
gods	NOUN	god
are	AUX	be
good	ADJ	good
,	PUNCT	,
""""	PUNCT	""""
they	PRON	they
tell	VERB	tell
us	PRON	we
;	PUNCT	;
""""	PUNCT	""""
Nor	CCONJ	nor
will	AUX	will
our	PRON	our
gods	NOUN	god
defer	VERB	defer
Remission	NOUN	remission
of	ADP	of
rude	ADJ	rude
fellows	NOUN	fellow
'	PART	'
Ability	NOUN	ability
to	PART	to
err	VERB	err
.	PUNCT	.
""""	PUNCT	""""
So	SCONJ	so
this	DET	this
,	PUNCT	,
your	PRON	your
JURGEN	PROPN	JURGEN
,	PUNCT	,
travels	VERB	travel
Content	ADJ	content
to	PART	to
compromise	VERB	compromise
Ordainments	NOUN	ordainment
none	NOUN	none
unravels	VERB	unravel
Explicitly	ADV	explicitly
...	PUNCT	...
and	CCONJ	and
sighs	NOUN	sigh
.	PUNCT	.
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
""""	PUNCT	""""
Others	NOUN	other
,	PUNCT	,
with	ADP	with
better	ADJ	well
moderation	NOUN	moderation
,	PUNCT	,
do	AUX	do
either	CCONJ	either
entertain	VERB	entertain
the	DET	the
vulgar	NOUN	vulgar
history	NOUN	history
of	ADP	of
Jurgen	PROPN	Jurgen
as	ADP	as
a	DET	a
fabulous	ADJ	fabulous
addition	NOUN	addition
unto	ADP	unto
the	DET	the
true	ADJ	true
and	CCONJ	and
authentic	ADJ	authentic
story	NOUN	story
of	ADP	of
St.	PROPN	St.
Iurgenius	PROPN	Iurgenius
of	ADP	of
Poictesme	PROPN	Poictesme
,	PUNCT	,
or	CCONJ	or
else	ADV	else
we	PRON	we
conceive	VERB	conceive
the	DET	the
literal	NOUN	literal
acception	NOUN	acception
to	PART	to
be	AUX	be
a	DET	a
misconstruction	NOUN	misconstruction
of	ADP	of
the	DET	the
symbolical	ADJ	symbolical
expression	NOUN	expression
:	PUNCT	:
apprehending	VERB	apprehend
a	DET	a
veritable	ADJ	veritable
history	NOUN	history
,	PUNCT	,
in	ADP	in
an	DET	an
emblem	NOUN	emblem
or	CCONJ	or
piece	NOUN	piece
of	ADP	of
Christian	PROPN	Christian
poesy	PROPN	poesy
.	PUNCT	.
And	CCONJ	and
this	DET	this
emblematical	ADJ	emblematical
construction	NOUN	construction
hath	VERB	hath
been	AUX	be
received	VERB	receive
by	ADP	by
men	NOUN	man
not	PART	not
forward	ADV	forward
to	PART	to
extenuate	VERB	extenuate
the	DET	the
acts	NOUN	act
of	ADP	of
saints	NOUN	saint
.	PUNCT	.
""""	PUNCT	""""
--PHILIP	PROPN	--PHILIP
BORSDALE	PROPN	BORSDALE
.	PUNCT	.
""""	PUNCT	""""
A	DET	a
forced	ADJ	forced
construction	NOUN	construction
is	AUX	be
very	ADV	very
idle	ADJ	idle
.	PUNCT	.
If	SCONJ	if
readers	NOUN	reader
of	ADP	of
_	SYM	_
The	DET	the
High	PROPN	High
History	NOUN	history
of	ADP	of
Jurgen	PROPN	Jurgen
_	PUNCT	_
do	AUX	do
not	PART	not
meddle	VERB	meddle
with	ADP	with
the	DET	the
allegory	NOUN	allegory
,	PUNCT	,
the	DET	the
allegory	NOUN	allegory
will	AUX	will
not	PART	not
meddle	VERB	meddle
with	ADP	with
them	PRON	they
.	PUNCT	.
Without	ADP	without
minding	VERB	mind
it	PRON	it
at	ADV	at
all	ADV	all
,	PUNCT	,
the	DET	the
whole	NOUN	whole
is	AUX	be
as	ADV	as
plain	ADJ	plain
as	ADP	as
a	DET	a
pikestaff	NOUN	pikestaff
.	PUNCT	.
It	PRON	it
might	AUX	might
as	ADV	as
well	ADV	well
be	AUX	be
pretended	VERB	pretend
that	SCONJ	that
we	PRON	we
can	AUX	can
not	PART	not
see	VERB	see
Poussin	PROPN	Poussin
's	PART	's
pictures	NOUN	picture
without	ADP	without
first	ADV	first
being	AUX	be
told	VERB	tell
the	DET	the
allegory	NOUN	allegory
,	PUNCT	,
as	ADP	as
that	SCONJ	that
the	DET	the
allegory	NOUN	allegory
aids	VERB	aid
us	PRON	we
in	ADP	in
understanding	VERB	understand
_	X	_
Jurgen	PROPN	Jurgen
_	PUNCT	_
.	PUNCT	.
""""	PUNCT	""""
--E.	PROPN	--E.
NOEL	PROPN	NOEL
CODMAN	PROPN	CODMAN
.	PUNCT	.
""""	PUNCT	""""
Too	ADV	too
urbane	ADJ	urbane
to	PART	to
advocate	VERB	advocate
delusion	NOUN	delusion
,	PUNCT	,
too	ADV	too
hale	ADJ	hale
for	ADP	for
the	DET	the
bitterness	NOUN	bitterness
of	NOUN	of
irony	NOUN	irony
,	PUNCT	,
this	DET	this
fable	NOUN	fable
of	ADP	of
Jurgen	PROPN	Jurgen
is	AUX	be
,	PUNCT	,
as	ADP	as
the	DET	the
world	NOUN	world
itself	PRON	itself
,	PUNCT	,
a	DET	a
book	NOUN	book
wherein	SCONJ	wherein
each	DET	each
man	NOUN	man
will	AUX	will
find	VERB	find
what	PRON	what
his	PRON	his
nature	NOUN	nature
enables	VERB	enable
him	PRON	he
to	PART	to
see	VERB	see
;	PUNCT	;
which	DET	which
gives	VERB	give
us	PRON	we
back	ADP	back
each	DET	each
his	PRON	his
own	ADJ	own
image	NOUN	image
;	PUNCT	;
and	CCONJ	and
which	DET	which
teaches	VERB	teach
us	PRON	we
each	DET	each
the	DET	the
lesson	NOUN	lesson
that	PRON	that
each	DET	each
of	ADP	of
us	PRON	we
desires	VERB	desire
to	PART	to
learn	VERB	learn
.	PUNCT	.
""""	PUNCT	""""
--JOHN	PROPN	--JOHN
FREDERICK	PROPN	FREDERICK
LEWISTAM	PROPN	LEWISTAM
.	PUNCT	.
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
_	PUNCT	_
CONTENTS	VERB	content
_	X	_
A	DET	a
FOREWORD	NOUN	foreword
:	PUNCT	:
WHICH	DET	which
ASSERTS	VERB	assert
NOTHING	X	nothing
I	PRON	I
WHY	SCONJ	why
JURGEN	PROPN	JURGEN
DID	AUX	do
THE	DET	the
MANLY	ADJ	manly
THING	NOUN	thing
II	NOUN	ii
ASSUMPTION	NOUN	assumption
OF	ADP	of
A	DET	a
NOTED	VERB	note
GARMENT	NOUN	garment
III	ADP	iii
THE	DET	the
GARDEN	NOUN	garden
BETWEEN	ADP	between
DAWN	PROPN	DAWN
AND	CCONJ	and
SUNRISE	VERB	sunrise
IV	X	iv
THE	DET	the
DOROTHY	NOUN	dorothy
WHO	PRON	who
DID	AUX	do
NOT	PART	not
UNDERSTAND	VERB	understand
V	VERB	v
REQUIREMENTS	NOUN	requirement
OF	ADP	of
BREAD	NOUN	bread
AND	CCONJ	and
BUTTER	NOUN	butter
VI	X	vi
SHOWING	VERB	show
THAT	SCONJ	that
SEREDA	NOUN	sereda
IS	AUX	be
FEMININE	NOUN	feminine
VII	NOUN	vii
OF	ADP	of
COMPROMISES	NOUN	compromise
ON	ADP	on
A	DET	a
WEDNESDAY	PROPN	WEDNESDAY
VIII	NUM	viii
OLD	ADJ	old
TOYS	NOUN	toy
AND	CCONJ	and
A	DET	a
NEW	ADJ	new
SHADOW	NOUN	shadow
IX	PROPN	IX
THE	DET	the
ORTHODOX	NOUN	orthodox
RESCUE	NOUN	rescue
OF	ADP	of
GUENEVERE	ADJ	guenevere
X	NOUN	x
PITIFUL	ADJ	pitiful
DISGUISES	NOUN	disguise
OF	ADP	of
THRAGNAR	NOUN	thragnar
XI	NOUN	xi
APPEARANCE	NOUN	appearance
OF	ADP	of
THE	DET	the
DUKE	NOUN	duke
OF	ADP	of
LOGREUS	PROPN	LOGREUS
XII	NOUN	xii
EXCURSUS	NOUN	excursus
OF	ADP	of
YOLANDE	PROPN	YOLANDE
'S	PART	's
UNDOING	NOUN	undoing
XIII	NOUN	xiii
PHILOSOPHY	NOUN	philosophy
OF	ADP	of
GOGYRVAN	PROPN	GOGYRVAN
GAWR	PROPN	GAWR
XIV	PROPN	XIV
PRELIMINARY	NOUN	preliminary
TACTICS	NOUN	tactic
OF	ADP	of
DUKE	PROPN	DUKE
JURGEN	PROPN	JURGEN
XV	NOUN	xv
OF	ADP	of
COMPROMISES	NOUN	compromise
IN	ADP	in
GLATHION	NOUN	glathion
XVI	PROPN	XVI
DIVERS	PROPN	DIVERS
IMBROGLIOS	NOUN	imbroglio
OF	ADP	of
KING	PROPN	KING
SMOIT	PROPN	SMOIT
XVII	PROPN	XVII
ABOUT	ADP	about
A	DET	a
COCK	NOUN	cock
THAT	PRON	that
CROWED	VERB	crow
TOO	ADV	too
SOON	ADV	soon
XVIII	NOUN	xviii
WHY	SCONJ	why
MERLIN	PROPN	MERLIN
TALKED	VERB	talk
IN	ADP	in
TWILIGHT	PROPN	TWILIGHT
XIX	PROPN	XIX
THE	DET	the
BROWN	VERB	BROWN
MAN	NOUN	man
WITH	ADP	with
QUEER	PROPN	QUEER
FEET	NOUN	feet
XX	PROPN	XX
EFFICACY	NOUN	efficacy
OF	ADP	of
PRAYER	PROPN	PRAYER
XXI	PROPN	XXI
HOW	SCONJ	how
ANAÏTIS	X	anaïtis
VOYAGED	VERB	voyage
XXII	PROPN	XXII
AS	ADP	as
TO	ADP	to
A	DET	a
VEIL	NOUN	veil
THEY	PRON	they
BROKE	VERB	broke
XXIII	NUM	xxiii
SHORTCOMINGS	NOUN	shortcoming
OF	ADP	of
PRINCE	PROPN	PRINCE
JURGEN	PROPN	JURGEN
XXIV	PROPN	XXIV
OF	ADP	of
COMPROMISES	NOUN	compromise
IN	ADP	in
COCAIGNE	NOUN	cocaigne
XXV	ADJ	xxv
CANTRAPS	NOUN	cantrap
OF	ADP	of
THE	DET	the
MASTER	NOUN	master
PHILOLOGIST	NOUN	philologist
XXVI	X	xxvi
IN	ADP	in
TIME	NOUN	time
'S	PART	's
HOUR	NOUN	hour
-	PUNCT	-
GLASS	NOUN	glass
XXVII	ADJ	xxvii
VEXATIOUS	ADJ	vexatious
ESTATE	NOUN	estate
OF	ADP	of
QUEEN	PROPN	QUEEN
HELEN	PROPN	HELEN
XXVIII	NOUN	xxviii
OF	ADP	of
COMPROMISES	NOUN	compromise
IN	ADP	in
LEUKÊ	PROPN	LEUKÊ
XXIX	NUM	xxix
CONCERNING	VERB	concern
HORVENDILE	PROPN	HORVENDILE
'S	PART	's
NONSENSE	NOUN	NONSENSE
XXX	NOUN	xxx
ECONOMICS	NOUN	economic
OF	ADP	of
KING	PROPN	KING
JURGEN	PROPN	JURGEN
XXXI	PROPN	XXXI
THE	DET	the
FALL	NOUN	fall
OF	ADP	of
PSEUDOPOLIS	PROPN	PSEUDOPOLIS
XXXII	PROPN	XXXII
SUNDRY	NOUN	sundry
DEVICES	NOUN	device
OF	ADP	of
THE	DET	the
PHILISTINES	PROPN	PHILISTINES
XXXIII	PROPN	XXXIII
FAREWELL	PROPN	FAREWELL
TO	ADP	to
CHLORIS	X	chloris
XXXIV	X	xxxiv
HOW	SCONJ	how
EMPEROR	PROPN	EMPEROR
JURGEN	PROPN	JURGEN
FARED	VERB	fare
INFERNALLY	ADV	infernally
XXXV	X	xxxv
WHAT	DET	what
GRANDFATHER	NOUN	grandfather
SATAN	PROPN	SATAN
REPORTED	VERB	report
XXXVI	X	xxxvi
WHY	SCONJ	why
COTH	PROPN	COTH
WAS	AUX	be
CONTRADICTED	VERB	contradict
XXXVII	X	xxxvii
INVENTION	NOUN	invention
OF	ADP	of
THE	DET	the
LOVELY	ADV	lovely
VAMPIRE	PROPN	VAMPIRE
XXXVIII	X	xxxviii
AS	ADP	as
TO	PART	to
APPLAUDED	VERB	applaud
PRECEDENTS	NOUN	precedent
XXXIX	X	xxxix
OF	ADP	of
COMPROMISES	NOUN	compromise
IN	ADP	in
HELL	PROPN	HELL
XL	PROPN	XL
THE	DET	the
ASCENSION	NOUN	ascension
OF	ADP	of
POPE	PROPN	POPE
JURGEN	PROPN	JURGEN
XLI	PROPN	XLI
OF	ADP	of
COMPROMISES	NOUN	compromise
IN	ADP	in
HEAVEN	PROPN	HEAVEN
XLII	PROPN	XLII
TWELVE	ADJ	twelve
THAT	PRON	that
ARE	AUX	be
FRETTED	VERB	fret
HOURLY	NOUN	hourly
XLIII	PROPN	XLIII
POSTURES	NOUN	posture
BEFORE	ADP	before
A	DET	a
SHADOW	NOUN	shadow
XLIV	NOUN	xliv
IN	ADP	in
THE	DET	the
MANAGER	NOUN	manager
'S	PART	's
OFFICE	NOUN	office
XLV	X	xlv
THE	DET	the
FAITH	NOUN	faith
OF	ADP	of
GUENEVERE	PROPN	GUENEVERE
XLVI	PROPN	XLVI
THE	DET	the
DESIRE	NOUN	desire
OF	ADP	of
ANAÏTIS	PROPN	ANAÏTIS
XLVII	PROPN	XLVII
THE	DET	the
VISION	NOUN	vision
OF	ADP	of
HELEN	PROPN	HELEN
XLVIII	PROPN	XLVIII
CANDID	PROPN	CANDID
