AHEAD	ADV	ahead
OF	ADP	of
HIS	PRON	his
TIME	NOUN	time
_	PUNCT	_
a	DET	a
novelet	NOUN	novelet
by	ADP	by
_	PUNCT	_
RAY	PROPN	RAY
CUMMINGS	PROPN	CUMMINGS
CHAPTER	NOUN	chapter
I	NUM	i
_	PUNCT	_
Radiant	PROPN	Radiant
Child	NOUN	child
_	X	_
He	PRON	he
was	AUX	be
about	ADV	about
two	NUM	two
years	NOUN	year
old	ADJ	old
when	SCONJ	when
he	PRON	he
first	ADV	first
became	VERB	become
aware	ADJ	aware
that	SCONJ	that
there	PRON	there
was	AUX	be
always	ADV	always
a	DET	a
dim	ADJ	dim
glow	NOUN	glow
of	ADP	of
light	NOUN	light
around	ADP	around
him	PRON	he
.	PUNCT	.
It	PRON	it
was	AUX	be
nice	ADJ	nice
,	PUNCT	,
because	SCONJ	because
it	PRON	it
shone	VERB	shine
on	ADP	on
the	DET	the
bright	ADV	bright
-	PUNCT	-
colored	ADJ	colored
little	ADJ	little
animals	NOUN	animal
,	PUNCT	,
birds	NOUN	bird
and	CCONJ	and
fishes	NOUN	fish
which	DET	which
were	AUX	be
on	ADP	on
the	DET	the
inside	NOUN	inside
of	ADP	of
his	PRON	his
white	ADJ	white
enameled	ADJ	enameled
crib	NOUN	crib
.	PUNCT	.
Even	ADV	even
in	ADP	in
the	DET	the
daytime	NOUN	daytime
he	PRON	he
was	AUX	be
sometimes	ADV	sometimes
aware	ADJ	aware
of	ADP	of
the	DET	the
glow	NOUN	glow
.	PUNCT	.
In	ADP	in
the	DET	the
afternoons	NOUN	afternoon
,	PUNCT	,
when	SCONJ	when
the	DET	the
summer	NOUN	summer
sunlight	NOUN	sunlight
was	AUX	be
hot	ADJ	hot
and	CCONJ	and
bright	ADJ	bright
,	PUNCT	,
and	CCONJ	and
his	PRON	his
mother	NOUN	mother
would	AUX	would
put	VERB	put
him	PRON	he
into	ADP	into
his	PRON	his
crib	NOUN	crib
when	SCONJ	when
he	PRON	he
was	AUX	be
n't	PART	not
a	DET	a
bit	NOUN	bit
sleepy	ADJ	sleepy
,	PUNCT	,
he	PRON	he
would	AUX	would
lie	VERB	lie
staring	VERB	stare
at	ADP	at
the	DET	the
little	ADJ	little
figures	NOUN	figure
.	PUNCT	.
He	PRON	he
could	AUX	could
see	VERB	see
them	PRON	they
plainly	ADV	plainly
,	PUNCT	,
because	SCONJ	because
the	DET	the
pale	ADJ	pale
silver	ADJ	silver
glow	NOUN	glow
was	AUX	be
on	ADP	on
them	PRON	they
.	PUNCT	.
""""	PUNCT	""""
But	CCONJ	but
it	PRON	it
frightens	VERB	frighten
me	PRON	I
,	PUNCT	,
Robert	PROPN	Robert
.	PUNCT	.
Our	PRON	our
little	ADJ	little
son	NOUN	son
--	PUNCT	--
so	ADV	so
queer	ADJ	queer
--	PUNCT	--
weird	ADJ	weird
!	PUNCT	!
""""	PUNCT	""""
That	DET	that
was	AUX	be
his	PRON	his
mother	NOUN	mother
's	PART	's
murmured	VERB	murmur
voice	NOUN	voice
,	PUNCT	,
as	ADP	as
she	PRON	she
stood	VERB	stand
one	NUM	one
night	NOUN	night
with	ADP	with
his	PRON	his
father	NOUN	father
at	ADP	at
the	DET	the
doorway	NOUN	doorway
of	ADP	of
his	PRON	his
dim	ADJ	dim
bedroom	NOUN	bedroom
.	PUNCT	.
""""	PUNCT	""""
It	PRON	it
must	AUX	must
n't	PART	not
frighten	VERB	frighten
you	PRON	you
,	PUNCT	,
Mary	PROPN	Mary
.	PUNCT	.
After	ADV	after
all	ADV	all
,	PUNCT	,
you	PRON	you
're	AUX	be
a	DET	a
scientist	NOUN	scientist
too	ADV	too
.	PUNCT	.
""""	PUNCT	""""
Then	ADV	then
their	PRON	their
voices	NOUN	voice
faded	VERB	fade
as	ADP	as
they	PRON	they
went	VERB	go
back	ADV	back
into	ADP	into
their	PRON	their
own	ADJ	own
room	NOUN	room
.	PUNCT	.
Robert	PROPN	Robert
Thome	PROPN	Thome
closed	VERB	close
their	PRON	their
bedroom	NOUN	bedroom
door	NOUN	door
.	PUNCT	.
He	PRON	he
was	AUX	be
a	DET	a
famous	ADJ	famous
experimental	NOUN	experimental
physicist	NOUN	physicist
,	PUNCT	,
and	CCONJ	and
his	PRON	his
wife	NOUN	wife
was	AUX	be
his	PRON	his
assistant	NOUN	assistant
.	PUNCT	.
Both	DET	both
of	ADP	of
them	PRON	they
were	AUX	be
scientists	NOUN	scientist
.	PUNCT	.
Mary	PROPN	Mary
Thome	PROPN	Thome
knew	VERB	know
,	PUNCT	,
of	ADP	of
course	NOUN	course
,	PUNCT	,
that	SCONJ	that
there	PRON	there
were	AUX	be
things	NOUN	thing
very	ADV	very
strange	ADJ	strange
about	ADP	about
this	DET	this
little	ADJ	little
son	NOUN	son
,	PUNCT	,
but	CCONJ	but
she	PRON	she
was	AUX	be
a	DET	a
mother	NOUN	mother
as	ADV	as
well	ADV	well
as	ADP	as
a	DET	a
scientist	NOUN	scientist
,	PUNCT	,
and	CCONJ	and
she	PRON	she
had	AUX	have
tried	VERB	try
to	PART	to
ignore	VERB	ignore
it	PRON	it
,	PUNCT	,
