Under	ADP	under
Wellington	PROPN	Wellington
's	PART	's
Command	NOUN	command
:	PUNCT	:
A	DET	a
Tale	PROPN	Tale
of	ADP	of
the	DET	the
Peninsular	ADJ	peninsular
War	PROPN	War
by	ADP	by
G.	PROPN	G.
A.	PROPN	A.
Henty	PROPN	Henty
.	PUNCT	.
Contents	NOUN	content
Preface	NOUN	preface
.	PUNCT	.
Chapter	NOUN	chapter
1	NUM	1
:	PUNCT	:
A	DET	a
Detached	VERB	detach
Force	NOUN	force
.	PUNCT	.
Chapter	NOUN	chapter
2	NUM	2
:	PUNCT	:
Talavera	PROPN	Talavera
.	PUNCT	.
Chapter	NOUN	chapter
3	NUM	3
:	PUNCT	:
Prisoners	NOUN	prisoner
.	PUNCT	.
Chapter	NOUN	chapter
4	NUM	4
:	PUNCT	:
Guerillas	NOUN	guerilla
.	PUNCT	.
Chapter	NOUN	chapter
5	NUM	5
:	PUNCT	:
An	DET	an
Escape	NOUN	escape
.	PUNCT	.
Chapter	NOUN	chapter
6	NUM	6
:	PUNCT	:
Afloat	NOUN	afloat
.	PUNCT	.
Chapter	NOUN	chapter
7	NUM	7
:	PUNCT	:
A	DET	a
French	ADJ	french
Privateer	NOUN	privateer
.	PUNCT	.
Chapter	NOUN	chapter
8	NUM	8
:	PUNCT	:
A	DET	a
Smart	ADJ	smart
Engagement	NOUN	engagement
.	PUNCT	.
Chapter	NOUN	chapter
9	NUM	9
:	PUNCT	:
Rejoining	VERB	rejoin
.	PUNCT	.
Chapter	NOUN	chapter
10	NUM	10
:	PUNCT	:
Almeida	PROPN	Almeida
.	PUNCT	.
Chapter	NOUN	chapter
11	NUM	11
:	PUNCT	:
The	DET	the
French	ADJ	french
Advance	NOUN	advance
.	PUNCT	.
Chapter	NOUN	chapter
12	NUM	12
:	PUNCT	:
Fuentes	PROPN	Fuentes
D'Onoro	PROPN	D'Onoro
.	PUNCT	.
Chapter	NOUN	chapter
13	NUM	13
:	PUNCT	:
From	ADP	from
Salamanca	PROPN	Salamanca
To	ADP	to
Cadiz	PROPN	Cadiz
.	PUNCT	.
Chapter	NOUN	chapter
14	NUM	14
:	PUNCT	:
Effecting	VERB	effect
A	DET	a
Diversion	NOUN	diversion
.	PUNCT	.
Chapter	NOUN	chapter
15	NUM	15
:	PUNCT	:
Dick	PROPN	Dick
Ryan	PROPN	Ryan
's	PART	's
Capture	NOUN	capture
.	PUNCT	.
Chapter	NOUN	chapter
16	NUM	16
:	PUNCT	:
Back	ADV	back
With	ADP	with
The	DET	the
Army	NOUN	army
.	PUNCT	.
Chapter	NOUN	chapter
17	NUM	17
:	PUNCT	:
Ciudad	PROPN	Ciudad
Rodrigo	PROPN	Rodrigo
.	PUNCT	.
Chapter	NOUN	chapter
18	NUM	18
:	PUNCT	:
The	DET	the
Sack	NOUN	sack
Of	ADP	of
A	DET	a
City	NOUN	city
.	PUNCT	.
Chapter	NOUN	chapter
19	NUM	19
:	PUNCT	:
Gratitude	NOUN	gratitude
.	PUNCT	.
Chapter	NOUN	chapter
20	NUM	20
:	PUNCT	:
Salamanca	PROPN	Salamanca
.	PUNCT	.
Chapter	NOUN	chapter
21	NUM	21
:	PUNCT	:
Home	NOUN	home
Again	ADV	again
.	PUNCT	.
Illustrations	NOUN	illustration
""""	PUNCT	""""
You	PRON	you
may	AUX	may
as	ADV	as
well	ADV	well
make	VERB	make
your	PRON	your
report	NOUN	report
to	ADP	to
me	PRON	I
,	PUNCT	,
O'Connor	PROPN	O'Connor
.	PUNCT	.
""""	PUNCT	""""
Plan	NOUN	plan
of	ADP	of
the	DET	the
Battle	PROPN	Battle
of	ADP	of
Talavera	PROPN	Talavera
.	PUNCT	.
""""	PUNCT	""""
We	PRON	we
surrender	VERB	surrender
,	PUNCT	,
sir	NOUN	sir
,	PUNCT	,
as	ADP	as
prisoners	NOUN	prisoner
of	ADP	of
war	NOUN	war
.	PUNCT	.
""""	PUNCT	""""
Stooping	VERB	stoop
so	SCONJ	so
that	SCONJ	that
their	PRON	their
figures	NOUN	figure
