ROBUR	X	robur
by	ADP	by
little	ADJ	little
the	DET	the
knot	NOUN	knot
slipped	VERB	slip
,	PUNCT	,
his	PRON	his
fingers	NOUN	finger
slipped	VERB	slip
over	ADP	over
each	DET	each
other	ADJ	other
,	PUNCT	,
and	CCONJ	and
his	PRON	his
hands	NOUN	hand
regained	VERB	regain
their	PRON	their
usual	ADJ	usual
freedom	NOUN	freedom
.	PUNCT	.
A	DET	a
vigorous	ADJ	vigorous
rubbing	NOUN	rubbing
restored	VERB	restore
the	DET	the
circulation	NOUN	circulation
.	PUNCT	.
A	DET	a
moment	NOUN	moment
after	ADP	after
he	PRON	he
had	AUX	have
slipped	VERB	slip
off	ADP	off
the	DET	the
bandage	NOUN	bandage
which	DET	which
bound	VERB	bind
his	PRON	his
eyes	NOUN	eye
,	PUNCT	,
taken	VERB	take
the	DET	the
gag	NOUN	gag
out	ADP	out
of	ADP	of
his	PRON	his
mouth	NOUN	mouth
,	PUNCT	,
and	CCONJ	and
cut	VERB	cut
the	DET	the
cords	NOUN	cord
round	ADP	round
his	PRON	his
ankles	NOUN	ankle
with	ADP	with
his	PRON	his
knife	NOUN	knife
.	PUNCT	.
An	DET	an
American	PROPN	American
who	PRON	who
has	AUX	have
not	PART	not
a	DET	a
bowie	NOUN	bowie
-	PUNCT	-
knife	NOUN	knife
in	ADP	in
his	PRON	his
pocket	NOUN	pocket
is	AUX	be
no	ADV	no
longer	ADV	long
an	DET	an
American	PROPN	American
.	PUNCT	.
But	CCONJ	but
if	SCONJ	if
Phil	PROPN	Phil
Evans	PROPN	Evans
had	AUX	have
regained	VERB	regain
the	DET	the
power	NOUN	power
of	ADP	of
moving	VERB	move
and	CCONJ	and
speaking	VERB	speak
,	PUNCT	,
that	DET	that
was	AUX	be
all	DET	all
.	PUNCT	.
His	PRON	his
eyes	NOUN	eye
were	AUX	be
useless	ADJ	useless
to	ADP	to
him	PRON	he
—	PUNCT	—
at	ADP	at
present	NOUN	present
at	ADP	at
any	DET	any
rate	NOUN	rate
.	PUNCT	.
The	DET	the
prison	NOUN	prison
was	AUX	be
quite	ADV	quite
dark	ADJ	dark
,	PUNCT	,
though	SCONJ	though
about	ADP	about
six	NUM	six
feet	NOUN	foot
above	ADP	above
him	PRON	he
a	DET	a
feeble	ADJ	feeble
gleam	NOUN	gleam
of	ADP	of
light	NOUN	light
came	VERB	come
in	ADV	in
through	ADP	through
a	DET	a
kind	NOUN	kind
of	ADP	of
loophole	NOUN	loophole
.	PUNCT	.
As	ADP	as
may	AUX	may
be	AUX	be
imagined	VERB	imagine
,	PUNCT	,
Phil	PROPN	Phil
Evans	PROPN	Evans
did	AUX	do
not	PART	not
hesitate	VERB	hesitate
to	PART	to
at	ADP	at
once	ADV	once
set	VERB	set
free	ADJ	free
his	PRON	his
rival	NOUN	rival
.	PUNCT	.
A	DET	a
few	ADJ	few
cuts	NOUN	cut
with	ADP	with
the	DET	the
bowie	NOUN	bowie
settled	VERB	settle
the	DET	the
knots	NOUN	knot
which	DET	which
bound	VERB	bind
him	PRON	he
foot	NOUN	foot
and	CCONJ	and
hand	NOUN	hand
.	PUNCT	.
Immediately	ADV	immediately
Uncle	PROPN	Uncle
Prudent	PROPN	Prudent
rose	VERB	rise
to	ADP	to
his	PRON	his
knees	NOUN	knee
and	CCONJ	and
snatched	VERB	snatch
away	ADV	away
his	PRON	his
bandage	NOUN	bandage
and	CCONJ	and
gag	NOUN	gag
.	PUNCT	.
“	PUNCT	""""
Thanks	NOUN	thank
.	PUNCT	.
”	PUNCT	""""
said	VERB	say
he	PRON	he
,	PUNCT	,
in	ADP	in
stifled	ADJ	stifled
voice	NOUN	voice
.	PUNCT	.
“	PUNCT	""""
Phil	PROPN	Phil
Evans	PROPN	Evans
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
Uncle	PROPN	Uncle
Prudent	PROPN	Prudent
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
Here	ADV	here
we	PRON	we
are	AUX	be
no	ADV	no
longer	ADV	long
the	DET	the
president	NOUN	president
and	CCONJ	and
secretary	NOUN	secretary
of	ADP	of
the	DET	the
Weldon	PROPN	Weldon
Institute	PROPN	Institute
.	PUNCT	.
We	PRON	we
are	AUX	be
adversaries	NOUN	adversary
no	DET	no
more	ADV	more
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
You	PRON	you
are	AUX	be
right	ADJ	right
.	PUNCT	.
”	PUNCT	""""
answered	VERB	answer
Evans	PROPN	Evans
.	PUNCT	.
“	PUNCT	""""
We	PRON	we
are	AUX	be
now	ADV	now
only	ADV	only
two	NUM	two
men	NOUN	man
agreed	VERB	agree
to	PART	to
avenge	VERB	avenge
ourselves	PRON	ourselves
on	ADP	on
a	DET	a
third	ADJ	third
whose	DET	whose
attempt	NOUN	attempt
deserves	VERB	deserve
severe	ADJ	severe
reprisals	NOUN	reprisal
.	PUNCT	.
And	CCONJ	and
this	DET	this
third	ADJ	third
is	AUX	be
—	PUNCT	—
”	PUNCT	""""
“	PUNCT	""""
Robur	PROPN	Robur
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
It	PRON	it
is	AUX	be
Robur	PROPN	Robur
!	PUNCT	!
”	PUNCT	""""
On	ADP	on
this	DET	this
point	NOUN	point
both	DET	both
were	AUX	be
absolutely	ADV	absolutely
in	ADP	in
accord	NOUN	accord
.	PUNCT	.
On	ADP	on
this	DET	this
subject	NOUN	subject
there	PRON	there
was	AUX	be
no	DET	no
fear	NOUN	fear
of	ADP	of
dispute	NOUN	dispute
.	PUNCT	.
“	PUNCT	""""
And	CCONJ	and
your	PRON	your
servant	NOUN	servant
?	PUNCT	?
”	PUNCT	""""
said	VERB	say
Phil	PROPN	Phil
Evans	PROPN	Evans
,	PUNCT	,
pointing	VERB	point
to	ADP	to
Frycollin	PROPN	Frycollin
,	PUNCT	,
who	PRON	who
was	AUX	be
puffing	VERB	puff
like	ADP	like
a	DET	a
grampus	NOUN	grampus
.	PUNCT	.
“	PUNCT	""""
We	PRON	we
must	AUX	must
set	VERB	set
him	PRON	he
free	ADJ	free
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Not	PART	not
yet	ADV	yet
.	PUNCT	.
”	PUNCT	""""
said	VERB	say
Uncle	PROPN	Uncle
Prudent	PROPN	Prudent
.	PUNCT	.
“	PUNCT	""""
He	PRON	he
would	AUX	would
overwhelm	VERB	overwhelm
us	PRON	we
with	ADP	with
his	NOUN	his
jeremiads	NOUN	jeremiad
,	PUNCT	,
and	CCONJ	and
we	PRON	we
have	AUX	have
something	PRON	something
else	ADV	else
to	PART	to
do	AUX	do
than	ADP	than
abuse	VERB	abuse
each	DET	each
other	ADJ	other
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
What	PRON	what
is	AUX	be
that	DET	that
,	PUNCT	,
Uncle	PROPN	Uncle
Prudent	PROPN	Prudent
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
To	PART	to
save	VERB	save
ourselves	PRON	ourselves
if	SCONJ	if
possible	ADJ	possible
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
You	PRON	you
are	AUX	be
right	ADJ	right
,	PUNCT	,
even	ADV	even
if	SCONJ	if
it	PRON	it
is	AUX	be
impossible	ADJ	impossible
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
And	CCONJ	and
even	ADV	even
if	SCONJ	if
it	PRON	it
is	AUX	be
impossible	ADJ	impossible
.	PUNCT	.
”	PUNCT	""""
There	PRON	there
could	AUX	could
be	AUX	be
no	DET	no
doubt	NOUN	doubt
that	SCONJ	that
this	DET	this
kidnapping	NOUN	kidnapping
was	AUX	be
due	ADJ	due
to	ADP	to
Robur	PROPN	Robur
,	PUNCT	,
for	ADP	for
an	DET	an
ordinary	ADJ	ordinary
thief	NOUN	thief
would	AUX	would
have	AUX	have
relieved	VERB	relieve
them	PRON	they
of	ADP	of
their	PRON	their
watches	NOUN	watch
,	PUNCT	,
jewelry	NOUN	jewelry
,	PUNCT	,
and	CCONJ	and
purses	NOUN	purse
,	PUNCT	,
and	CCONJ	and
thrown	VERB	throw
their	PRON	their
bodies	NOUN	body
into	ADP	into
the	DET	the
Schuyllkill	PROPN	Schuyllkill
with	ADP	with
a	DET	a
good	ADJ	good
gash	NOUN	gash
in	NOUN	in
their	PRON	their
throats	NOUN	throat
instead	ADV	instead
of	ADP	of
throwing	VERB	throw
them	PRON	they
to	ADP	to
the	DET	the
bottom	NOUN	bottom
of	ADP	of
—	PUNCT	—
Of	ADP	of
what	PRON	what
?	PUNCT	?
That	DET	that
was	AUX	be
a	DET	a
serious	ADJ	serious
question	NOUN	question
,	PUNCT	,
which	DET	which
would	AUX	would
have	AUX	have
to	PART	to
be	AUX	be
answered	VERB	answer
before	ADP	before
attempting	VERB	attempt
an	DET	an
escape	NOUN	escape
with	ADP	with
any	DET	any
chance	NOUN	chance
of	ADP	of
success	NOUN	success
.	PUNCT	.
“	PUNCT	""""
Phil	PROPN	Phil
Evans	PROPN	Evans
.	PUNCT	.
”	PUNCT	""""
began	VERB	begin
Uncle	PROPN	Uncle
Prudent	PROPN	Prudent
,	PUNCT	,
“	PUNCT	""""
if	SCONJ	if
,	PUNCT	,
when	SCONJ	when
we	PRON	we
came	VERB	come
away	ADV	away
from	ADP	from
our	PRON	our
meeting	NOUN	meeting
,	PUNCT	,
instead	ADV	instead
of	ADP	of
indulging	VERB	indulge
in	ADP	in
amenities	NOUN	amenity
to	PART	to
which	DET	which
we	PRON	we
need	AUX	need
not	PART	not
recur	VERB	recur
,	PUNCT	,
we	PRON	we
had	AUX	have
kept	VERB	keep
our	PRON	our
eyes	NOUN	eye
more	ADV	more
open	ADJ	open
,	PUNCT	,
this	DET	this
would	AUX	would
not	PART	not
have	AUX	have
happened	VERB	happen
.	PUNCT	.
Had	AUX	have
we	PRON	we
remained	VERB	remain
in	ADP	in
the	DET	the
streets	NOUN	street
of	ADP	of
Philadelphia	PROPN	Philadelphia
there	PRON	there
would	AUX	would
have	AUX	have
been	AUX	be
none	NOUN	none
of	ADP	of
this	DET	this
.	PUNCT	.
Evidently	ADV	evidently
Robur	PROPN	Robur
foresaw	VERB	foresee
what	PRON	what
would	AUX	would
happen	VERB	happen
at	ADP	at
the	DET	the
club	NOUN	club
,	PUNCT	,
and	CCONJ	and
had	AUX	have
placed	VERB	place
some	DET	some
of	ADP	of
his	PRON	his
bandits	NOUN	bandit
on	ADP	on
guard	NOUN	guard
at	ADP	at
the	DET	the
door	NOUN	door
.	PUNCT	.
When	SCONJ	when
we	PRON	we
left	VERB	leave
Walnut	PROPN	Walnut
Street	PROPN	Street
these	DET	these
fellows	NOUN	fellow
must	AUX	must
have	AUX	have
watched	VERB	watch
us	PRON	we
and	CCONJ	and
followed	VERB	follow
us	PRON	we
,	PUNCT	,
and	CCONJ	and
when	SCONJ	when
we	PRON	we
imprudently	ADV	imprudently
ventured	VERB	venture
into	ADP	into
Fairmount	PROPN	Fairmount
Park	PROPN	Park
they	PRON	they
went	VERB	go
in	ADV	in
for	ADP	for
their	PRON	their
little	ADJ	little
game	NOUN	game
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Agreed	VERB	agree
.	PUNCT	.
”	PUNCT	""""
said	VERB	say
Evans	PROPN	Evans
.	PUNCT	.
“	PUNCT	""""
We	PRON	we
were	AUX	be
wrong	ADJ	wrong
not	PART	not
to	PART	to
go	VERB	go
straight	ADV	straight
home	ADV	home
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
It	PRON	it
is	AUX	be
always	ADV	always
wrong	ADJ	wrong
not	PART	not
to	PART	to
be	AUX	be
right	ADJ	right
.	PUNCT	.
”	PUNCT	""""
said	VERB	say
Prudent	PROPN	Prudent
.	PUNCT	.
Here	ADV	here
a	DET	a
long	ADV	long
-	PUNCT	-
drawn	VERB	draw
sigh	NOUN	sigh
escaped	VERB	escape
from	ADP	from
the	DET	the
darkest	ADJ	dark
corner	NOUN	corner
of	ADP	of
the	DET	the
prison	NOUN	prison
.	PUNCT	.
“	PUNCT	""""
What	PRON	what
is	AUX	be
that	DET	that
?	PUNCT	?
”	PUNCT	""""
asked	VERB	ask
Evans	PROPN	Evans
.	PUNCT	.
“	PUNCT	""""
Nothing	PRON	nothing
!	PUNCT	!
Frycollin	PROPN	Frycollin
is	AUX	be
dreaming	VERB	dream
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Between	ADP	between
the	DET	the
moment	NOUN	moment
we	PRON	we
were	AUX	be
seized	VERB	seize
a	DET	a
few	ADJ	few
steps	NOUN	step
out	ADV	out
into	ADP	into
the	DET	the
clearing	NOUN	clearing
and	CCONJ	and
the	DET	the
moment	NOUN	moment
we	PRON	we
were	AUX	be
thrown	VERB	throw
in	ADP	in
here	ADV	here
only	ADV	only
two	NUM	two
minutes	NOUN	minute
elapsed	VERB	elapse
.	PUNCT	.
It	PRON	it
is	AUX	be
thus	ADV	thus
evident	ADJ	evident
that	SCONJ	that
those	DET	those
people	NOUN	people
did	AUX	do
not	PART	not
take	VERB	take
us	PRON	we
out	ADP	out
of	ADP	of
Fairmount	PROPN	Fairmount
Park	PROPN	Park
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
And	CCONJ	and
if	SCONJ	if
they	PRON	they
had	AUX	have
done	VERB	do
so	ADV	so
we	PRON	we
should	AUX	should
have	AUX	have
felt	VERB	feel
we	PRON	we
were	AUX	be
being	AUX	be
moved	VERB	move
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Undoubtedly	ADV	undoubtedly
;	PUNCT	;
and	CCONJ	and
consequently	ADV	consequently
we	PRON	we
must	AUX	must
be	AUX	be
in	ADP	in
some	DET	some
vehicle	NOUN	vehicle
,	PUNCT	,
perhaps	ADV	perhaps
some	DET	some
of	ADP	of
those	DET	those
long	ADJ	long
prairie	NOUN	prairie
wagons	NOUN	wagon
,	PUNCT	,
or	CCONJ	or
some	DET	some
show	NOUN	show
-	PUNCT	-
caravan	NOUN	caravan
—	PUNCT	—
”	PUNCT	""""
“	PUNCT	""""
Evidently	ADV	evidently
!	PUNCT	!
For	ADP	for
if	SCONJ	if
we	PRON	we
were	AUX	be
in	ADP	in
a	DET	a
boat	NOUN	boat
moored	VERB	moor
on	ADP	on
the	DET	the
Schuyllkill	PROPN	Schuyllkill
we	PRON	we
should	AUX	should
have	AUX	have
noticed	VERB	notice
the	DET	the
movement	NOUN	movement
due	ADJ	due
to	ADP	to
the	DET	the
current	NOUN	current
—	PUNCT	—
”	PUNCT	""""
“	PUNCT	""""
That	DET	that
is	AUX	be
so	ADV	so
;	PUNCT	;
and	CCONJ	and
as	ADP	as
we	PRON	we
are	AUX	be
still	ADV	still
in	ADP	in
the	DET	the
clearing	NOUN	clearing
,	PUNCT	,
I	PRON	I
think	VERB	think
that	SCONJ	that
now	ADV	now
is	AUX	be
the	DET	the
time	NOUN	time
to	PART	to
get	VERB	get
away	ADV	away
,	PUNCT	,
and	CCONJ	and
we	PRON	we
can	AUX	can
return	VERB	return
later	ADV	later
to	PART	to
settle	VERB	settle
with	ADP	with
this	DET	this
Robur	PROPN	Robur
—	PUNCT	—
”	PUNCT	""""
“	PUNCT	""""
And	CCONJ	and
make	VERB	make
him	PRON	he
pay	VERB	pay
for	ADP	for
this	DET	this
attempt	NOUN	attempt
on	ADP	on
the	DET	the
liberty	NOUN	liberty
of	ADP	of
two	NUM	two
citizens	NOUN	citizen
of	ADP	of
the	DET	the
United	PROPN	United
States	PROPN	States
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
And	CCONJ	and
he	PRON	he
shall	AUX	shall
pay	VERB	pay
pretty	ADV	pretty
dearly	ADV	dearly
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
But	CCONJ	but
who	PRON	who
is	AUX	be
this	DET	this
man	NOUN	man
?	PUNCT	?
Where	SCONJ	where
does	AUX	do
he	PRON	he
come	VERB	come
from	ADP	from
?	PUNCT	?
Is	AUX	be
he	PRON	he
English	ADJ	english
,	PUNCT	,
or	CCONJ	or
German	ADJ	german
,	PUNCT	,
or	CCONJ	or
French	ADJ	french
—	PUNCT	—
”	PUNCT	""""
“	PUNCT	""""
He	PRON	he
is	AUX	be
a	DET	a
scoundrel	NOUN	scoundrel
,	PUNCT	,
that	DET	that
is	AUX	be
enough	ADJ	enough
!	PUNCT	!
”	PUNCT	""""
said	VERB	say
Uncle	PROPN	Uncle
Prudent	PROPN	Prudent
.	PUNCT	.
“	PUNCT	""""
Now	ADV	now
to	PART	to
work	VERB	work
.	PUNCT	.
”	PUNCT	""""
And	CCONJ	and
then	ADV	then
the	DET	the
two	NUM	two
men	NOUN	man
,	PUNCT	,
with	ADP	with
their	PRON	their
hands	NOUN	hand
stretched	VERB	stretch
out	ADV	out
and	CCONJ	and
their	PRON	their
fingers	NOUN	finger
wide	ADV	wide
apart	ADV	apart
,	PUNCT	,
began	VERB	begin
to	PART	to
feel	VERB	feel
round	ADP	round
the	DET	the
walls	NOUN	wall
to	PART	to
find	VERB	find
a	DET	a
joint	NOUN	joint
or	CCONJ	or
crack	NOUN	crack
.	PUNCT	.
Nothing	PRON	nothing
.	PUNCT	.
Nothing	PRON	nothing
;	PUNCT	;
not	PART	not
even	ADV	even
at	ADP	at
the	DET	the
door	NOUN	door
.	PUNCT	.
It	PRON	it
was	AUX	be
closely	ADV	closely
shut	VERB	shut
and	CCONJ	and
it	PRON	it
was	AUX	be
impossible	ADJ	impossible
to	PART	to
shoot	VERB	shoot
back	ADV	back
the	DET	the
lock	NOUN	lock
.	PUNCT	.
All	DET	all
that	PRON	that
could	AUX	could
be	AUX	be
done	VERB	do
was	AUX	be
to	PART	to
make	VERB	make
a	NOUN	a
hole	NOUN	hole
,	PUNCT	,
and	CCONJ	and
escape	VERB	escape
through	ADP	through
the	DET	the
hole	NOUN	hole
.	PUNCT	.
It	PRON	it
remained	VERB	remain
to	PART	to
be	AUX	be
seen	VERB	see
if	SCONJ	if
the	DET	the
knives	NOUN	knife
could	AUX	could
cut	VERB	cut
into	ADP	into
the	DET	the
walls	NOUN	wall
.	PUNCT	.
“	PUNCT	""""
But	CCONJ	but
whence	SCONJ	whence
comes	VERB	come
this	DET	this
never	ADV	never
-	PUNCT	-
ending	VERB	end
rustling	NOUN	rustling
?	PUNCT	?
”	PUNCT	""""
asked	VERB	ask
Evans	PROPN	Evans
,	PUNCT	,
who	PRON	who
was	AUX	be
much	ADV	much
impressed	ADJ	impressed
at	ADP	at
the	DET	the
continuous	ADJ	continuous
f	NOUN	f
-	PUNCT	-
r	NOUN	r
-	PUNCT	-
r	NOUN	r
-	PUNCT	-
r.	PUNCT	r.
“	PUNCT	""""
The	DET	the
wind	NOUN	wind
,	PUNCT	,
doubtless	ADV	doubtless
.	PUNCT	.
”	PUNCT	""""
said	VERB	say
Uncle	PROPN	Uncle
Prudent	PROPN	Prudent
.	PUNCT	.
“	PUNCT	""""
The	DET	the
wind	NOUN	wind
!	PUNCT	!
But	CCONJ	but
I	PRON	I
thought	VERB	think
the	DET	the
night	NOUN	night
was	AUX	be
quite	ADV	quite
calm	ADJ	calm
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
So	ADV	so
it	PRON	it
was	AUX	be
.	PUNCT	.
But	CCONJ	but
if	SCONJ	if
it	PRON	it
is	AUX	be
n't	PART	not
the	DET	the
wind	NOUN	wind
,	PUNCT	,
what	PRON	what
can	AUX	can
it	PRON	it
be	AUX	be
?	PUNCT	?
”	PUNCT	""""
Phil	PROPN	Phil
Evans	PROPN	Evans
got	VERB	get
out	ADP	out
the	DET	the
best	ADJ	good
blade	NOUN	blade
of	ADP	of
his	PRON	his
knife	NOUN	knife
and	CCONJ	and
set	VERB	set
to	PART	to
work	VERB	work
on	ADP	on
the	DET	the
wall	NOUN	wall
near	ADP	near
the	DET	the
door	NOUN	door
.	PUNCT	.
Perhaps	ADV	perhaps
he	PRON	he
might	AUX	might
make	VERB	make
a	DET	a
hole	NOUN	hole
which	DET	which
would	AUX	would
enable	VERB	enable
him	PRON	he
to	PART	to
open	VERB	open
it	PRON	it
from	ADP	from
the	DET	the
outside	NOUN	outside
should	AUX	should
it	PRON	it
be	AUX	be
only	ADV	only
bolted	VERB	bolt
or	CCONJ	or
should	AUX	should
the	DET	the
key	NOUN	key
have	AUX	have
been	AUX	be
left	VERB	leave
in	ADP	in
the	DET	the
lock	NOUN	lock
.	PUNCT	.
He	PRON	he
worked	VERB	work
away	ADP	away
for	ADP	for
some	DET	some
minutes	NOUN	minute
.	PUNCT	.
The	DET	the
only	ADJ	only
result	NOUN	result
was	AUX	be
to	PART	to
nip	VERB	nip
up	ADP	up
his	PRON	his
knife	NOUN	knife
,	PUNCT	,
to	PART	to
snip	VERB	snip
off	ADP	off
its	PRON	its
point	NOUN	point
,	PUNCT	,
and	CCONJ	and
transform	VERB	transform
what	PRON	what
was	AUX	be
left	VERB	leave
of	ADP	of
the	DET	the
blade	NOUN	blade
into	ADP	into
a	DET	a
saw	NOUN	saw
.	PUNCT	.
“	PUNCT	""""
Does	AUX	do
n't	PART	not
it	PRON	it
cut	VERB	cut
?	PUNCT	?
”	PUNCT	""""
asked	VERB	ask
Uncle	PROPN	Uncle
Prudent	PROPN	Prudent
.	PUNCT	.
“	PUNCT	""""
No	INTJ	no
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Is	AUX	be
the	DET	the
wall	NOUN	wall
made	VERB	make
of	ADP	of
sheet	NOUN	sheet
iron	NOUN	iron
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
No	INTJ	no
;	PUNCT	;
it	PRON	it
gives	VERB	give
no	DET	no
metallic	ADJ	metallic
sound	NOUN	sound
when	SCONJ	when
you	PRON	you
hit	VERB	hit
it	PRON	it
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Is	AUX	be
it	PRON	it
of	ADP	of
ironwood	NOUN	ironwood
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
No	INTJ	no
;	PUNCT	;
it	PRON	it
is	AUX	be
n't	PART	not
iron	NOUN	iron
and	CCONJ	and
it	PRON	it
is	AUX	be
n't	PART	not
wood	NOUN	wood
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
What	PRON	what
is	AUX	be
it	PRON	it
then	ADV	then
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
Impossible	ADJ	impossible
to	PART	to
say	VERB	say
.	PUNCT	.
But	CCONJ	but
,	PUNCT	,
anyhow	ADV	anyhow
,	PUNCT	,
steel	NOUN	steel
does	AUX	do
n't	PART	not
touch	VERB	touch
it	PRON	it
.	PUNCT	.
”	PUNCT	""""
Uncle	PROPN	Uncle
Prudent	PROPN	Prudent
,	PUNCT	,
in	ADP	in
a	DET	a
sudden	ADJ	sudden
outburst	NOUN	outburst
of	ADP	of
fury	NOUN	fury
,	PUNCT	,
began	VERB	begin
to	PART	to
rave	VERB	rave
and	CCONJ	and
stamp	VERB	stamp
on	ADP	on
the	DET	the
sonorous	ADJ	sonorous
planks	NOUN	plank
,	PUNCT	,
while	SCONJ	while
his	PRON	his
hands	NOUN	hand
sought	VERB	seek
to	PART	to
strangle	VERB	strangle
an	DET	an
imaginary	ADJ	imaginary
Robur	PROPN	Robur
.	PUNCT	.
“	PUNCT	""""
Be	AUX	be
calm	ADJ	calm
,	PUNCT	,
Prudent	PROPN	Prudent
,	PUNCT	,
be	AUX	be
calm	ADJ	calm
!	PUNCT	!
You	PRON	you
have	AUX	have
a	DET	a
try	NOUN	try
.	PUNCT	.
”	PUNCT	""""
Uncle	PROPN	Uncle
Prudent	PROPN	Prudent
had	AUX	have
a	DET	a
try	NOUN	try
,	PUNCT	,
but	CCONJ	but
the	DET	the
bowie	NOUN	bowie
-	PUNCT	-
knife	NOUN	knife
could	AUX	could
do	AUX	do
nothing	PRON	nothing
against	ADP	against
a	DET	a
wall	NOUN	wall
which	DET	which
its	PRON	its
best	ADJ	good
blades	NOUN	blade
could	AUX	could
not	PART	not
even	ADV	even
scratch	VERB	scratch
.	PUNCT	.
The	DET	the
wall	NOUN	wall
seemed	VERB	seem
to	PART	to
be	AUX	be
made	VERB	make
of	ADP	of
crystal	NOUN	crystal
.	PUNCT	.
So	SCONJ	so
it	PRON	it
became	VERB	become
evident	ADJ	evident
that	SCONJ	that
all	DET	all
flight	NOUN	flight
was	AUX	be
impracticable	ADJ	impracticable
except	SCONJ	except
through	ADP	through
the	DET	the
door	NOUN	door
,	PUNCT	,
and	CCONJ	and
for	ADP	for
a	DET	a
time	NOUN	time
they	PRON	they
must	AUX	must
resign	VERB	resign
themselves	PRON	themselves
to	ADP	to
their	PRON	their
fate	NOUN	fate
—	PUNCT	—
not	PART	not
a	DET	a
very	ADV	very
pleasant	ADJ	pleasant
thing	NOUN	thing
for	ADP	for
the	DET	the
Yankee	PROPN	Yankee
temperament	NOUN	temperament
,	PUNCT	,
and	CCONJ	and
very	ADV	very
much	ADV	much
to	ADP	to
the	DET	the
disgust	NOUN	disgust
of	ADP	of
these	DET	these
eminently	ADV	eminently
practical	ADJ	practical
men	NOUN	man
.	PUNCT	.
But	CCONJ	but
this	DET	this
conclusion	NOUN	conclusion
was	AUX	be
not	PART	not
arrived	VERB	arrive
at	ADP	at
without	ADP	without
many	ADJ	many
objurgations	NOUN	objurgation
and	CCONJ	and
loud	ADJ	loud
-	PUNCT	-
sounding	VERB	sound
phrases	NOUN	phrase
hurled	VERB	hurl
at	ADP	at
this	DET	this
Robur	PROPN	Robur
—	PUNCT	—
who	PRON	who
,	PUNCT	,
from	ADP	from
what	PRON	what
had	AUX	have
been	AUX	be
seen	VERB	see
of	ADP	of
him	PRON	he
at	ADP	at
the	DET	the
Weldon	PROPN	Weldon
Institute	PROPN	Institute
,	PUNCT	,
was	AUX	be
not	PART	not
the	DET	the
sort	NOUN	sort
of	ADP	of
man	NOUN	man
to	PART	to
trouble	VERB	trouble
himself	PRON	himself
much	ADV	much
about	ADP	about
them	PRON	they
.	PUNCT	.
Suddenly	ADV	suddenly
Frycollin	PROPN	Frycollin
began	VERB	begin
to	PART	to
give	VERB	give
unequivocal	ADJ	unequivocal
signs	NOUN	sign
of	ADP	of
being	AUX	be
unwell	ADJ	unwell
.	PUNCT	.
He	PRON	he
began	VERB	begin
to	PART	to
writhe	VERB	writhe
in	ADP	in
a	DET	a
most	ADV	most
lamentable	ADJ	lamentable
fashion	NOUN	fashion
,	PUNCT	,
either	CCONJ	either
with	ADP	with
cramp	NOUN	cramp
in	ADP	in
his	PRON	his
stomach	NOUN	stomach
or	CCONJ	or
in	ADP	in
his	PRON	his
limbs	NOUN	limb
;	PUNCT	;
and	CCONJ	and
Uncle	PROPN	Uncle
Prudent	PROPN	Prudent
,	PUNCT	,
thinking	VERB	think
it	PRON	it
his	PRON	his
duty	NOUN	duty
to	PART	to
put	VERB	put
an	DET	an
end	NOUN	end
to	ADP	to
these	DET	these
gymnastics	NOUN	gymnastic
,	PUNCT	,
cut	VERB	cut
the	DET	the
cords	NOUN	cord
that	PRON	that
bound	VERB	bind
him	PRON	he
.	PUNCT	.
He	PRON	he
had	AUX	have
cause	NOUN	cause
to	PART	to
be	AUX	be
sorry	ADJ	sorry
for	ADP	for
it	PRON	it
.	PUNCT	.
Immediately	ADV	immediately
there	PRON	there
was	AUX	be
poured	VERB	pour
forth	ADV	forth
an	DET	an
interminable	ADJ	interminable
litany	NOUN	litany
,	PUNCT	,
in	ADP	in
which	DET	which
the	DET	the
terrors	NOUN	terror
of	ADP	of
fear	NOUN	fear
were	AUX	be
mingled	VERB	mingle
with	ADP	with
the	DET	the
tortures	NOUN	torture
of	ADP	of
hunger	NOUN	hunger
