ROBUR	X	robur
names	NOUN	name
to	ADP	to
posterity	NOUN	posterity
.	PUNCT	.
All	DET	all
we	PRON	we
can	AUX	can
say	VERB	say
is	AUX	be
that	SCONJ	that
the	DET	the
elder	ADJ	eld
was	AUX	be
an	DET	an
Englishman	PROPN	Englishman
and	CCONJ	and
the	DET	the
younger	ADJ	young
an	DET	an
American	PROPN	American
,	PUNCT	,
and	CCONJ	and
both	DET	both
of	ADP	of
them	PRON	they
were	AUX	be
old	ADJ	old
enough	ADV	enough
to	PART	to
know	VERB	know
better	ADV	well
.	PUNCT	.
So	ADV	so
far	ADV	far
as	ADP	as
recording	VERB	record
in	ADP	in
what	DET	what
locality	NOUN	locality
the	DET	the
inoffensive	ADJ	inoffensive
ruminant	NOUN	ruminant
had	AUX	have
just	ADV	just
tasted	VERB	taste
her	PRON	her
last	ADJ	last
tuft	NOUN	tuft
of	ADP	of
herbage	NOUN	herbage
,	PUNCT	,
nothing	PRON	nothing
can	AUX	can
be	AUX	be
easier	ADJ	easy
.	PUNCT	.
It	PRON	it
was	AUX	be
on	ADP	on
the	DET	the
left	ADJ	left
bank	NOUN	bank
of	ADP	of
Niagara	PROPN	Niagara
,	PUNCT	,
not	PART	not
far	ADV	far
from	ADP	from
the	DET	the
suspension	NOUN	suspension
bridge	NOUN	bridge
which	DET	which
joins	VERB	join
the	DET	the
American	PROPN	American
to	ADP	to
the	DET	the
Canadian	ADJ	canadian
bank	NOUN	bank
three	NUM	three
miles	NOUN	mile
from	ADP	from
the	DET	the
falls	NOUN	fall
.	PUNCT	.
The	DET	the
Englishman	PROPN	Englishman
stepped	VERB	step
up	ADP	up
to	ADP	to
the	DET	the
American	PROPN	American
.	PUNCT	.
“	PUNCT	""""
I	PRON	I
contend	VERB	contend
,	PUNCT	,
nevertheless	ADV	nevertheless
,	PUNCT	,
that	SCONJ	that
it	PRON	it
was	AUX	be
‘	PUNCT	'
Rule	PROPN	Rule
Britannia	PROPN	Britannia
!	PUNCT	!
'	PUNCT	'
”	PUNCT	""""
“	PUNCT	""""
And	CCONJ	and
I	PRON	I
say	VERB	say
it	PRON	it
was	AUX	be
‘	PUNCT	'
Yankee	PROPN	Yankee
Doodle	PROPN	Doodle
!	PUNCT	!
'	PUNCT	'
”	PUNCT	""""
replied	VERB	reply
the	DET	the
young	ADJ	young
American	PROPN	American
.	PUNCT	.
The	DET	the
dispute	NOUN	dispute
was	AUX	be
about	ADJ	about
to	PART	to
begin	VERB	begin
again	ADV	again
when	SCONJ	when
one	NUM	one
of	ADP	of
the	DET	the
seconds	NOUN	second
—	PUNCT	—
doubtless	ADJ	doubtless
in	ADP	in
the	DET	the
interests	NOUN	interest
of	ADP	of
the	DET	the
milk	NOUN	milk
trade	NOUN	trade
—	PUNCT	—
interposed	VERB	interpose
.	PUNCT	.
“	PUNCT	""""
Suppose	VERB	suppose
we	PRON	we
say	VERB	say
it	PRON	it
was	AUX	be
‘	PUNCT	'
Rule	PROPN	Rule
Doodle	PROPN	Doodle
'	PUNCT	'
and	CCONJ	and
‘	PUNCT	'
Yankee	PROPN	Yankee
Britannia	PROPN	Britannia
'	PUNCT	'
and	CCONJ	and
adjourn	VERB	adjourn
to	ADP	to
breakfast	NOUN	breakfast
?	PUNCT	?
”	PUNCT	""""
This	DET	this
compromise	NOUN	compromise
between	ADP	between
the	DET	the
national	ADJ	national
airs	NOUN	air
of	ADP	of
Great	PROPN	Great
Britain	PROPN	Britain
and	CCONJ	and
the	DET	the
United	PROPN	United
States	PROPN	States
was	AUX	be
adopted	VERB	adopt
to	ADP	to
the	DET	the
general	ADJ	general
satisfaction	NOUN	satisfaction
.	PUNCT	.
The	DET	the
Americans	PROPN	Americans
and	CCONJ	and
Englishmen	PROPN	Englishmen
walked	VERB	walk
up	ADP	up
the	DET	the
left	ADJ	left
bank	NOUN	bank
of	ADP	of
the	DET	the
Niagara	PROPN	Niagara
on	ADP	on
their	PRON	their
way	NOUN	way
to	ADP	to
Goat	PROPN	Goat
Island	PROPN	Island
,	PUNCT	,
the	DET	the
neutral	ADJ	neutral
ground	NOUN	ground
between	ADP	between
the	DET	the
falls	NOUN	fall
.	PUNCT	.
Let	VERB	let
us	PRON	we
leave	VERB	leave
them	PRON	they
in	ADP	in
the	DET	the
presence	NOUN	presence
of	ADP	of
the	DET	the
boiled	VERB	boil
eggs	NOUN	egg
and	CCONJ	and
traditional	ADJ	traditional
ham	NOUN	ham
,	PUNCT	,
and	CCONJ	and
floods	NOUN	flood
enough	ADJ	enough
of	ADP	of
tea	NOUN	tea
to	PART	to
make	VERB	make
the	DET	the
cataract	NOUN	cataract
jealous	ADJ	jealous
,	PUNCT	,
and	CCONJ	and
trouble	VERB	trouble
ourselves	PRON	ourselves
no	DET	no
more	ADV	more
about	ADP	about
them	PRON	they
.	PUNCT	.
It	PRON	it
is	AUX	be
extremely	ADV	extremely
unlikely	ADJ	unlikely
that	SCONJ	that
we	PRON	we
shall	AUX	shall
again	ADV	again
meet	VERB	meet
with	ADP	with
them	PRON	they
in	ADP	in
this	DET	this
story	NOUN	story
.	PUNCT	.
Which	DET	which
was	AUX	be
right	ADJ	right
;	PUNCT	;
the	DET	the
Englishman	PROPN	Englishman
or	CCONJ	or
the	DET	the
American	PROPN	American
?	PUNCT	?
It	PRON	it
is	AUX	be
not	PART	not
easy	ADJ	easy
to	PART	to
say	VERB	say
.	PUNCT	.
Anyhow	ADV	anyhow
the	DET	the
duel	NOUN	duel
shows	VERB	show
how	SCONJ	how
great	ADJ	great
was	AUX	be
the	DET	the
excitement	NOUN	excitement
,	PUNCT	,
not	PART	not
only	ADV	only
in	ADP	in
the	DET	the
new	ADJ	new
but	CCONJ	but
also	ADV	also
in	ADP	in
the	DET	the
old	ADJ	old
world	NOUN	world
,	PUNCT	,
with	ADP	with
regard	NOUN	regard
to	ADP	to
an	DET	an
inexplicable	ADJ	inexplicable
phenomenon	NOUN	phenomenon
which	DET	which
for	ADP	for
a	DET	a
month	NOUN	month
or	CCONJ	or
more	ADJ	more
had	AUX	have
driven	VERB	drive
everybody	PRON	everybody
to	ADP	to
distraction	NOUN	distraction
.	PUNCT	.
Never	ADV	never
had	AUX	have
the	DET	the
sky	NOUN	sky
been	AUX	be
so	ADV	so
much	ADV	much
looked	VERB	look
at	ADP	at
since	SCONJ	since
the	DET	the
appearance	NOUN	appearance
of	ADP	of
man	NOUN	man
on	ADP	on
the	DET	the
terrestrial	ADJ	terrestrial
globe	NOUN	globe
.	PUNCT	.
The	DET	the
night	NOUN	night
before	ADV	before
an	DET	an
aerial	ADJ	aerial
trumpet	NOUN	trumpet
had	AUX	have
blared	VERB	blare
its	PRON	its
brazen	ADJ	brazen
notes	NOUN	note
through	ADP	through
space	NOUN	space
immediately	ADV	immediately
over	ADP	over
that	DET	that
part	NOUN	part
of	ADP	of
Canada	PROPN	Canada
between	ADP	between
Lake	PROPN	Lake
Ontario	PROPN	Ontario
and	CCONJ	and
Lake	PROPN	Lake
Erie	PROPN	Erie
.	PUNCT	.
Some	DET	some
people	NOUN	people
had	AUX	have
heard	VERB	hear
those	DET	those
notes	NOUN	note
as	ADP	as
“	PUNCT	""""
Yankee	PROPN	Yankee
Doodle	PROPN	Doodle
.	PUNCT	.
”	PUNCT	""""
others	NOUN	other
had	AUX	have
heard	VERB	hear
them	PRON	they
as	ADP	as
“	PUNCT	""""
Rule	PROPN	Rule
Britannia	PROPN	Britannia
.	PUNCT	.
”	PUNCT	""""
and	CCONJ	and
hence	ADP	hence
the	DET	the
quarrel	NOUN	quarrel
between	ADP	between
the	DET	the
Anglo	PROPN	Anglo
-	PUNCT	-
Saxons	PROPN	Saxons
,	PUNCT	,
which	DET	which
ended	VERB	end
with	ADP	with
the	DET	the
breakfast	NOUN	breakfast
on	ADP	on
Goat	PROPN	Goat
Island	PROPN	Island
.	PUNCT	.
Perhaps	ADV	perhaps
it	PRON	it
was	AUX	be
neither	DET	neither
one	NUM	one
nor	CCONJ	nor
the	DET	the
other	ADJ	other
of	ADP	of
these	DET	these
patriotic	ADJ	patriotic
tunes	NOUN	tune
,	PUNCT	,
but	CCONJ	but
what	PRON	what
was	AUX	be
undoubted	ADJ	undoubted
by	ADP	by
all	DET	all
was	AUX	be
that	SCONJ	that
these	DET	these
extraordinary	ADJ	extraordinary
sounds	NOUN	sound
had	AUX	have
seemed	VERB	seem
to	PART	to
descend	VERB	descend
from	ADP	from
the	DET	the
sky	NOUN	sky
to	ADP	to
the	DET	the
earth	NOUN	earth
.	PUNCT	.
What	PRON	what
could	AUX	could
it	PRON	it
be	AUX	be
?	PUNCT	?
Was	AUX	be
it	PRON	it
some	DET	some
exuberant	ADJ	exuberant
aeronaut	NOUN	aeronaut
rejoicing	VERB	rejoice
on	ADP	on
that	DET	that
sonorous	ADJ	sonorous
instrument	NOUN	instrument
of	ADP	of
which	DET	which
the	DET	the
Renommée	PROPN	Renommée
makes	VERB	make
such	ADJ	such
obstreperous	ADJ	obstreperous
use	NOUN	use
?	PUNCT	?
No	INTJ	no
!	PUNCT	!
There	PRON	there
was	AUX	be
no	DET	no
balloon	NOUN	balloon
and	CCONJ	and
there	PRON	there
were	AUX	be
no	DET	no
aeronauts	NOUN	aeronaut
.	PUNCT	.
Some	DET	some
strange	NOUN	strange
phenomenon	NOUN	phenomenon
had	AUX	have
occurred	VERB	occur
in	ADP	in
the	DET	the
higher	ADJ	high
zones	NOUN	zone
of	ADP	of
the	DET	the
atmosphere	NOUN	atmosphere
,	PUNCT	,
a	DET	a
phenomenon	NOUN	phenomenon
of	ADP	of
which	DET	which
neither	CCONJ	neither
the	DET	the
nature	NOUN	nature
nor	CCONJ	nor
the	DET	the
cause	NOUN	cause
could	AUX	could
be	AUX	be
explained	VERB	explain
.	PUNCT	.
Today	NOUN	today
it	PRON	it
appeared	VERB	appear
over	ADP	over
America	PROPN	America
;	PUNCT	;
forty	NUM	forty
-	PUNCT	-
eight	NUM	eight
hours	NOUN	hour
afterwards	ADV	afterwards
it	PRON	it
was	AUX	be
over	ADP	over
Europe	PROPN	Europe
;	PUNCT	;
a	DET	a
week	NOUN	week
later	ADV	later
it	PRON	it
was	AUX	be
in	ADP	in
Asia	PROPN	Asia
over	ADP	over
the	DET	the
Celestial	PROPN	Celestial
Empire	PROPN	Empire
.	PUNCT	.
Hence	ADV	hence
in	ADP	in
every	DET	every
country	NOUN	country
of	ADP	of
the	DET	the
world	NOUN	world
—	PUNCT	—
empire	NOUN	empire
,	PUNCT	,
kingdom	NOUN	kingdom
,	PUNCT	,
or	CCONJ	or
republic	NOUN	republic
—	PUNCT	—
there	PRON	there
was	AUX	be
anxiety	NOUN	anxiety
which	DET	which
it	PRON	it
was	AUX	be
important	ADJ	important
to	PART	to
allay	VERB	allay
.	PUNCT	.
If	SCONJ	if
you	PRON	you
hear	VERB	hear
in	ADP	in
your	PRON	your
house	NOUN	house
strange	ADJ	strange
and	CCONJ	and
inexplicable	ADJ	inexplicable
noises	NOUN	noise
,	PUNCT	,
do	AUX	do
you	PRON	you
not	PART	not
at	ADP	at
once	ADV	once
endeavor	VERB	endeavor
to	PART	to
discover	VERB	discover
the	DET	the
