LITTLE	PROPN	LITTLE
FUZZY	PROPN	FUZZY
by	PROPN	by
H.	PROPN	H.
Beam	PROPN	Beam
Piper	PROPN	Piper
I	PROPN	I
Jack	PROPN	Jack
Holloway	PROPN	Holloway
found	VERB	find
himself	PRON	himself
squinting	VERB	squint
,	PUNCT	,
the	DET	the
orange	NOUN	orange
sun	NOUN	sun
full	ADJ	full
in	ADP	in
his	PRON	his
eyes	NOUN	eye
.	PUNCT	.
He	PRON	he
raised	VERB	raise
a	DET	a
hand	NOUN	hand
to	PART	to
push	VERB	push
his	PRON	his
hat	NOUN	hat
forward	ADV	forward
,	PUNCT	,
then	ADV	then
lowered	VERB	lower
it	PRON	it
to	ADP	to
the	DET	the
controls	NOUN	control
to	PART	to
alter	VERB	alter
the	DET	the
pulse	NOUN	pulse
rate	NOUN	rate
of	ADP	of
the	DET	the
contragravity	NOUN	contragravity
-	PUNCT	-
field	NOUN	field
generators	NOUN	generator
and	CCONJ	and
lift	VERB	lift
the	DET	the
manipulator	NOUN	manipulator
another	DET	another
hundred	NUM	hundred
feet	NOUN	foot
.	PUNCT	.
For	ADP	for
a	DET	a
moment	NOUN	moment
he	PRON	he
sat	VERB	sit
,	PUNCT	,
puffing	VERB	puff
on	ADP	on
the	DET	the
short	ADJ	short
pipe	NOUN	pipe
that	PRON	that
had	AUX	have
yellowed	VERB	yellow
the	DET	the
corners	NOUN	corner
of	ADP	of
his	PRON	his
white	ADJ	white
mustache	NOUN	mustache
,	PUNCT	,
and	CCONJ	and
looked	VERB	look
down	ADV	down
at	ADP	at
the	DET	the
red	ADJ	red
rag	NOUN	rag
tied	VERB	tie
to	ADP	to
a	DET	a
bush	NOUN	bush
against	ADP	against
the	DET	the
rock	NOUN	rock
face	NOUN	face
of	ADP	of
the	DET	the
gorge	NOUN	gorge
five	NUM	five
hundred	NUM	hundred
yards	NOUN	yard
away	ADV	away
.	PUNCT	.
He	PRON	he
was	AUX	be
smiling	VERB	smile
in	ADP	in
anticipation	NOUN	anticipation
.	PUNCT	.
""""	PUNCT	""""
This	DET	this
'll	AUX	will
be	AUX	be
a	DET	a
good	ADJ	good
one	NUM	one
,	PUNCT	,
""""	PUNCT	""""
he	PRON	he
told	VERB	tell
himself	PRON	himself
aloud	ADV	aloud
,	PUNCT	,
in	ADP	in
the	DET	the
manner	NOUN	manner
of	ADP	of
men	NOUN	man
who	PRON	who
have	AUX	have
long	ADV	long
been	AUX	be
their	PRON	their
own	ADJ	own
and	CCONJ	and
only	ADJ	only
company	NOUN	company
.	PUNCT	.
""""	PUNCT	""""
I	PRON	I
want	VERB	want
to	PART	to
see	VERB	see
this	DET	this
one	NOUN	one
go	VERB	go
up	ADV	up
.	PUNCT	.
""""	PUNCT	""""
He	PRON	he
always	ADV	always
did	AUX	do
.	PUNCT	.
He	PRON	he
could	AUX	could
remember	VERB	remember
at	ADP	at
least	ADJ	least
a	DET	a
thousand	NUM	thousand
blast	NOUN	blast
-	PUNCT	-
shots	NOUN	shot
he	PRON	he
had	AUX	have
fired	VERB	fire
back	ADV	back
along	ADP	along
the	DET	the
years	NOUN	year
and	CCONJ	and
on	ADP	on
more	ADJ	more
planets	NOUN	planet
than	ADP	than
he	PRON	he
could	AUX	could
name	VERB	name
at	ADP	at
the	DET	the
moment	NOUN	moment
,	PUNCT	,
including	VERB	include
a	DET	a
few	ADJ	few
thermonuclears	NOUN	thermonuclear
,	PUNCT	,
but	CCONJ	but
they	PRON	they
were	AUX	be
all	DET	all
different	ADJ	different
and	CCONJ	and
they	PRON	they
were	AUX	be
always	ADV	always
something	PRON	something
to	PART	to
watch	VERB	watch
,	PUNCT	,
even	ADV	even
a	DET	a
little	ADJ	little
one	NUM	one
like	ADP	like
this	DET	this
.	PUNCT	.
Flipping	VERB	flip
the	DET	the
switch	NOUN	switch
,	PUNCT	,
his	PRON	his
thumb	NOUN	thumb
found	VERB	find
the	DET	the
discharger	NOUN	discharger
button	NOUN	button
and	CCONJ	and
sent	VERB	send
out	ADP	out
a	DET	a
radio	NOUN	radio
impulse	NOUN	impulse
;	PUNCT	;
the	DET	the
red	ADJ	red
rag	NOUN	rag
vanished	VERB	vanish
in	ADP	in
an	DET	an
upsurge	NOUN	upsurge
of	ADP	of
smoke	NOUN	smoke
and	CCONJ	and
dust	NOUN	dust
that	PRON	that
mounted	VERB	mount
out	ADP	out
of	ADP	of
the	DET	the
gorge	NOUN	gorge
and	CCONJ	and
turned	VERB	turn
to	ADP	to
copper	NOUN	copper
when	SCONJ	when
the	DET	the
sunlight	NOUN	sunlight
touched	VERB	touch
it	PRON	it
.	PUNCT	.
The	DET	the
big	ADJ	big
manipulator	NOUN	manipulator
,	PUNCT	,
weightless	ADJ	weightless
on	ADP	on
contragravity	NOUN	contragravity
,	PUNCT	,
rocked	VERB	rock
gently	ADV	gently
;	PUNCT	;
falling	VERB	fall
debris	NOUN	debris
pelted	VERB	pelt
the	DET	the
trees	NOUN	tree
and	CCONJ	and
splashed	VERB	splash
in	ADP	in
the	DET	the
little	ADJ	little
stream	NOUN	stream
.	PUNCT	.
He	PRON	he
waited	VERB	wait
till	SCONJ	till
the	DET	the
machine	NOUN	machine
stabilized	VERB	stabilize
,	PUNCT	,
then	ADV	then
glided	VERB	glide
it	PRON	it
down	ADV	down
to	ADP	to
where	SCONJ	where
he	PRON	he
had	AUX	have
ripped	VERB	rip
a	DET	a
gash	NOUN	gash
in	ADP	in
the	DET	the
cliff	NOUN	cliff
with	ADP	with
the	DET	the
charge	NOUN	charge
of	ADP	of
cataclysmite	NOUN	cataclysmite
.	PUNCT	.
Good	ADJ	good
shot	NOUN	shot
:	PUNCT	:
brought	VERB	bring
down	ADV	down
a	DET	a
lot	NOUN	lot
of	ADP	of
sandstone	NOUN	sandstone
,	PUNCT	,
cracked	VERB	crack
the	DET	the
vein	NOUN	vein
of	ADP	of
flint	NOUN	flint
and	CCONJ	and
had	AUX	have
n't	PART	not
thrown	VERB	throw
it	PRON	it
around	ADV	around
too	ADV	too
much	ADV	much
.	PUNCT	.
A	DET	a
lot	NOUN	lot
of	ADP	of
big	ADJ	big
slabs	NOUN	slab
were	AUX	be
loose	ADJ	loose
.	PUNCT	.
Extending	VERB	extend
the	DET	the
forward	ADJ	forward
claw	NOUN	claw
-	PUNCT	-
arms	NOUN	arm
,	PUNCT	,
he	PRON	he
pulled	VERB	pull
and	CCONJ	and
tugged	VERB	tug
,	PUNCT	,
and	CCONJ	and
then	ADV	then
used	VERB	use
the	DET	the
underside	NOUN	underside
grapples	NOUN	grapple
to	PART	to
pick	VERB	pick
up	ADP	up
a	DET	a
chunk	NOUN	chunk
and	CCONJ	and
drop	VERB	drop
it	PRON	it
on	ADP	on
the	DET	the
flat	ADJ	flat
ground	NOUN	ground
between	ADP	between
the	DET	the
cliff	NOUN	cliff
and	CCONJ	and
the	DET	the
stream	NOUN	stream
.	PUNCT	.
He	PRON	he
dropped	VERB	drop
another	DET	another
chunk	NOUN	chunk
on	ADP	on
it	PRON	it
,	PUNCT	,
breaking	VERB	break
both	DET	both
of	ADP	of
them	PRON	they
,	PUNCT	,
and	CCONJ	and
then	ADV	then
another	DET	another
and	CCONJ	and
another	DET	another
,	PUNCT	,
until	ADP	until
he	PRON	he
had	AUX	have
all	DET	all
he	PRON	he
could	AUX	could
work	VERB	work
