Distributed	VERB	distribute
Proofreaders	NOUN	proofreader
THE	DET	the
HISTORY	NOUN	history
OF	ADP	of
RICHARD	PROPN	RICHARD
RAYNAL	PROPN	RAYNAL
SOLITARY	PROPN	SOLITARY
by	ADP	by
ROBERT	PROPN	ROBERT
HUGH	PROPN	HUGH
BENSON	PROPN	BENSON
PATRI.REVERENDISSIMO	PROPN	PATRI.REVERENDISSIMO
*	PUNCT	*
.	PUNCT	.
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
.	PUNCT	.
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
.	PUNCT	.
*	PUNCT	*
.	PUNCT	.
*	PUNCT	*
.	PUNCT	.
*	PUNCT	*
.	PUNCT	.
ET	X	et
CVIDAM.NESCIENTI	X	cvidam.nescienti
HVNC.LIBRVM	X	hvnc.librvm
D.	NOUN	D.
CONTENTS	NOUN	content
:	PUNCT	:
Introduction	NOUN	introduction
How	SCONJ	how
Sir	PROPN	Sir
John	PROPN	John
visited	VERB	visit
Master	PROPN	Master
Hermit	PROPN	Hermit
:	PUNCT	:
and	CCONJ	and
found	VERB	find
him	PRON	he
in	ADP	in
contemplation	NOUN	contemplation
Of	ADP	of
the	DET	the
Word	NOUN	word
from	ADP	from
God	PROPN	God
that	PRON	that
came	VERB	come
to	ADP	to
Master	PROPN	Master
Hermit	PROPN	Hermit
:	PUNCT	:
and	CCONJ	and
of	ADP	of
his	PRON	his
setting	NOUN	setting
out	NOUN	out
How	SCONJ	how
Master	PROPN	Master
Richard	PROPN	Richard
fared	VERB	fare
:	PUNCT	:
how	SCONJ	how
he	PRON	he
heard	VERB	hear
Mass	PROPN	Mass
in	ADP	in
Saint	PROPN	Saint
Pancras	PROPN	Pancras
'	PART	'
Church	PROPN	Church
:	PUNCT	:
how	SCONJ	how
he	PRON	he
came	VERB	come
to	ADP	to
Westminster	PROPN	Westminster
:	PUNCT	:
and	CCONJ	and
of	ADP	of
his	PRON	his
colloquy	NOUN	colloquy
with	ADP	with
the	DET	the
Ankret	PROPN	Ankret
How	SCONJ	how
Master	PROPN	Master
Richard	PROPN	Richard
saw	VERB	see
the	DET	the
King	NOUN	king
in	ADP	in
Westminster	PROPN	Westminster
Hall	PROPN	Hall
:	PUNCT	:
and	CCONJ	and
of	ADP	of
the	DET	the
Mass	PROPN	Mass
at	PROPN	at
Saint	PROPN	Saint
Edward	PROPN	Edward
's	PART	's
Altar	NOUN	altar
How	SCONJ	how
Master	PROPN	Master
Richard	PROPN	Richard
cried	VERB	cry
out	ADP	out
in	ADP	in
Westminster	PROPN	Westminster
Hall	PROPN	Hall
:	PUNCT	:
and	CCONJ	and
of	ADP	of
his	PRON	his
coming	VERB	come
to	ADP	to
a	DET	a
Privy	PROPN	Privy
Parlour	NOUN	parlour
Of	ADP	of
Master	PROPN	Master
Richard	PROPN	Richard
's	PART	's
speaking	VERB	speak
with	ADP	with
the	DET	the
King	PROPN	King
's	PART	's
Grace	NOUN	grace
:	PUNCT	:
and	CCONJ	and
how	SCONJ	how
he	PRON	he
was	AUX	be
taken	VERB	take
for	ADP	for
it	PRON	it
Of	ADP	of
Master	PROPN	Master
Richard	PROPN	Richard
's	PART	's
second	ADJ	second
speaking	NOUN	speaking
with	ADP	with
his	PRON	his
Grace	NOUN	grace
:	PUNCT	:
and	CCONJ	and
of	ADP	of
his	PRON	his
detention	NOUN	detention
Of	ADP	of
the	DET	the
Parson	NOUN	parson
's	PART	's
Disquisition	NOUN	disquisition
on	ADP	on
the	DET	the
whole	ADJ	whole
matter	NOUN	matter
How	SCONJ	how
Master	PROPN	Master
Richard	PROPN	Richard
took	VERB	take
his	PRON	his
meat	NOUN	meat
:	PUNCT	:
and	CCONJ	and
of	ADP	of
Master	PROPN	Master
Lieutenant	PROPN	Lieutenant
's	PART	's
whipping	NOUN	whipping
of	ADP	of
him	PRON	he
Of	ADP	of
the	DET	the
Second	ADJ	second
Temptation	NOUN	temptation
of	ADP	of
Master	PROPN	Master
Richard	PROPN	Richard
:	PUNCT	:
and	CCONJ	and
how	SCONJ	how
he	PRON	he
overcame	VERB	overcome
it	PRON	it
Of	ADP	of
the	DET	the
Dark	ADJ	dark
Night	NOUN	night
of	ADP	of
the	DET	the
Soul	PROPN	Soul
How	SCONJ	how
Sir	PROPN	Sir
John	PROPN	John
