When	SCONJ	when
the	DET	the
Sleepers	NOUN	sleeper
Woke	VERB	wake
By	ADP	by
Arthur	PROPN	Arthur
Leo	PROPN	Leo
Zagat	PROPN	Zagat
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
[	X	[
Sidenote	X	sidenote
:	PUNCT	:
Only	ADV	only
two	NUM	two
small	ADJ	small
groups	NOUN	group
of	ADP	of
people	NOUN	people
--	PUNCT	--
enemies	NOUN	enemy
--	PUNCT	--
survive	VERB	survive
the	DET	the
vast	ADJ	vast
desolation	NOUN	desolation
of	ADP	of
the	DET	the
Final	PROPN	Final
War	PROPN	War
.	PUNCT	.
]	X	]
""""	PUNCT	""""
Prepare	VERB	prepare
for	ADP	for
battle	NOUN	battle
!	PUNCT	!
""""	PUNCT	""""
The	DET	the
command	NOUN	command
crackled	VERB	crackle
in	ADP	in
Allan	PROPN	Allan
Dane	PROPN	Dane
's	PART	's
helmet	NOUN	helmet
.	PUNCT	.
""""	PUNCT	""""
Enemy	NOUN	enemy
approaching	VERB	approach
from	ADP	from
southeast	ADV	southeast
!	PUNCT	!
Squadron	NOUN	squadron
commanders	NOUN	commander
execute	VERB	execute
plan	NOUN	plan
two	NUM	two
!	PUNCT	!
""""	PUNCT	""""
Allan	PROPN	Allan
settled	VERB	settle
back	ADV	back
in	ADP	in
the	DET	the
seat	NOUN	seat
of	ADP	of
his	PRON	his
one	NUM	one
-	PUNCT	-
man	NOUN	man
helicopter	NOUN	helicopter
,	PUNCT	,
his	PRON	his
broad	ADJ	broad
frame	NOUN	frame
rendered	VERB	render
even	ADV	even
bulkier	ADJ	bulky
by	ADP	by
the	DET	the
leather	NOUN	leather
suit	NOUN	suit
that	PRON	that
incased	VERB	incase
it	VERB	it
.	PUNCT	.
He	PRON	he
was	AUX	be
tensed	ADJ	tensed
,	PUNCT	,
but	CCONJ	but
quiescent	ADJ	quiescent
.	PUNCT	.
Action	NOUN	action
would	AUX	would
be	AUX	be
first	ADV	first
joined	VERB	join
sixty	NUM	sixty
miles	NOUN	mile
away	ADV	away
,	PUNCT	,
and	CCONJ	and
his	PRON	his
own	ADJ	own
squadron	NOUN	squadron
was	AUX	be
in	ADP	in
reserve	NOUN	reserve
.	PUNCT	.
Over	ADP	over
New	PROPN	New
York	PROPN	York
and	CCONJ	and
its	PRON	its
bay	NOUN	bay
the	DET	the
American	ADJ	american
air	NOUN	air
fleet	NOUN	fleet
was	AUX	be
in	ADP	in
motion	NOUN	motion
.	PUNCT	.
Suddenly	ADV	suddenly
movement	NOUN	movement
ceased	VERB	cease
,	PUNCT	,
and	CCONJ	and
the	DET	the
formation	NOUN	formation
froze	VERB	freeze
.	PUNCT	.
Ten	NUM	ten
flying	VERB	fly
forts	NOUN	fort
were	AUX	be
each	DET	each
the	DET	the
apex	NOUN	apex
of	ADP	of
a	DET	a
far	ADV	far
-	PUNCT	-
spread	VERB	spread
cone	NOUN	cone
,	PUNCT	,
axis	NOUN	axis
horizontal	ADJ	horizontal
,	PUNCT	,
whose	DET	whose
body	NOUN	body
was	AUX	be
the	DET	the
fanned	VERB	fan
back	NOUN	back
-	PUNCT	-
ranging	NOUN	ranging
of	ADP	of
its	PRON	its
squadron	NOUN	squadron
of	ADP	of
a	DET	a
thousand	NUM	thousand
helicopter	NOUN	helicopter
planes	NOUN	plane
.	PUNCT	.
The	DET	the
cones	NOUN	cone
bristled	VERB	bristle
oceanward	ADV	oceanward
from	ADP	from
the	DET	the
sea	NOUN	sea
-	PUNCT	-
margin	NOUN	margin
of	ADP	of
New	PROPN	New
York	PROPN	York
,	PUNCT	,
their	PRON	their
points	NOUN	point
a	DET	a
fifty	NUM	fifty
-	PUNCT	-
mile	NOUN	mile
arc	NOUN	arc
of	ADP	of
defiance	NOUN	defiance
,	PUNCT	,
their	PRON	their
bases	NOUN	basis
tangent	NOUN	tangent
to	ADP	to
one	NUM	one
another	DET	another
,	PUNCT	,
almost	ADV	almost
touching	VERB	touch
the	DET	the
ground	NOUN	ground
at	ADP	at
their	PRON	their
lower	ADJ	low
edges	NOUN	edge
,	PUNCT	,
then	ADV	then
circling	VERB	circle
upward	ADV	upward
for	ADP	for
ten	NUM	ten
thousand	NUM	thousand
feet	NOUN	foot
.	PUNCT	.
From	ADP	from
van	NOUN	van
to	ADP	to
rear	NOUN	rear
each	DET	each
formation	NOUN	formation
was	AUX	be
five	NUM	five
miles	NOUN	mile
in	ADP	in
length	NOUN	length
.	PUNCT	.
Behind	ADP	behind
and	CCONJ	and
above	ADP	above
,	PUNCT	,
the	DET	the
main	ADJ	main
body	NOUN	body
of	ADP	of
the	DET	the
fleet	NOUN	fleet
sloped	VERB	slope
in	ADP	in
echeloned	NOUN	echeloned
ranks	NOUN	rank
,	PUNCT	,
hiding	VERB	hide
the	DET	the
threatened	ADJ	threatened
city	NOUN	city
with	ADP	with
an	DET	an
impenetrable	ADJ	impenetrable
terraced	ADJ	terraced
wall	NOUN	wall
of	ADP	of
buzzing	VERB	buzz
helios	NOUN	helio
and	CCONJ	and
massive	ADJ	massive
forts	NOUN	fort
.	PUNCT	.
Up	ADV	up
,	PUNCT	,
back	ADV	back
,	PUNCT	,
up	ADV	up
,	PUNCT	,
back	ADV	back
,	PUNCT	,
the	DET	the
serried	NOUN	serried
masses	NOUN	masse
reached	VERB	reach
,	PUNCT	,
till	SCONJ	till
the	DET	the
rearmost	NOUN	rearmost
were	AUX	be
twenty	NUM	twenty
-	PUNCT	-
five	NUM	five
thousand	NUM	thousand
feet	NOUN	foot
aloft	NOUN	aloft
.	PUNCT	.
And	CCONJ	and
farther	ADV	far
behind	ADV	behind
,	PUNCT	,
unmoving	ADJ	unmoving
on	ADP	on
their	PRON	their
six	NUM	six
-	PUNCT	-
mile	NOUN	mile
level	NOUN	level
,	PUNCT	,
were	AUX	be
the	DET	the
light	ADJ	light
'	PART	'
copters	NOUN	copter
of	ADP	of
the	DET	the
reserve	NOUN	reserve
.	PUNCT	.
Dane	PROPN	Dane
gazed	VERB	gaze
down	ADP	down
that	DET	that
tremendous	ADJ	tremendous
vista	NOUN	vista
to	ADP	to
the	DET	the
far	ADV	far
-	PUNCT	-
off	ADV	off
front	ADJ	front
line	NOUN	line
,	PUNCT	,
and	CCONJ	and
swore	VERB	swear
softly	ADV	softly
.	PUNCT	.
Just	ADV	just
his	PRON	his
luck	NOUN	luck
to	PART	to
be	AUX	be
out	ADP	out
of	ADP	of
the	DET	the
scrap	NOUN	scrap
:	PUNCT	:
the	DET	the
enemy	NOUN	enemy
would	AUX	would
never	ADV	never
penetrate	VERB	penetrate
to	ADP	to
these	DET	these
northern	ADJ	northern
out	NOUN	out
-	PUNCT	-
skirts	NOUN	skirt
of	ADP	of
New	PROPN	New
York	PROPN	York
.	PUNCT	.
""""	PUNCT	""""
Men	NOUN	man
of	ADP	of
the	DET	the
fleet	NOUN	fleet
!	PUNCT	!
""""	PUNCT	""""
General	PROPN	General
Huntington	PROPN	Huntington
's	PART	's
voice	NOUN	voice
sounded	VERB	sound
from	ADP	from
his	PRON	his
flagship	NOUN	flagship
,	PUNCT	,
the	DET	the
_	PROPN	_
Washington	PROPN	Washington
_	PUNCT	_
.	PUNCT	.
Somehow	ADV	somehow
its	PRON	its
gruffness	NOUN	gruffness
overrode	VERB	override
the	DET	the
mechanical	ADJ	mechanical
quality	NOUN	quality
of	ADP	of
the	DET	the
intra	ADJ	intra
-	ADJ	-
fleet	ADJ	fleet
radio	NOUN	radio
transmission	NOUN	transmission
.	PUNCT	.
Almost	ADV	almost
it	PRON	it
seemed	VERB	seem
he	PRON	he
was	AUX	be
there	ADV	there
in	ADP	in
the	DET	the
tiny	ADJ	tiny
cabin	NOUN	cabin
.	PUNCT	.
""""	PUNCT	""""
Reports	NOUN	report
have	AUX	have
at	ADP	at
this	DET	this
moment	NOUN	moment
been	AUX	be
received	VERB	receive
that	SCONJ	that
our	PRON	our
attack	NOUN	attack
fleets	NOUN	fleet
have	AUX	have
been	AUX	be
everywhere	ADV	everywhere
successful	ADJ	successful
.	PUNCT	.
Our	PRON	our
rocket	NOUN	rocket
ships	NOUN	ship
have	AUX	have
destroyed	VERB	destroy
Tokyo	PROPN	Tokyo
,	PUNCT	,
Addis	PROPN	Addis
Ababa	PROPN	Ababa
,	PUNCT	,
Odessa	PROPN	Odessa
,	PUNCT	,
Peiping	PROPN	Peiping
and	CCONJ	and
Cape	PROPN	Cape
Town	PROPN	Town
,	PUNCT	,
and	CCONJ	and
are	AUX	be
now	ADV	now
ranging	VERB	range
inland	ADV	inland
through	ADP	through
enemy	NOUN	enemy
territory	NOUN	territory
.	PUNCT	.
""""	PUNCT	""""
Even	ADV	even
through	ADP	through
the	DET	the
double	ADJ	double
leather	NOUN	leather
of	ADP	of
his	PRON	his
helmet	NOUN	helmet
a	DET	a
roar	NOUN	roar
came	VERB	come
to	ADP	to
Allan	PROPN	Allan
.	PUNCT	.
He	PRON	he
felt	VERB	feel
his	PRON	his
craft	NOUN	craft
vibrate	VERB	vibrate
to	ADP	to
the	DET	the
exultant	ADJ	exultant
cheers	NOUN	cheer
of	ADP	of
the	DET	the
fleet	NOUN	fleet
.	PUNCT	.
His	PRON	his
own	ADJ	own
mouth	NOUN	mouth
was	AUX	be
open	ADJ	open
,	PUNCT	,
and	CCONJ	and
his	PRON	his
throat	NOUN	throat
rasping	VERB	rasp
....	PUNCT	....
""""	PUNCT	""""
_	PUNCT	_
"But_""--the"	PUNCT	"But_""--the"
single	ADJ	single
syllable	NOUN	syllable
choked	VERB	choke
the	DET	the
surge	NOUN	surge
of	ADP	of
"sound--""London"	NOUN	"sound--""london"
,	PUNCT	,
Paris	PROPN	Paris
,	PUNCT	,
and	CCONJ	and
Berlin	PROPN	Berlin
have	AUX	have
fallen	VERB	fall
to	ADP	to
the	DET	the
enemy	NOUN	enemy
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
words	NOUN	word
thudded	VERB	thud
in	ADP	in
the	DET	the
pilot	NOUN	pilot
's	PART	's
ear	NOUN	ear
-	PUNCT	-
phones	NOUN	phone
.	PUNCT	.
""""	PUNCT	""""
San	PROPN	San
Francisco	PROPN	Francisco
is	AUX	be
being	AUX	be
attacked	VERB	attack
.	PUNCT	.
Communication	NOUN	communication
with	ADP	with
New	PROPN	New
Orleans	PROPN	Orleans
has	AUX	have
failed	VERB	fail
.	PUNCT	.
The	DET	the
enemy	NOUN	enemy
are	AUX	be
in	ADP	in
sight	NOUN	sight
of	ADP	of
Buenos	PROPN	Buenos
Aires--	PUNCT	Aires--
""""	PUNCT	""""
The	DET	the
general	NOUN	general
broke	VERB	break
off	ADP	off
,	PUNCT	,
and	CCONJ	and
Allan	PROPN	Allan
sensed	VERB	sense
dully	ADV	dully
that	SCONJ	that
there	PRON	there
was	AUX	be
other	ADJ	other
news	NOUN	news
,	PUNCT	,
news	NOUN	news
that	SCONJ	that
he	PRON	he
dared	VERB	dare
not	PART	not
give	VERB	give
the	DET	the
fleet	NOUN	fleet
.	PUNCT	.
The	DET	the
gruff	ADJ	gruff
voice	NOUN	voice
changed	VERB	change
.	PUNCT	.
""""	PUNCT	""""
Men	NOUN	man
of	ADP	of
the	DET	the
fleet	NOUN	fleet
,	PUNCT	,
New	PROPN	New
York	PROPN	York
is	AUX	be
in	ADP	in
our	PRON	our
charge	NOUN	charge
.	PUNCT	.
The	DET	the
enemy	NOUN	enemy
is	AUX	be
upon	SCONJ	upon
us	PRON	we
,	PUNCT	,
the	DET	the
battle	NOUN	battle
is	AUX	be
commencing	VERB	commence
.	PUNCT	.
The	DET	the
issue	NOUN	issue
is	AUX	be
in	ADP	in
your	PRON	your
hands	NOUN	hand
.	PUNCT	.
""""	PUNCT	""""
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
Pat	VERB	pat
on	ADP	on
his	PRON	his
last	ADJ	last
word	NOUN	word
,	PUNCT	,
a	DET	a
dark	ADJ	dark
cloud	NOUN	cloud
spread	VERB	spread
along	ADP	along
the	DET	the
south	NOUN	south
-	PUNCT	-
eastern	NOUN	eastern
horizon	NOUN	horizon
.	PUNCT	.
From	ADP	from
the	DET	the
spear	NOUN	spear
-	PUNCT	-
heads	NOUN	head
of	ADP	of
the	DET	the
cone	NOUN	cone
formations	NOUN	formation
great	ADJ	great
green	ADJ	green
beams	NOUN	beam
shot	VERB	shoot
out	ADV	out
across	ADP	across
the	DET	the
sea	NOUN	sea
.	PUNCT	.
Orange	ADJ	orange
flame	NOUN	flame
flared	VERB	flare
in	ADP	in
answer	NOUN	answer
,	PUNCT	,
all	ADV	all
along	ADP	along
the	DET	the
black	ADJ	black
bank	NOUN	bank
that	PRON	that
was	AUX	be
the	DET	the
enemy	NOUN	enemy
fleet	NOUN	fleet
.	PUNCT	.
Where	SCONJ	where
the	DET	the
green	ADJ	green
beams	NOUN	beam
struck	VERB	strike
the	DET	the
orange	NOUN	orange
blinked	VERB	blink
out	ADP	out
,	PUNCT	,
and	CCONJ	and
the	DET	the
blue	NOUN	blue
of	ADP	of
sky	NOUN	sky
showed	VERB	show
through	ADP	through
.	PUNCT	.
And	CCONJ	and
the	DET	the
American	ADJ	american
ships	NOUN	ship
were	AUX	be
as	ADV	as
yet	ADV	yet
untouched	ADJ	untouched
.	PUNCT	.
A	DET	a
great	ADJ	great
shout	NOUN	shout
rose	VERB	rise
to	ADP	to
Allan	PROPN	Allan
's	PART	's
lips	NOUN	lip
--	PUNCT	--
that	SCONJ	that
they	PRON	they
had	AUX	have
the	DET	the
range	NOUN	range
on	ADP	on
the	DET	the
enemy	NOUN	enemy
,	PUNCT	,
and	CCONJ	and
the	DET	the
attack	NOUN	attack
defeated	VERB	defeat
before	ADP	before
it	PRON	it
was	AUX	be
well	ADV	well
begun	VERB	begin
.	PUNCT	.
But	CCONJ	but
was	AUX	be
it	PRON	it
?	PUNCT	?
Swift	ADJ	swift
as	ADP	as
the	DET	the
American	ADJ	american
rays	NOUN	ray
scythed	VERB	scythe
destruction	NOUN	destruction
along	ADP	along
the	DET	the
enemy	NOUN	enemy
line	NOUN	line
,	PUNCT	,
the	DET	the
gaps	NOUN	gap
filled	VERB	fill
and	CCONJ	and
lethal	ADJ	lethal
orange	NOUN	orange
leaped	VERB	leap
out	ADV	out
again	ADV	again
.	PUNCT	.
Now	ADV	now
the	DET	the
black	ADJ	black
cloud	NOUN	cloud
was	AUX	be
piling	VERB	pile
up	ADP	up
,	PUNCT	,
was	AUX	be
rising	VERB	rise
till	SCONJ	till
it	PRON	it
was	AUX	be
a	DET	a
towering	VERB	tower
curtain	NOUN	curtain
against	ADP	against
the	DET	the
sky	NOUN	sky
.	PUNCT	.
On	ADP	on
it	PRON	it
came	VERB	come
,	PUNCT	,
like	ADP	like
some	DET	some
monstrous	ADJ	monstrous
tidal	ADJ	tidal
wave	NOUN	wave
.	PUNCT	.
Great	ADJ	great
rents	NOUN	rent
were	AUX	be
torn	VERB	tear
through	ADP	through
it	PRON	it
by	ADP	by
the	DET	the
stabbing	VERB	stab
beams	NOUN	beam
of	ADP	of
the	DET	the
flying	VERB	fly
forts	NOUN	fort
,	PUNCT	,
holes	NOUN	hole
where	SCONJ	where
ships	NOUN	ship
and	CCONJ	and
men	NOUN	man
had	AUX	have
been	AUX	be
whiffed	VERB	whiff
into	ADP	into
