Team	NOUN	team
at	ADP	at
https://www.pgdp.net	X	https://www.pgdp.net
STUDIES	NOUN	study
IN	ADP	in
LOVE	PROPN	LOVE
AND	PROPN	AND
IN	ADP	in
TERROR	PROPN	TERROR
BY	PROPN	BY
MRS	PROPN	MRS
.	PROPN	.
BELLOC	PROPN	BELLOC
LOWNDES	PROPN	LOWNDES
(	PUNCT	(
Marie	PROPN	Marie
Adelaide	PROPN	Adelaide
Belloc	PROPN	Belloc
Lowndes	PROPN	Lowndes
)	PUNCT	)
_	PUNCT	_
Short	ADJ	short
Story	NOUN	story
Index	NOUN	index
Reprint	NOUN	reprint
Series	NOUN	series
_	PUNCT	_
BOOKS	NOUN	book
FOR	ADP	for
LIBRARIES	PROPN	LIBRARIES
PRESS	PROPN	PRESS
FREEPORT	PROPN	FREEPORT
,	PUNCT	,
NEW	PROPN	NEW
YORK	PROPN	YORK
First	ADV	first
Published	VERB	publish
1913	NUM	1913
PRINTED	VERB	print
IN	ADP	in
THE	DET	the
UNITED	PROPN	UNITED
STATES	PROPN	STATES
OF	ADP	of
AMERICA	PROPN	AMERICA
CONTENTS	NOUN	content
PAGE	NOUN	page
PRICE	NOUN	price
OF	ADP	of
ADMIRALTY	PROPN	ADMIRALTY
1	NUM	1
THE	DET	the
CHILD	NOUN	child
99	NUM	99
ST	PROPN	ST
.	PUNCT	.
CATHERINE	PROPN	CATHERINE
'S	PART	's
EVE	PROPN	EVE
131	NUM	131
THE	DET	the
WOMAN	NOUN	woman
FROM	ADP	from
PURGATORY	NOUN	purgatory
187	NUM	187
WHY	SCONJ	why
THEY	PRON	they
MARRIED	VERB	marry
227	NUM	227
PRICE	NOUN	price
OF	ADP	of
ADMIRALTY	PROPN	ADMIRALTY
""""	PUNCT	""""
O	X	o
mort	X	mort
,	PUNCT	,
vieux	X	vieux
capitaine	X	capitaine
,	PUNCT	,
il	X	il
est	X	est
temps	X	temps
!	PUNCT	!
levons	X	levons
l'ancre	X	l'ancre
!	PUNCT	!
Ce	X	ce
pays	X	pays
nous	X	nous
ennuie	X	ennuie
,	PUNCT	,
O	X	o
mort	X	mort
!	PUNCT	!
Appareillons	X	appareillons
!	PUNCT	!
""""	PUNCT	""""
I	PROPN	I
Claire	PROPN	Claire
de	ADP	de
Wissant	PROPN	Wissant
,	PUNCT	,
wife	NOUN	wife
of	ADP	of
Jacques	PROPN	Jacques
de	X	de
Wissant	PROPN	Wissant
,	PUNCT	,
Mayor	PROPN	Mayor
of	ADP	of
Falaise	PROPN	Falaise
,	PUNCT	,
stood	VERB	stand
in	ADP	in
the	DET	the
morning	NOUN	morning
sunlight	NOUN	sunlight
,	PUNCT	,
graceful	ADJ	graceful
with	ADP	with
a	DET	a
proud	ADJ	proud
,	PUNCT	,
instinctive	ADJ	instinctive
grace	NOUN	grace
of	ADP	of
poise	NOUN	poise
and	CCONJ	and
gesture	NOUN	gesture
,	PUNCT	,
on	ADP	on
a	DET	a
wind	NOUN	wind
-	PUNCT	-
blown	VERB	blow
path	NOUN	path
close	ADV	close
to	ADP	to
the	DET	the
edge	NOUN	edge
of	ADP	of
the	DET	the
cliff	NOUN	cliff
.	PUNCT	.
At	ADP	at
some	DET	some
little	ADJ	little
distance	NOUN	distance
to	ADP	to
her	PRON	her
left	NOUN	left
rose	VERB	rise
the	DET	the
sloping	ADJ	sloping
,	PUNCT	,
mansard	NOUN	mansard
roofs	NOUN	roof
of	ADP	of
the	DET	the
Pavillon	PROPN	Pavillon
de	X	de
Wissant	PROPN	Wissant
,	PUNCT	,
the	DET	the
charming	ADJ	charming
country	NOUN	country
house	NOUN	house
to	PART	to
which	DET	which
her	PRON	her
husband	NOUN	husband
had	AUX	have
brought	VERB	bring
her	PRON	she
,	PUNCT	,
a	DET	a
seventeen	NUM	seventeen
year	NOUN	year
old	ADJ	old
bride	NOUN	bride
,	PUNCT	,
ten	NUM	ten
long	ADJ	long
years	NOUN	year
ago	ADV	ago
.	PUNCT	.
She	PRON	she
was	AUX	be
now	ADV	now
gazing	VERB	gaze
eagerly	ADV	eagerly
out	ADP	out
to	ADP	to
sea	NOUN	sea
,	PUNCT	,
shielding	VERB	shield
her	PRON	her
grey	ADJ	grey
,	PUNCT	,
heavy	ADJ	heavy
-	PUNCT	-
lidded	ADJ	lidded
eyes	NOUN	eye
with	ADP	with
her	PRON	her
right	ADJ	right
hand	NOUN	hand
.	PUNCT	.
From	ADP	from
her	PRON	her
left	ADJ	left
hand	NOUN	hand
hung	VERB	hang
a	DET	a
steel	NOUN	steel
chain	NOUN	chain
,	PUNCT	,
to	PART	to
which	DET	which
was	AUX	be
attached	VERB	attach
a	DET	a
small	ADJ	small
key	NOUN	key
.	PUNCT	.
A	DET	a
hot	ADJ	hot
haze	NOUN	haze
lay	VERB	lie
heavily	ADV	heavily
over	ADP	over
the	DET	the
great	ADJ	great
sweep	NOUN	sweep
of	ADP	of
deep	ADJ	deep
blue	ADJ	blue
waters	NOUN	water
.	PUNCT	.
It	PRON	it
blotted	VERB	blot
out	ADP	out
the	DET	the
low	ADJ	low
grey	ADJ	grey
line	NOUN	line
on	ADP	on
the	DET	the
horizon	NOUN	horizon
which	DET	which
,	PUNCT	,
on	ADP	on
the	DET	the
majority	NOUN	majority
of	ADP	of
each	DET	each
year	NOUN	year
's	PART	's
days	NOUN	day
,	PUNCT	,
reminds	VERB	remind
the	DET	the
citizens	NOUN	citizen
of	ADP	of
Falaise	PROPN	Falaise
how	SCONJ	how
near	ADJ	near
England	PROPN	England
is	AUX	be
to	ADP	to
France	PROPN	France
.	PUNCT	.
Jacques	PROPN	Jacques
de	PROPN	de
Wissant	PROPN	Wissant
had	AUX	have
rejoiced	VERB	rejoice
in	ADP	in
the	DET	the
_	X	_
entente	X	entente
cordiale	X	cordiale
_	PUNCT	_
,	PUNCT	,
if	SCONJ	if
only	ADV	only
because	SCONJ	because
it	PRON	it
brought	VERB	bring
such	DET	such
a	DET	a
stream	NOUN	stream
of	ADP	of
tourists	NOUN	tourist
to	ADP	to
the	DET	the
old	ADJ	old
seaport	NOUN	seaport
town	NOUN	town
of	ADP	of
which	DET	which
he	PRON	he
was	AUX	be
now	ADV	now
Mayor	PROPN	Mayor
.	PUNCT	.
But	CCONJ	but
his	PRON	his
beautiful	ADJ	beautiful
wife	NOUN	wife
thought	VERB	think
of	ADP	of
the	DET	the
English	ADJ	english
