ATOMIC	PROPN	ATOMIC
!	PUNCT	!
By	ADP	by
HENRY	PROPN	HENRY
KUTTNER	PROPN	KUTTNER
Illustrated	VERB	illustrate
by	ADP	by
Virgil	PROPN	Virgil
Finlay	PROPN	Finlay
.	PUNCT	.
_	X	_
What	PRON	what
nuclear	ADJ	nuclear
war	NOUN	war
may	AUX	may
do	AUX	do
to	ADP	to
the	DET	the
world	NOUN	world
we	PRON	we
know	VERB	know
is	AUX	be
a	DET	a
closed	VERB	close
book	NOUN	book
to	ADP	to
mankind	NOUN	mankind
—	PUNCT	—
but	CCONJ	but
here	ADV	here
's	AUX	be
what	PRON	what
coming	VERB	come
eras	NOUN	era
may	AUX	may
bring	VERB	bring
!	PUNCT	!
_	PUNCT	_
CHAPTER	NOUN	chapter
I	NUM	i
_	PUNCT	_
The	DET	the
Eye	PROPN	Eye
_	PUNCT	_
The	DET	the
alarm	NOUN	alarm
went	VERB	go
off	ADP	off
just	ADV	just
after	ADP	after
midnight	NOUN	midnight
.	PUNCT	.
The	DET	the
red	ADJ	red
signal	NOUN	signal
showed	VERB	show
emergency	NOUN	emergency
.	PUNCT	.
But	CCONJ	but
it	PRON	it
was	AUX	be
always	ADV	always
emergency	NOUN	emergency
at	ADP	at
first	ADV	first
.	PUNCT	.
We	PRON	we
all	DET	all
knew	VERB	know
that	DET	that
.	PUNCT	.
Ever	ADV	ever
since	SCONJ	since
the	DET	the
arachnid	ADJ	arachnid
tribe	NOUN	tribe
in	ADP	in
the	DET	the
Chicago	PROPN	Chicago
Ring	PROPN	Ring
had	AUX	have
mutated	VERB	mutate
we	PRON	we
'd	AUX	have
known	VERB	know
better	ADV	well
than	ADP	than
to	PART	to
take	VERB	take
chances	NOUN	chance
.	PUNCT	.
That	DET	that
time	NOUN	time
the	DET	the
human	ADJ	human
race	NOUN	race
had	AUX	have
very	ADV	very
nearly	ADV	nearly
gone	VERB	go
under	ADV	under
.	PUNCT	.
Not	PART	not
many	ADJ	many
people	NOUN	people
knew	VERB	know
how	SCONJ	how
close	ADJ	close
we	PRON	we
'd	AUX	would
been	AUX	be
to	ADP	to
extinction	NOUN	extinction
.	PUNCT	.
But	CCONJ	but
I	PRON	I
knew	VERB	know
.	PUNCT	.
Everybody	PRON	everybody
in	ADP	in
Biological	PROPN	Biological
Control	PROPN	Control
Labs	PROPN	Labs
knew	VERB	know
.	PUNCT	.
To	ADP	to
anyone	PRON	anyone
who	PRON	who
lived	VERB	live
before	ADP	before
the	DET	the
Three	NUM	three
-	PUNCT	-
Hour	PROPN	Hour
War	PROPN	War
such	ADJ	such
things	NOUN	thing
would	AUX	would
have	AUX	have
sounded	VERB	sound
incredible	ADJ	incredible
.	PUNCT	.
Even	ADV	even
to	ADP	to
us	PRON	we
now	ADV	now
they	PRON	they
sound	VERB	sound
hard	ADJ	hard
to	PART	to
believe	VERB	believe
.	PUNCT	.
But	CCONJ	but
we	PRON	we
_	PUNCT	_
know	VERB	know
_	X	_
.	PUNCT	.
There	PRON	there
