Team	NOUN	team
(	PUNCT	(
http://www.fadedpage.net	X	http://www.fadedpage.net
)	PUNCT	)
WHISPERING	PROPN	WHISPERING
WIRES	PROPN	WIRES
Adapted	VERB	adapt
from	ADP	from
the	DET	the
_	PUNCT	_
Saturday	PROPN	Saturday
Evening	PROPN	Evening
Post	PROPN	Post
_	PUNCT	_
Story	PROPN	Story
of	ADP	of
the	DET	the
Same	ADJ	same
Title	PROPN	Title
by	ADP	by
HENRY	PROPN	HENRY
LEVERAGE	PROPN	LEVERAGE
New	PROPN	New
York	PROPN	York
Grosset	PROPN	Grosset
&	CCONJ	&
Dunlap	PROPN	Dunlap
Publishers	PROPN	Publishers
Copyright	PROPN	Copyright
,	PUNCT	,
1918	NUM	1918
,	PUNCT	,
by	ADP	by
Moffat	PROPN	Moffat
,	PUNCT	,
Yard	PROPN	Yard
&	CCONJ	&
Company	PROPN	Company
First	ADJ	first
printing	NOUN	printing
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
September	PROPN	September
,	PUNCT	,
1918	NUM	1918
Second	ADJ	second
printing	NOUN	printing
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
September	PROPN	September
,	PUNCT	,
1918	NUM	1918
Third	ADJ	third
printing	NOUN	printing
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
October	PROPN	October
,	PUNCT	,
1918	NUM	1918
DEDICATED	VERB	dedicate
TO	NOUN	to
ONE	NOUN	one
WHO	PRON	who
HELPED	VERB	help
CONTENTS	NOUN	content
I	PROPN	I
""""	PUNCT	""""
The	DET	the
Whispering	PROPN	Whispering
Voice	PROPN	Voice
""""	PUNCT	""""
1	NUM	1
II	NUM	ii
""""	PUNCT	""""
The	DET	the
Magpie	PROPN	Magpie
""""	PUNCT	""""
15	NUM	15
III	NUM	iii
""""	PUNCT	""""
The	DET	the
Man	NOUN	man
in	ADP	in
Olive	PROPN	Olive
-	PUNCT	-
Drab	NOUN	drab
""""	PUNCT	""""
31	NUM	31
IV	PROPN	IV
""""	PUNCT	""""
The	DET	the
Murder	NOUN	murder
""""	PUNCT	""""
46	NUM	46
V	NOUN	v
""""	PUNCT	""""
The	DET	the
First	ADJ	first
Clews	PROPN	Clews
""""	PUNCT	""""
59	NUM	59
VI	NOUN	vi
""""	PUNCT	""""
Harry	PROPN	Harry
Nichols	PROPN	Nichols
""""	PUNCT	""""
74	NUM	74
VII	NUM	vii
""""	PUNCT	""""
The	DET	the
Spot	NOUN	spot
of	ADP	of
Black	PROPN	Black
""""	PUNCT	""""
89	NUM	89
VIII	NOUN	viii
""""	PUNCT	""""
Tangled	ADJ	tangled
Wires	NOUN	wire
""""	PUNCT	""""
107	NUM	107
IX	NUM	ix
""""	PUNCT	""""
Men	NOUN	man
and	CCONJ	and
Motives	NOUN	motive
""""	PUNCT	""""
124	NUM	124
X	NOUN	x
""""	PUNCT	""""
A	DET	a
Woman	NOUN	woman
Calls	VERB	call
""""	PUNCT	""""
144	NUM	144
XI	NOUN	xi
""""	PUNCT	""""
The	DET	the
Closing	NOUN	closing
Net	NOUN	net
""""	PUNCT	""""
181	NUM	181
XII	NOUN	xii
""""	PUNCT	""""
Suspicion	NOUN	suspicion
