MINOS	PROPN	MINOS
OF	ADP	of
SARDANES	PROPN	SARDANES
By	ADP	by
Charles	PROPN	Charles
B.	PROPN	B.
Stilson	PROPN	Stilson
Author	NOUN	author
of	ADP	of
""""	PUNCT	""""
Polaris	PROPN	Polaris
--	PUNCT	--
of	ADP	of
the	DET	the
Snows	NOUN	snow
""""	PUNCT	""""
_	PUNCT	_
Copyright	NOUN	copyright
1916	NUM	1916
by	ADP	by
Popular	PROPN	Popular
Publications	PROPN	Publications
,	PUNCT	,
Inc.	PROPN	Inc.
_	PUNCT	_
CHAPTER	NOUN	chapter
I	NUM	i
THE	DET	the
DRIVE	NOUN	drive
AGAINST	ADP	against
DEATH	NOUN	death
Two	NUM	two
men	NOUN	man
stood	VERB	stand
on	ADP	on
the	DET	the
bridge	NOUN	bridge
of	ADP	of
a	DET	a
speeding	VERB	speed
ship	NOUN	ship
in	ADP	in
a	DET	a
place	NOUN	place
of	ADP	of
ice	NOUN	ice
and	CCONJ	and
fire	NOUN	fire
.	PUNCT	.
A	DET	a
storm	NOUN	storm
rode	VERB	ride
with	ADP	with
them	PRON	they
,	PUNCT	,
a	DET	a
tempest	NOUN	tempest
that	PRON	that
shrieked	VERB	shriek
and	CCONJ	and
moaned	VERB	moan
and	CCONJ	and
tore	VERB	tear
,	PUNCT	,
and	CCONJ	and
around	ADP	around
the	DET	the
ship	NOUN	ship
seethed	VERB	seethe
and	CCONJ	and
tossed	VERB	toss
the	DET	the
waters	NOUN	water
of	ADP	of
the	DET	the
furious	ADJ	furious
Antarctic	PROPN	Antarctic
Sea	PROPN	Sea
.	PUNCT	.
Ice	NOUN	ice
floes	NOUN	floe
cracked	VERB	crack
and	CCONJ	and
crashed	VERB	crash
.	PUNCT	.
Giant	ADJ	giant
bergs	NOUN	berg
,	PUNCT	,
staggering	VERB	stagger
under	ADP	under
the	DET	the
lash	NOUN	lash
of	ADP	of
the	DET	the
gale	NOUN	gale
,	PUNCT	,
added	VERB	add
the	DET	the
dull	ADJ	dull
thunder	NOUN	thunder
of	ADP	of
their	PRON	their
impact	NOUN	impact
to	ADP	to
the	DET	the
wild	ADJ	wild
din	NOUN	din
.	PUNCT	.
Yet	ADV	yet
all	DET	all
the	DET	the
fury	NOUN	fury
and	CCONJ	and
clamor	NOUN	clamor
afloat	ADV	afloat
paled	VERB	pale
in	ADP	in
comparison	NOUN	comparison
with	ADP	with
the	DET	the
appalling	ADJ	appalling
splendor	NOUN	splendor
of	ADP	of
that	DET	that
which	DET	which
was	AUX	be
taking	VERB	take
place	NOUN	place
on	ADP	on
shore	NOUN	shore
.	PUNCT	.
On	ADP	on
