Sultan	PROPN	Sultan
of	ADP	of
Turkey	PROPN	Turkey
,	PUNCT	,
and	CCONJ	and
Mr.	PROPN	Mr.
Micawber	PROPN	Micawber
chatted	VERB	chat
amicably	ADV	amicably
together	ADV	together
in	ADP	in
one	NUM	one
language	NOUN	language
.	PUNCT	.
Behind	ADP	behind
them	PRON	they
came	VERB	come
a	DET	a
figure	NOUN	figure
which	DET	which
immediately	ADV	immediately
arrested	VERB	arrest
attention	NOUN	attention
.	PUNCT	.
It	PRON	it
was	AUX	be
a	DET	a
Burglar	PROPN	Burglar
,	PUNCT	,
with	ADP	with
dark	NOUN	dark
lantern	NOUN	lantern
in	ADP	in
one	NUM	one
hand	NOUN	hand
and	CCONJ	and
revolver	NOUN	revolver
in	ADP	in
the	DET	the
other	ADJ	other
.	PUNCT	.
A	DET	a
black	ADJ	black
mask	NOUN	mask
was	AUX	be
drawn	VERB	draw
down	ADV	down
to	ADP	to
his	PRON	his
lips	NOUN	lip
,	PUNCT	,
a	DET	a
slouch	NOUN	slouch
hat	NOUN	hat
shaded	VERB	shade
his	PRON	his
eyes	NOUN	eye
,	PUNCT	,
and	CCONJ	and
a	DET	a
kit	NOUN	kit
of	ADP	of
the	DET	the
tools	NOUN	tool
of	ADP	of
his	PRON	his
profession	NOUN	profession
swung	VERB	swing
from	ADP	from
one	NUM	one
shoulder	NOUN	shoulder
.	PUNCT	.
""""	PUNCT	""""
By	ADP	by
George	PROPN	George
!	PUNCT	!
""""	PUNCT	""""
commented	VERB	comment
the	DET	the
Cardinal	PROPN	Cardinal
.	PUNCT	.
""""	PUNCT	""""
Now	ADV	now
,	PUNCT	,
that	PRON	that
's	AUX	be
clever	ADJ	clever
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
Looks	VERB	look
like	ADP	like
the	DET	the
real	ADJ	real
thing	NOUN	thing
,	PUNCT	,
""""	PUNCT	""""
the	DET	the
Mikado	PROPN	Mikado
added	VERB	add
.	PUNCT	.
The	DET	the
Burglar	NOUN	burglar
stood	VERB	stand
aside	ADV	aside
a	DET	a
moment	NOUN	moment
,	PUNCT	,
allowing	VERB	allow
a	DET	a
diamond	NOUN	diamond
-	PUNCT	-
burdened	VERB	burden
Queen	PROPN	Queen
Elizabeth	PROPN	Elizabeth
