LORD	NOUN	lord
and	CCONJ	and
seldom	ADV	seldom
left	VERB	leave
his	PRON	his
house	NOUN	house
now	ADV	now
.	PUNCT	.
The	DET	the
room	NOUN	room
itself	PRON	itself
was	AUX	be
lined	VERB	line
throughout	ADV	throughout
with	ADP	with
the	DET	the
delicate	ADJ	delicate
green	ADJ	green
jade	NOUN	jade
-	PUNCT	-
enamel	NOUN	enamel
prescribed	VERB	prescribe
by	ADP	by
the	DET	the
Board	PROPN	Board
of	ADP	of
Health	PROPN	Health
,	PUNCT	,
and	CCONJ	and
was	AUX	be
suffused	VERB	suffuse
with	ADP	with
the	DET	the
artificial	ADJ	artificial
sunlight	NOUN	sunlight
discovered	VERB	discover
by	ADP	by
the	DET	the
great	ADJ	great
Reuter	PROPN	Reuter
forty	PROPN	forty
years	NOUN	year
before	ADV	before
;	PUNCT	;
it	PRON	it
had	AUX	have
the	DET	the
colour	NOUN	colour
-	PUNCT	-
tone	NOUN	tone
of	ADP	of
a	DET	a
spring	NOUN	spring
wood	NOUN	wood
,	PUNCT	,
and	CCONJ	and
was	AUX	be
warmed	VERB	warm
and	CCONJ	and
ventilated	VERB	ventilate
through	ADP	through
the	DET	the
classical	ADJ	classical
frieze	NOUN	frieze
grating	NOUN	grating
to	ADP	to
the	DET	the
exact	ADJ	exact
temperature	NOUN	temperature
of	ADP	of
18	NUM	18
degrees	NOUN	degree
Centigrade	ADJ	centigrade
.	PUNCT	.
Mr.	PROPN	Mr.
Templeton	PROPN	Templeton
was	AUX	be
a	DET	a
plain	ADJ	plain
man	NOUN	man
,	PUNCT	,
content	ADJ	content
to	PART	to
live	VERB	live
as	ADP	as
his	PRON	his
father	NOUN	father
had	AUX	have
lived	VERB	live
before	ADP	before
him	PRON	he
.	PUNCT	.
The	DET	the
furniture	NOUN	furniture
,	PUNCT	,
too	ADV	too
,	PUNCT	,
was	AUX	be
a	DET	a
little	ADJ	little
old	ADJ	old
-	PUNCT	-
fashioned	ADJ	fashioned
in	ADP	in
make	NOUN	make
and	CCONJ	and
design	NOUN	design
,	PUNCT	,
constructed	VERB	construct
however	ADV	however
according	ADP	according
to	ADP	to
the	DET	the
prevailing	VERB	prevail
system	NOUN	system
of	ADP	of
soft	ADJ	soft
asbestos	NOUN	asbestos
enamel	NOUN	enamel
welded	VERB	weld
over	NOUN	over
iron	NOUN	iron
,	PUNCT	,
indestructible	ADJ	indestructible
,	PUNCT	,
pleasant	ADJ	pleasant
to	ADP	to
the	DET	the
touch	NOUN	touch
,	PUNCT	,
and	CCONJ	and
resembling	VERB	resemble
mahogany	NOUN	mahogany
.	PUNCT	.
A	DET	a
couple	NOUN	couple
of	ADP	of
book	NOUN	book
-	PUNCT	-
cases	NOUN	case
well	ADV	well
filled	VERB	fill
ran	VERB	run
on	ADP	on
either	DET	either
side	NOUN	side
of	ADP	of
the	DET	the
bronze	ADJ	bronze
pedestal	ADJ	pedestal
electric	ADJ	electric
fire	NOUN	fire
before	ADP	before
which	DET	which
sat	VERB	sit
the	DET	the
three	NUM	three
men	NOUN	man
;	PUNCT	;
and	CCONJ	and
in	ADP	in
the	DET	the
further	ADJ	further
corners	NOUN	corner
stood	VERB	stand
the	DET	the
hydraulic	ADJ	hydraulic
lifts	NOUN	lift
that	PRON	that
gave	VERB	give
entrance	NOUN	entrance
,	PUNCT	,
the	DET	the
one	NUM	one
to	ADP	to
the	DET	the
bedroom	NOUN	bedroom
,	PUNCT	,
the	DET	the
other	ADJ	other
to	ADP	to
the	DET	the
corridor	NOUN	corridor
fifty	NUM	fifty
feet	NOUN	foot
up	ADV	up
which	DET	which
opened	VERB	open
on	ADP	on
to	ADP	to
the	DET	the
Embankment	PROPN	Embankment
.	PUNCT	.
Father	PROPN	Father
Percy	PROPN	Percy
Franklin	PROPN	Franklin
,	PUNCT	,
the	DET	the
elder	NOUN	elder
of	ADP	of
the	DET	the
two	NUM	two
priests	NOUN	priest
,	PUNCT	,
was	AUX	be
rather	ADV	rather
a	DET	a
remarkable	ADJ	remarkable
-	PUNCT	-
looking	ADJ	looking
man	NOUN	man
,	PUNCT	,
not	PART	not
more	ADJ	more
than	ADP	than
thirty	NUM	thirty
