BOOKS	NOUN	book
BY	ADP	by
GUY	PROPN	GUY
WETMORE	PROPN	WETMORE
CARRYL	PROPN	CARRYL
_	PUNCT	_
PUBLISHED	VERB	publish
BY	ADP	by
HENRY	PROPN	HENRY
HOLT	PROPN	HOLT
AND	CCONJ	and
COMPANY	PROPN	COMPANY
_	PUNCT	_
THE	DET	the
TRANSGRESSION	NOUN	transgression
OF	ADP	of
ANDREW	PROPN	ANDREW
VANE	PROPN	VANE
$	SYM	$
1.50	NUM	1.50
_	PUNCT	_
PUBLISHED	VERB	publish
BY	ADP	by
HARPER	PROPN	HARPER
AND	CCONJ	and
BROTHERS	PROPN	BROTHERS
_	PUNCT	_
FABLES	NOUN	fable
FOR	ADP	for
THE	DET	the
FRIVOLOUS	ADJ	frivolous
$	SYM	$
1.50	NUM	1.50
MOTHER	NOUN	mother
GOOSE	PROPN	GOOSE
FOR	ADP	for
GROWN	ADJ	grown
-	PUNCT	-
UPS	NOUN	up
$	SYM	$
1.50	NUM	1.50
_	PUNCT	_
PUBLISHED	VERB	publish
BY	ADP	by
HOUGHTON	PROPN	HOUGHTON
,	PUNCT	,
MIFFLIN	PROPN	MIFFLIN
&	CCONJ	&
CO	PROPN	CO
.	PUNCT	.
_	PUNCT	_
GRIMM	PROPN	GRIMM
TALES	NOUN	tale
MADE	VERB	make
GAY	PROPN	GAY
$	SYM	$
1.50	NUM	1.50
THE	DET	the
LIEUTENANT	NOUN	lieutenant
GOVERNOR	NOUN	governor
$	SYM	$
1.50	NUM	1.50
ZUT	NOUN	zut
,	PUNCT	,
AND	CCONJ	and
OTHER	ADJ	other
PARISIANS	NOUN	parisian
$	SYM	$
1.50	NUM	1.50
:	PUNCT	:
Guy	PROPN	Guy
Wetmore	PROPN	Wetmore
Carryl	PROPN	Carryl
.	PUNCT	.
]	X	]
The	DET	the
Transgression	NOUN	transgression
of	ADP	of
Andrew	PROPN	Andrew
Vane	PROPN	Vane
_	PUNCT	_
A	PROPN	A
NOVEL	PROPN	NOVEL
_	PUNCT	_
BY	PROPN	BY
GUY	PROPN	GUY
WETMORE	PROPN	WETMORE
CARRYL	PROPN	CARRYL
_	PUNCT	_
Author	NOUN	author
of	ADP	of
""""	PUNCT	""""
Zut	PROPN	Zut
,	PUNCT	,
and	CCONJ	and
Other	ADJ	other
Parisians	PROPN	Parisians
""""	PUNCT	""""
_	PUNCT	_
NEW	PROPN	NEW
YORK	PROPN	YORK
HENRY	PROPN	HENRY
HOLT	PROPN	HOLT
AND	CCONJ	and
COMPANY	PROPN	COMPANY
1904	NUM	1904
Copyright	NOUN	copyright
,	PUNCT	,
1904	NUM	1904
BY	PROPN	BY
HENRY	PROPN	HENRY
HOLT	PROPN	HOLT
AND	CCONJ	and
COMPANY	PROPN	COMPANY
_	PUNCT	_
Published	VERB	publish
April	PROPN	April
,	PUNCT	,
1904	NUM	1904
_	PUNCT	_
ROBERT	PROPN	ROBERT
DRUMMOND	PROPN	DRUMMOND
,	PUNCT	,
PRINTER	PROPN	PRINTER
,	PUNCT	,
NEW	PROPN	NEW
YORK	PROPN	YORK
TO	PROPN	TO
HENRY	PROPN	HENRY
HOLT	PROPN	HOLT
Table	NOUN	table
of	ADP	of
Contents	PROPN	Contents
.	PUNCT	.
PAGE	NOUN	page
PROLOGUE	NOUN	prologue
1	NUM	1
CHAPTER	NOUN	chapter
I.	NOUN	i.
MR	PROPN	MR
.	PROPN	.
CARNBY	PROPN	CARNBY
RECEIVES	VERB	receive
A	DET	a
LETTER	NOUN	letter
22	NUM	22
CHAPTER	NOUN	chapter
II	NUM	ii
.	NUM	.
NEW	ADJ	new
FRIENDS	NOUN	friend
AND	CCONJ	and
OLD	ADJ	old
36	NUM	36
CHAPTER	NOUN	chapter
III	NUM	iii
.	NUM	.
THE	DET	the
GIRL	NOUN	girl
IN	ADP	in
RED	NOUN	red
51	NUM	51
CHAPTER	NOUN	chapter
IV	NUM	iv
.	NUM	.
MOTHER	NOUN	mother
AND	CCONJ	and
DAUGHTER	NOUN	daughter
71	NUM	71
CHAPTER	NOUN	chapter
V.	NUM	v.
THE	DET	the
GOOD	ADJ	good
AND	CCONJ	and
FAITHFUL	ADJ	faithful
SERVANT	NOUN	servant
89	NUM	89
CHAPTER	NOUN	chapter
VI	X	vi
.	X	.
A	DET	a
REVOLT	NOUN	revolt
SUPPRESSED	VERB	suppress
106	NUM	106
CHAPTER	NOUN	chapter
VII	X	vii
.	PUNCT	.
A	DET	a
PLEDGE	NOUN	pledge
OF	ADP	of
FRIENDSHIP	NOUN	FRIENDSHIP
117	NUM	117
CHAPTER	NOUN	chapter
VIII	NUM	viii
.	X	.
A	DET	a
PARLEY	NOUN	parley
AND	CCONJ	and
A	DET	a
PRAYER	NOUN	prayer
130	NUM	130
CHAPTER	NOUN	chapter
IX	NUM	ix
.	NUM	.
THE	DET	the
WOMAN	NOUN	woman
IN	ADP	in
THE	DET	the
CASE	NOUN	case
143	NUM	143
CHAPTER	NOUN	chapter
X.	X	x.
THE	DET	the
FAIRY	NOUN	fairy
GODMOTHER	NOUN	godmother
159	NUM	159
CHAPTER	NOUN	chapter
XI	NUM	xi
.	X	.
SOME	NOUN	some
AFTER	ADP	after
-	PUNCT	-
DINNER	NOUN	dinner
CONVERSATION	NOUN	conversation
175	NUM	175
CHAPTER	NOUN	chapter
XII	NUM	xii
.	X	.
REACTION	NOUN	reaction
192	NUM	192
CHAPTER	NOUN	chapter
XIII	NUM	xiii
.	X	.
RHAPSODIE	NOUN	rhapsodie
HONGROISE	NOUN	hongroise
,	PUNCT	,
NO	NOUN	no
.	NOUN	.
2	NUM	2
204	NUM	204
CHAPTER	NOUN	chapter
XIV	NUM	xiv
.	X	.
FATE	NOUN	fate
IS	AUX	be
HARD	ADJ	HARD
--	PUNCT	--
CASH	NOUN	cash
!	PUNCT	!
218	NUM	218
CHAPTER	NOUN	chapter
XV	NUM	xv
.	X	.
""""	PUNCT	""""
AS	ADP	as
IT	PRON	it
WAS	AUX	be
IN	ADP	in
THE	DET	the
BEGINNING	NOUN	beginning
,	PUNCT	,
IS	AUX	be
NOW	ADV	now
,	PUNCT	,
AND	CCONJ	and
EVER	ADV	ever
SHALL	AUX	shall
BE	AUX	be
.	PUNCT	.
""""	PUNCT	""""
237	NUM	237
CHAPTER	NOUN	chapter
XVI	NUM	xvi
.	X	.
A	DET	a
DECLARATION	NOUN	declaration
OF	ADP	of
INDEPENDENCE	NOUN	independence
256	NUM	256
CHAPTER	NOUN	chapter
XVII	NUM	xvii
.	NOUN	.
A	DET	a
DOG	NOUN	dog
AND	CCONJ	and
HIS	PRON	his
MASTER	NOUN	master
268	NUM	268
CHAPTER	NOUN	chapter
XVIII	NOUN	xviii
.	X	.
FAIR	ADJ	fair
EXCHANGE	NOUN	exchange
IS	AUX	be
NO	DET	no
ROBBERY	NOUN	robbery
283	NUM	283
CHAPTER	NOUN	chapter
XIX	NUM	xix
.	X	.
REDEMPTION	NOUN	redemption
297	NUM	297
CHAPTER	NOUN	chapter
XX	NUM	xx
.	X	.
THE	DET	the
SHADOW	NOUN	shadow
311	NUM	311
The	DET	the
Transgression	NOUN	transgression
of	ADP	of
Andrew	PROPN	Andrew
Vane	PROPN	Vane
For	ADP	for
the	DET	the
things	NOUN	thing
ye	PRON	ye
do	AUX	do
,	PUNCT	,
when	SCONJ	when
your	PRON	your
life	NOUN	life
is	AUX	be
