generously	ADV	generously
made	VERB	make
available	ADJ	available
by	ADP	by
Internet	PROPN	Internet
Archive	PROPN	Archive
(	PUNCT	(
https://archive.org	X	https://archive.org
)	PUNCT	)
Note	NOUN	note
:	PUNCT	:
Images	NOUN	image
of	ADP	of
the	DET	the
original	ADJ	original
pages	NOUN	page
are	AUX	be
available	ADJ	available
through	ADP	through
Internet	PROPN	Internet
Archive	PROPN	Archive
.	PUNCT	.
See	VERB	see
https://archive.org/details/misscrespigny00burn	X	https://archive.org/details/misscrespigny00burn
:	X	:
MRS	PROPN	MRS
.	PROPN	.
BURNETT	PROPN	BURNETT
'S	PART	's
Earlier	ADJ	early
Stories	NOUN	story
.	PUNCT	.
MISS	PROPN	MISS
CRESPIGNY	PROPN	CRESPIGNY
BY	PROPN	BY
FRANCES	PROPN	FRANCES
HODGSON	PROPN	HODGSON
BURNETT	PROPN	BURNETT
.	PUNCT	.
NEW	PROPN	NEW
YORK	PROPN	YORK
CHARLES	PROPN	CHARLES
SCRIBNER	PROPN	SCRIBNER
'S	PART	's
SONS	NOUN	son
]	X	]
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
Authorized	ADJ	authorized
Editions	NOUN	edition
.	PUNCT	.
_	PUNCT	_
MRS	PROPN	MRS
.	PROPN	.
BURNETT	PROPN	BURNETT
'S	PART	's
_	PUNCT	_
EARLIER	ADJ	early
STORIES	NOUN	story
.	PUNCT	.
BY	PROPN	BY
FRANCES	PROPN	FRANCES
HODGSON	PROPN	HODGSON
BURNETT	PROPN	BURNETT
.	PUNCT	.
LINDSAY	PROPN	LINDSAY
'S	PART	's
LUCK	PROPN	LUCK
,	PUNCT	,
Price	PROPN	Price
,	PUNCT	,
30	NUM	30
cts	NOUN	ct
.	PUNCT	.
KATHLEEN	PROPN	KATHLEEN
,	PUNCT	,
Price	PROPN	Price
,	PUNCT	,
40	NUM	40
cts	NOUN	ct
.	PUNCT	.
PRETTY	PROPN	PRETTY
POLLY	PROPN	POLLY
PEMBERTON	PROPN	PEMBERTON
,	PUNCT	,
Price	PROPN	Price
,	PUNCT	,
40	NUM	40
cts	NOUN	ct
.	PUNCT	.
THEO	PROPN	THEO
,	PUNCT	,
Price	PROPN	Price
,	PUNCT	,
30	NUM	30
cts	NOUN	ct
.	PUNCT	.
MISS	PROPN	MISS
CRESPIGNY	PROPN	CRESPIGNY
,	PUNCT	,
Price	PROPN	Price
,	PUNCT	,
30	NUM	30
cts	NOUN	ct
.	PUNCT	.
⁂	PUNCT	⁂
_	PUNCT	_
For	ADP	for
sale	NOUN	sale
by	ADP	by
all	DET	all
booksellers	NOUN	bookseller
,	PUNCT	,
or	CCONJ	or
will	AUX	will
be	AUX	be
sent	VERB	send
,	PUNCT	,
post	NOUN	post
paid	VERB	pay
,	PUNCT	,
upon	SCONJ	upon
receipt	NOUN	receipt
of	ADP	of
the	DET	the
price	NOUN	price
by	ADP	by
the	DET	the
publishers	NOUN	publisher
_	PUNCT	_
,	PUNCT	,
CHARLES	PROPN	CHARLES
SCRIBNER	PROPN	SCRIBNER
'S	PART	's
SONS	PROPN	SONS
,	PUNCT	,
743	NUM	743
AND	CCONJ	and
745	NUM	745
BROADWAY	PROPN	BROADWAY
,	PUNCT	,
NEW	PROPN	NEW
YORK	PROPN	YORK
.	PUNCT	.
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
MISS	PROPN	MISS
CRESPIGNY	PROPN	CRESPIGNY
.	PUNCT	.
by	ADP	by
FRANCES	PROPN	FRANCES
HODGSON	PROPN	HODGSON
BURNETT	PROPN	BURNETT
,	PUNCT	,
Author	NOUN	author
of	ADP	of
“	PUNCT	""""
Haworth	PROPN	Haworth
's	PART	's
,	PUNCT	,
”	PUNCT	""""
“	PUNCT	""""
That	PROPN	That
Lass	PROPN	Lass
o	ADP	o
'	PROPN	'
Lowrie	PROPN	Lowrie
's	PART	's
,	PUNCT	,
”	PUNCT	""""
“	PUNCT	""""
Surly	PROPN	Surly
Tim	PROPN	Tim
and	PROPN	and
Other	PROPN	Other
Stories	PROPN	Stories
.	PUNCT	.
”	PUNCT	""""
New	PROPN	New
York	PROPN	York
:	PUNCT	:
Charles	PROPN	Charles
Scribner	PROPN	Scribner
'S	PART	's
Sons	PROPN	Sons
,	PUNCT	,
743	NUM	743
&	CCONJ	&
745	NUM	745
Broadway	PROPN	Broadway
.	PUNCT	.
Copyright	NOUN	copyright
1879	NUM	1879
,	PUNCT	,
By	ADP	by
Charles	PROPN	Charles
Scribner	PROPN	Scribner
'S	PART	's
Sons	NOUN	son
.	PUNCT	.
New	PROPN	New
York	PROPN	York
:	PUNCT	:
J.	PROPN	J.
J.	PROPN	J.
Little	PROPN	Little
&	CCONJ	&
Co.	PROPN	Co.
,	PUNCT	,
Printers	PROPN	Printers
,	PUNCT	,
10	NUM	10
to	PART	to
20	NUM	20
Astor	PROPN	Astor
Place	PROPN	Place
.	PUNCT	.
Author	NOUN	author
's	PART	's
Note	NOUN	note
.	PUNCT	.
These	DET	these
love	NOUN	love
stories	NOUN	story
were	AUX	be
written	VERB	write
for	ADP	for
and	CCONJ	and
printed	VERB	print
in	ADP	in
“	PUNCT	""""
Peterson	PROPN	Peterson
