[	PUNCT	[
Frontispiece	NOUN	frontispiece
caption	NOUN	caption
:]	PUNCT	:]
""""	PUNCT	""""
He	PRON	he
cried	VERB	cry
out	ADP	out
,	PUNCT	,
in	ADP	in
a	DET	a
fit	NOUN	fit
of	ADP	of
frenzy	NOUN	frenzy
,	PUNCT	,
'	PUNCT	'
Damn	VERB	damn
the	DET	the
United	PROPN	United
States	PROPN	States
!	PUNCT	!
I	PRON	I
wish	VERB	wish
I	PRON	I
may	AUX	may
never	ADV	never
hear	VERB	hear
of	ADP	of
the	DET	the
United	PROPN	United
States	PROPN	States
again	ADV	again
!	PUNCT	!
'	PUNCT	'
""""	PUNCT	""""
The	DET	the
Man	PROPN	Man
Without	ADP	without
A	DET	a
Country	PROPN	Country
by	ADP	by
Edward	PROPN	Edward
E.	PROPN	E.
Hale	PROPN	Hale
Author	NOUN	author
of	ADP	of
""""	PUNCT	""""
In	ADP	in
His	PRON	his
Name	NOUN	name
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
Ten	NUM	ten
Times	PROPN	Times
One	NUM	one
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
How	SCONJ	how
to	PART	to
Live	VERB	live
,	PUNCT	,
""""	PUNCT	""""
etc	X	etc
.	PUNCT	.
Boston	PROPN	Boston
Little	PROPN	Little
,	PUNCT	,
Brown	PROPN	Brown
,	PUNCT	,
and	CCONJ	and
Company	PROPN	Company
Entered	VERB	enter
according	VERB	accord
to	ADP	to
Act	PROPN	Act
of	ADP	of
Congress	PROPN	Congress
,	PUNCT	,
in	ADP	in
the	DET	the
year	NOUN	year
1863	NUM	1863
,	PUNCT	,
By	ADP	by
TICKNOR	PROPN	TICKNOR
AND	CCONJ	and
FIELDS	PROPN	FIELDS
,	PUNCT	,
in	ADP	in
the	DET	the
Clerk	PROPN	Clerk
's	PART	's
Office	PROPN	Office
of	ADP	of
the	DET	the
District	PROPN	District
Court	PROPN	Court
of	ADP	of
the	DET	the
District	PROPN	District
of	ADP	of
Massachusetts	PROPN	Massachusetts
.	PUNCT	.
Entered	VERB	enter
according	VERB	accord
to	ADP	to
Act	PROPN	Act
of	ADP	of
Congress	PROPN	Congress
,	PUNCT	,
in	ADP	in
the	DET	the
year	NOUN	year
1865	NUM	1865
,	PUNCT	,
BY	ADP	by
TICKNOR	PROPN	TICKNOR
AND	CCONJ	and
FIELDS	PROPN	FIELDS
,	PUNCT	,
in	ADP	in
the	DET	the
Clerk	PROPN	Clerk
's	PART	's
Office	PROPN	Office
of	ADP	of
the	DET	the
District	PROPN	District
Court	PROPN	Court
of	ADP	of
the	DET	the
District	PROPN	District
of	ADP	of
Massachusetts	PROPN	Massachusetts
.	PUNCT	.
Entered	VERB	enter
according	VERB	accord
to	ADP	to
Act	PROPN	Act
of	ADP	of
Congress	PROPN	Congress
,	PUNCT	,
in	ADP	in
the	DET	the
year	NOUN	year
1865	NUM	1865
,	PUNCT	,
BY	ADP	by
TICKNOR	PROPN	TICKNOR
AND	CCONJ	and
FIELDS	PROPN	FIELDS
,	PUNCT	,
in	ADP	in
the	DET	the
Clerk	PROPN	Clerk
's	PART	's
Office	PROPN	Office
of	ADP	of
the	DET	the
District	PROPN	District
Court	PROPN	Court
of	ADP	of
the	DET	the
District	PROPN	District
of	ADP	of
Massachusetts	PROPN	Massachusetts
.	PUNCT	.
Entered	VERB	enter
according	VERB	accord
to	ADP	to
Act	PROPN	Act
of	ADP	of
Congress	PROPN	Congress
,	PUNCT	,
in	ADP	in
the	DET	the
year	NOUN	year
1868	NUM	1868
,	PUNCT	,
BY	ADP	by
TICKNOR	PROPN	TICKNOR
AND	CCONJ	and
