SHAMING	VERB	shame
THE	DET	the
SPEED	NOUN	speed
LIMIT	NOUN	limit
By	ADP	by
Burt	PROPN	Burt
L.	PROPN	L.
Standish	PROPN	Standish
CHAPTER	NOUN	chapter
I	NUM	i
A	PROPN	A
GIRL	NOUN	girl
,	PUNCT	,
A	DET	a
DOG	NOUN	dog
,	PUNCT	,
AND	CCONJ	and
A	DET	a
MAN	NOUN	man
.	PUNCT	.
When	SCONJ	when
Miss	PROPN	Miss
Elizabeth	PROPN	Elizabeth
Wiggin	PROPN	Wiggin
settled	VERB	settle
herself	PRON	herself
comfortably	ADV	comfortably
in	ADP	in
the	DET	the
shade	NOUN	shade
of	ADP	of
the	DET	the
spreading	VERB	spread
oak	NOUN	oak
in	ADP	in
Libby	PROPN	Libby
's	PART	's
pasture	NOUN	pasture
,	PUNCT	,
she	PRON	she
looked	VERB	look
forward	ADV	forward
eagerly	ADV	eagerly
to	ADP	to
a	DET	a
pleasant	ADJ	pleasant
and	CCONJ	and
quiet	ADJ	quiet
hour	NOUN	hour
with	ADP	with
her	PRON	her
book	NOUN	book
,	PUNCT	,
“	PUNCT	""""
Wooed	VERB	woo
,	PUNCT	,
Won	VERB	win
,	PUNCT	,
and	CCONJ	and
Wedded	VERB	wed
.	PUNCT	.
”	PUNCT	""""
As	ADP	as
may	AUX	may
be	AUX	be
surmised	VERB	surmise
from	ADP	from
the	DET	the
title	NOUN	title
of	ADP	of
the	DET	the
book	NOUN	book
,	PUNCT	,
Miss	PROPN	Miss
Wiggin	PROPN	Wiggin
was	AUX	be
romantic	ADJ	romantic
.	PUNCT	.
She	PRON	she
was	AUX	be
likewise	ADV	likewise
just	ADV	just
eighteen	NUM	eighteen
years	NOUN	year
of	ADP	of
age	NOUN	age
,	PUNCT	,
and	CCONJ	and
the	DET	the
daughter	NOUN	daughter
of	ADP	of
Judge	PROPN	Judge
Nathan	PROPN	Nathan
P.	PROPN	P.
Wiggin	PROPN	Wiggin
,	PUNCT	,
of	ADP	of
Greenbush	PROPN	Greenbush
,	PUNCT	,
the	DET	the
village	NOUN	village
that	PRON	that
could	AUX	could
be	AUX	be
seen	VERB	see
nestling	VERB	nestle
in	ADP	in
the	DET	the
valley	NOUN	valley
something	PRON	something
like	ADP	like
a	DET	a
mile	NOUN	mile
distant	ADV	distant
from	ADP	from
that	DET	that
hillside	NOUN	hillside
oak	NOUN	oak
.	PUNCT	.
Miss	PROPN	Miss
Wiggin	PROPN	Wiggin
lived	VERB	live
in	ADP	in
Greenbush	PROPN	Greenbush
,	PUNCT	,
but	CCONJ	but
on	ADP	on
pleasant	ADJ	pleasant
afternoons	NOUN	afternoon
she	PRON	she
had	AUX	have
a	VERB	a
habit	ADP	habit
of	ADP	of
wandering	VERB	wander
away	ADV	away
,	PUNCT	,
accompanied	VERB	accompany
only	ADV	only
by	ADP	by
an	DET	an
aged	ADJ	aged
shepherd	NOUN	shepherd
dog	NOUN	dog
,	PUNCT	,
in	ADP	in
search	NOUN	search
of	ADP	of
some	DET	some
spot	NOUN	spot
where	SCONJ	where
she	PRON	she
could	AUX	could
read	VERB	read
without	ADP	without
fear	NOUN	fear
of	ADP	of
interruption	NOUN	interruption
.	PUNCT	.
For	ADP	for
her	PRON	her
grim	ADJ	grim
old	ADJ	old
father	NOUN	father
objected	VERB	object
to	ADP	to
trashy	ADJ	trashy
love	NOUN	love
stories	NOUN	story
,	PUNCT	,
and	CCONJ	and
her	PRON	her
ascetic	ADJ	ascetic
spinster	NOUN	spinster
aunt	NOUN	aunt
,	PUNCT	,
who	PRON	who
had	AUX	have
acted	VERB	act
as	ADP	as
the	DET	the
judge	NOUN	judge
's	PART	's
housekeeper	NOUN	housekeeper
since	SCONJ	since
the	DET	the
death	NOUN	death
of	ADP	of
Mrs.	PROPN	Mrs.
Wiggin	PROPN	Wiggin
,	PUNCT	,
held	VERB	hold
all	DET	all
such	ADJ	such
fiction	NOUN	fiction
in	NOUN	in
abhorrence	NOUN	abhorrence
.	PUNCT	.
Indeed	ADV	indeed
,	PUNCT	,
the	DET	the
animus	NOUN	animus
of	ADP	of
Aunt	PROPN	Aunt
Sally	PROPN	Sally
Wiggin	PROPN	Wiggin
against	ADP	against
stories	NOUN	story
depicting	VERB	depict
the	DET	the
ravages	NOUN	ravage
wrought	VERB	work
by	ADP	by
the	DET	the
little	ADJ	little
god	NOUN	god
of	ADP	of
the	DET	the
bow	NOUN	bow
and	CCONJ	and
arrow	NOUN	arrow
was	AUX	be
so	ADV	so
extreme	ADJ	extreme
that	SCONJ	that
,	PUNCT	,
by	ADP	by
consigning	VERB	consign
such	ADJ	such
terrible	ADJ	terrible
tales	NOUN	tale
to	ADP	to
the	DET	the
flames	NOUN	flame
whenever	ADV	whenever
she	PRON	she
found	VERB	find
them	PRON	they
about	ADP	about
the	DET	the
house	NOUN	house
,	PUNCT	,
she	PRON	she
conscientiously	ADV	conscientiously
did	AUX	do
her	PRON	her
best	ADJ	good
to	PART	to
prevent	VERB	prevent
them	PRON	they
from	ADP	from
turning	VERB	turn
the	DET	the
head	NOUN	head
of	ADP	of
her	PRON	her
niece	NOUN	niece
.	PUNCT	.
She	PRON	she
even	ADV	even
forbade	VERB	forbid
the	DET	the
village	NOUN	village
news	NOUN	news
dealer	NOUN	dealer
to	PART	to
sell	VERB	sell
Bessie	PROPN	Bessie
any	DET	any
more	ADJ	more
books	NOUN	book
of	ADP	of
that	DET	that
type	NOUN	type
.	PUNCT	.
In	ADP	in
these	DET	these
days	NOUN	day
,	PUNCT	,
however	ADV	however
,	PUNCT	,
it	PRON	it
is	AUX	be
no	DET	no
easy	ADJ	easy
matter	NOUN	matter
to	PART	to
deprive	VERB	deprive
any	DET	any
one	NUM	one
of	ADP	of
the	DET	the
mental	ADJ	mental
pabulum	NOUN	pabulum
that	PRON	that
is	AUX	be
desired	VERB	desire
,	PUNCT	,
and	CCONJ	and
Aunt	PROPN	Aunt
Sally	PROPN	Sally
had	AUX	have
set	VERB	set
herself	PRON	herself
a	DET	a
task	NOUN	task
that	PRON	that
she	PRON	she
could	AUX	could
not	PART	not
accomplish	VERB	accomplish
.	PUNCT	.
Lemuel	PROPN	Lemuel
Dodd	PROPN	Dodd
,	PUNCT	,
Judge	PROPN	Judge
Wiggin	PROPN	Wiggin
's	PART	's
hostler	NOUN	hostler
and	CCONJ	and
man	NOUN	man
of	ADP	of
all	DET	all
work	NOUN	work
,	PUNCT	,
red	ADJ	red
-	PUNCT	-
headed	ADJ	headed
,	PUNCT	,
freckled	ADJ	freckled
,	PUNCT	,
and	CCONJ	and
homely	ADJ	homely
as	ADP	as
a	DET	a
slump	ADJ	slump
fence	NOUN	fence
,	PUNCT	,
undeterred	ADJ	undeterred
by	ADP	by
the	DET	the
discouraging	ADJ	discouraging
fact	NOUN	fact
that	SCONJ	that
his	PRON	his
persistent	ADJ	persistent
efforts	NOUN	effort
to	PART	to
make	VERB	make
love	NOUN	love
to	ADP	to
Bessie	PROPN	Bessie
seemed	VERB	seem
merely	ADV	merely
to	PART	to
arouse	VERB	arouse
her	NOUN	her
amusement	NOUN	amusement
,	PUNCT	,
became	VERB	become
her	PRON	her
secret	ADJ	secret
and	CCONJ	and
faithful	ADJ	faithful
ally	NOUN	ally
.	PUNCT	.
Twice	ADV	twice
a	DET	a
week	NOUN	week
,	PUNCT	,
at	ADV	at
least	ADV	least
,	PUNCT	,
he	PRON	he
spent	VERB	spend
twenty	NUM	twenty
-	PUNCT	-
five	NUM	five
cents	NOUN	cent
of	ADP	of
his	PRON	his
wages	NOUN	wage
for	ADP	for
a	DET	a
paper	NOUN	paper
-	PUNCT	-
covered	VERB	cover
novel	NOUN	novel
to	PART	to
be	AUX	be
smuggled	VERB	smuggle
into	ADP	into
her	PRON	her
possession	NOUN	possession
,	PUNCT	,
and	CCONJ	and
invariably	ADV	invariably
he	PRON	he
chose	VERB	choose
the	DET	the
ones	NOUN	one
whose	DET	whose
titles	NOUN	title
seemed	VERB	seem
to	PART	to
promise	VERB	promise
that	SCONJ	that
their	PRON	their
contents	NOUN	content
would	AUX	would
come	VERB	come
up	ADP	up
to	ADP	to
Elizabeth	PROPN	Elizabeth
's	PART	's
requirements	NOUN	requirement
.	PUNCT	.
“	PUNCT	""""
There	PRON	there
ai	VERB	be
n't	PART	not
many	ADJ	many
single	ADJ	single
fellers	NOUN	feller
left	VERB	leave
round	ADP	round
this	DET	this
town	NOUN	town
,	PUNCT	,
”	PUNCT	""""
Lemuel	PROPN	Lemuel
told	VERB	tell
himself	PRON	himself
,	PUNCT	,
“	PUNCT	""""
and	CCONJ	and
mebbe	X	mebbe
if	SCONJ	if
she	PRON	she
reads	VERB	read
enough	ADJ	enough
of	ADP	of
them	PRON	they
yarns	NOUN	yarn
she	PRON	she
'll	AUX	will
git	VERB	git
so	ADV	so
desprit	ADJ	desprit
she	PRON	she
'll	AUX	will
have	AUX	have
to	PART	to
grab	VERB	grab
what	PRON	what
's	AUX	be
handy	ADJ	handy
.	PUNCT	.
And	CCONJ	and
when	SCONJ	when
she	PRON	she
gits	VERB	git
the	DET	the
notion	NOUN	notion
to	PART	to
grab	VERB	grab
,	PUNCT	,
I	PRON	I
'm	AUX	be
going	VERB	go
to	PART	to
take	VERB	take
keer	NOUN	keer
that	SCONJ	that
I	PRON	I
'm	AUX	be
the	DET	the
handiest	ADJ	handy
thing	NOUN	thing
in	ADP	in
reach	NOUN	reach
.	PUNCT	.
”	PUNCT	""""
And	CCONJ	and
so	ADV	so
,	PUNCT	,
on	ADP	on
this	DET	this
sunny	ADJ	sunny
September	PROPN	September
afternoon	NOUN	afternoon
,	PUNCT	,
Bessie	PROPN	Bessie
Wiggin	PROPN	Wiggin
was	AUX	be
seeking	VERB	seek
the	DET	the
shade	NOUN	shade
of	ADP	of
the	DET	the
oak	NOUN	oak
in	ADP	in
Libby	PROPN	Libby
's	PART	's
pasture	NOUN	pasture
,	PUNCT	,
presumably	ADV	presumably
afar	ADV	afar
from	ADP	from
interruption	NOUN	interruption
,	PUNCT	,
and	CCONJ	and
