.	PUNCT	.
On	ADP	on
the	DET	the
eve	NOUN	eve
of	ADP	of
the	DET	the
departure	NOUN	departure
of	ADP	of
the	DET	the
great	ADJ	great
dirigible	NOUN	dirigible
,	PUNCT	,
O-220	PROPN	O-220
,	PUNCT	,
from	ADP	from
the	DET	the
earth	NOUN	earth
's	PART	's
core	NOUN	core
,	PUNCT	,
following	VERB	follow
the	DET	the
successful	ADJ	successful
termination	NOUN	termination
of	ADP	of
that	DET	that
historic	ADJ	historic
expedition	NOUN	expedition
,	PUNCT	,
Jason	PROPN	Jason
had	AUX	have
determined	VERB	determine
to	PART	to
remain	VERB	remain
and	CCONJ	and
search	VERB	search
for	ADP	for
von	PROPN	von
Horst	PROPN	Horst
,	PUNCT	,
the	DET	the
only	ADJ	only
missing	ADJ	missing
member	NOUN	member
of	ADP	of
the	DET	the
party	NOUN	party
;	PUNCT	;
but	CCONJ	but
Tarzan	PROPN	Tarzan
,	PUNCT	,
David	PROPN	David
Innes	PROPN	Innes
,	PUNCT	,
and	CCONJ	and
Captain	PROPN	Captain
Zuppner	PROPN	Zuppner
had	AUX	have
persuaded	VERB	persuade
him	PRON	he
of	ADP	of
the	DET	the
folly	NOUN	folly
of	ADP	of
such	DET	such
an	DET	an
undertaking	NOUN	undertaking
,	PUNCT	,
inasmuch	ADP	inasmuch
as	ADP	as
David	PROPN	David
had	AUX	have
promised	VERB	promise
to	PART	to
dispatch	VERB	dispatch
an	DET	an
expedition	NOUN	expedition
of	ADP	of
his	PRON	his
own	ADJ	own
native	ADJ	native
Pellucidarian	ADJ	pellucidarian
warriors	NOUN	warrior
to	PART	to
locate	VERB	locate
the	DET	the
young	ADJ	young
German	ADJ	german
lieutenant	NOUN	lieutenant
if	SCONJ	if
he	PRON	he
still	ADV	still
lived	VERB	live
and	CCONJ	and
it	PRON	it
were	AUX	be
possible	ADJ	possible
to	PART	to
discover	VERB	discover
any	DET	any
clue	NOUN	clue
to	ADP	to
his	PRON	his
whereabouts	NOUN	whereabouts
.	PUNCT	.
Notwithstanding	ADP	notwithstanding
this	DET	this
,	PUNCT	,
and	CCONJ	and
though	SCONJ	though
he	PRON	he
had	AUX	have
returned	VERB	return
to	ADP	to
the	DET	the
outer	ADJ	outer
world	NOUN	world
with	ADP	with
the	DET	the
ship	NOUN	ship
,	PUNCT	,
Jason	PROPN	Jason
had	AUX	have
always	ADV	always
been	AUX	be
harassed	VERB	harass
by	ADP	by
a	DET	a
sense	NOUN	sense
of	ADP	of
responsibility	NOUN	responsibility
for	ADP	for
the	DET	the
fate	NOUN	fate
of	ADP	of
von	PROPN	von
Horst	PROPN	Horst
,	PUNCT	,
a	DET	a
young	ADJ	young
man	NOUN	man
who	PRON	who
had	AUX	have
been	AUX	be
most	ADV	most
popular	ADJ	popular
with	ADP	with
all	DET	all
the	DET	the
members	NOUN	member
of	ADP	of
the	DET	the
expedition	NOUN	expedition
;	PUNCT	;
and	CCONJ	and
had	AUX	have
insisted	VERB	insist
time	NOUN	time
and	CCONJ	and
time	NOUN	time
again	ADV	again
that	SCONJ	that
he	PRON	he
regretted	VERB	regret
having	VERB	have
left	VERB	leave
Pellucidar	PROPN	Pellucidar
until	ADP	until
he	PRON	he
had	AUX	have
exhausted	VERB	exhaust
every	DET	every
means	NOUN	mean
within	ADP	within
his	PRON	his
power	NOUN	power
of	ADP	of
rescuing	VERB	rescue
von	PROPN	von
Horst	PROPN	Horst
or	CCONJ	or
learned	VERB	learn
definitely	ADV	definitely
that	SCONJ	that
he	PRON	he
was	AUX	be
dead	ADJ	dead
.	PUNCT	.
Jason	PROPN	Jason
waved	VERB	wave
me	PRON	I
to	ADP	to
a	DET	a
chair	NOUN	chair
and	CCONJ	and
offered	VERB	offer
me	PRON	I
a	DET	a
cigarette	NOUN	cigarette
.	PUNCT	.
“	PUNCT	""""
I	PRON	I
've	AUX	have
just	ADV	just
had	AUX	have
a	DET	a
message	NOUN	message
from	ADP	from
Abner	PROPN	Abner
Perry	PROPN	Perry
,	PUNCT	,
”	PUNCT	""""
he	PRON	he
announced	VERB	announce
,	PUNCT	,
“	PUNCT	""""
the	DET	the
first	ADJ	first
for	ADP	for
months	NOUN	month
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
It	PRON	it
must	AUX	must
have	AUX	have
been	AUX	be
interesting	ADJ	interesting
,	PUNCT	,
”	PUNCT	""""
I	PRON	I
commented	VERB	comment
,	PUNCT	,
“	PUNCT	""""
to	PART	to
excite	VERB	excite
_	X	_
you	PRON	you
_	PUNCT	_
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
It	PRON	it
was	AUX	be
,	PUNCT	,
”	PUNCT	""""
he	PRON	he
admitted	VERB	admit
.	PUNCT	.
“	PUNCT	""""
A	DET	a
rumor	NOUN	rumor
has	AUX	have
reached	VERB	reach
Sari	PROPN	Sari
that	SCONJ	that
von	PROPN	von
Horst	PROPN	Horst
has	AUX	have
been	AUX	be
found	VERB	find
.	PUNCT	.
”	PUNCT	""""
Now	ADV	now
as	ADP	as
this	DET	this
pertains	VERB	pertain
to	ADP	to
a	DET	a
subject	NOUN	subject
entirely	ADV	entirely
foreign	ADJ	foreign
to	ADP	to
