Transcriber	NOUN	transcriber
's	PART	's
note	NOUN	note
:	PUNCT	:
Italics	NOUN	italic
text	NOUN	text
is	AUX	be
denoted	VERB	denote
by	ADP	by
_	PUNCT	_
underscores	NOUN	underscore
_	PUNCT	_
.	NOUN	.
LORDS	PROPN	LORDS
OF	ADP	of
THE	DET	the
WORLD	PROPN	WORLD
+	PUNCT	+
-----------------------------------------------------------+	PUNCT	-----------------------------------------------------------+
|	PUNCT	|
BY	ADP	by
A.	PROPN	A.
J.	PROPN	J.
CHURCH	PROPN	CHURCH
.	PUNCT	.
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
_	PUNCT	_
In	ADP	in
crown	NOUN	crown
8vo	PROPN	8vo
.	PUNCT	.
Cloth	PROPN	Cloth
elegant	PROPN	elegant
.	PUNCT	.
Illustrated	VERB	illustrate
.	PUNCT	.
6s	NUM	6s
.	PUNCT	.
_	PUNCT	_
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
Two	NUM	two
Thousand	NUM	thousand
Years	NOUN	year
Ago	ADV	ago
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
Or	CCONJ	or
,	PUNCT	,
The	DET	the
Adventures	PROPN	Adventures
of	ADP	of
a	DET	a
Roman	PROPN	Roman
Boy	PROPN	Boy
.	PUNCT	.
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
""""	PUNCT	""""
Adventures	NOUN	adventure
well	ADV	well
worth	ADJ	worth
the	DET	the
telling	NOUN	telling
.	PUNCT	.
The	DET	the
book	NOUN	book
is	AUX	be
extremely	ADV	extremely
|	PUNCT	|
|	PUNCT	|
entertaining	ADJ	entertaining
as	ADV	as
well	ADV	well
as	ADP	as
useful	ADJ	useful
,	PUNCT	,
and	CCONJ	and
there	PRON	there
is	AUX	be
a	DET	a
wonderful	ADJ	wonderful
|	PUNCT	|
|	PUNCT	|
freshness	NOUN	freshness
in	ADP	in
the	DET	the
Roman	ADJ	roman
scenes	NOUN	scene
and	CCONJ	and
characters	NOUN	character
.	PUNCT	.
"""--_Times"	PUNCT	"""--_Times"
.	PUNCT	.
_	PUNCT	_
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
""""	PUNCT	""""
Entertaining	VERB	entertain
in	ADP	in
the	DET	the
highest	ADJ	high
degree	NOUN	degree
from	ADP	from
beginning	NOUN	beginning
to	ADP	to
|	PUNCT	|
|	PUNCT	|
end	NOUN	end
,	PUNCT	,
and	CCONJ	and
full	ADJ	full
of	ADP	of
adventure	NOUN	adventure
.	PUNCT	.
"""--_Spectator"	PROPN	"""--_Spectator"
.	PUNCT	.
_	PUNCT	_
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
""""	PUNCT	""""
We	PRON	we
know	VERB	know
of	ADP	of
no	DET	no
book	NOUN	book
which	DET	which
will	AUX	will
do	AUX	do
more	ADJ	more
to	PART	to
make	VERB	make
the	DET	the
Romans	PROPN	Romans
|	PUNCT	|
|	PUNCT	|
of	ADP	of
that	DET	that
day	NOUN	day
live	VERB	live
again	ADV	again
for	ADP	for
the	DET	the
English	ADJ	english
render	NOUN	render
.	PUNCT	.
""""	PUNCT	""""
|	PUNCT	|
|	PUNCT	|
--_Guardian	PROPN	--_Guardian
.	PUNCT	.
_	PUNCT	_
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
|	PUNCT	|
LONDON	PROPN	LONDON
:	PUNCT	:
BLACKIE	PROPN	BLACKIE
&	CCONJ	&
SON	PROPN	SON
,	PUNCT	,
LIMITED	PROPN	LIMITED
,	PUNCT	,
50	NUM	50
OLD	PROPN	OLD
BAILEY	PROPN	BAILEY
,	PUNCT	,
E.C.	PROPN	E.C.
|	PUNCT	|
+	PUNCT	+
-----------------------------------------------------------+	PUNCT	-----------------------------------------------------------+
LORDS	NOUN	lord
OF	ADP	of
THE	DET	the
WORLD	NOUN	world
A	PROPN	A
STORY	NOUN	story
OF	ADP	of
THE	DET	the
FALL	NOUN	fall
OF	ADP	of
CARTHAGE	NOUN	carthage
AND	CCONJ	and
CORINTH	NOUN	corinth
BY	ADP	by
THE	PROPN	THE
REV	PROPN	REV
.	PROPN	.
ALFRED	PROPN	ALFRED
J.	PROPN	J.
CHURCH	PROPN	CHURCH
Author	NOUN	author
of	ADP	of
""""	PUNCT	""""
Two	NUM	two
Thousand	NUM	thousand
Years	NOUN	year
Ago	ADV	ago
""""	PUNCT	""""
""""	PUNCT	""""
Stories	PROPN	Stories
from	ADP	from
Homer	PROPN	Homer
""""	PUNCT	""""
,	PUNCT	,
&	CCONJ	&
c.	X	c.
_	PUNCT	_
WITH	ADP	with
TWELVE	NUM	twelve
ILLUSTRATIONS	NOUN	illustration
BY	ADP	by
RALPH	PROPN	RALPH
PEACOCK	PROPN	PEACOCK
_	PROPN	_
LONDON	PROPN	LONDON
BLACKIE	PROPN	BLACKIE
&	CCONJ	&
SON	PROPN	SON
,	PUNCT	,
LIMITED	PROPN	LIMITED
,	PUNCT	,
50	NUM	50
OLD	PROPN	OLD
BAILEY	PROPN	BAILEY
,	PUNCT	,
E.C.	PROPN	E.C.
GLASGOW	PROPN	GLASGOW
AND	CCONJ	and
DUBLIN	PROPN	DUBLIN
1898	NUM	1898
:	PUNCT	:
""""	PUNCT	""""
FASTEN	VERB	fasten
HIS	PRON	his
HANDS	NOUN	hand
,	PUNCT	,
AND	CCONJ	and
FIRMLY	VERB	firmly
TOO	ADV	too
;	PUNCT	;
THAT	SCONJ	that
YOUTH	NOUN	youth
MIGHT	AUX	might
GIVE	VERB	give
US	PROPN	US
TROUBLE	VERB	trouble
.	PUNCT	.
""""	PUNCT	""""
]	X	]
PREFACE	PROPN	PREFACE
.	PUNCT	.
The	DET	the
year	NOUN	year
146	NUM	146
B.C.	PROPN	B.C.
was	AUX	be
an	DET	an
_	X	_
annus	X	annus
mirabilis	X	mirabilis
_	PUNCT	_
in	ADP	in
the	DET	the
development	NOUN	development
of	ADP	of
Roman	PROPN	Roman
dominion	NOUN	dominion
.	PUNCT	.
Of	ADV	of
course	ADV	course
it	PRON	it
had	AUX	have
long	ADV	long
been	AUX	be
a	DET	a
foregone	VERB	forego
conclusion	NOUN	conclusion
that	SCONJ	that
Carthage	PROPN	Carthage
and	CCONJ	and
Corinth	PROPN	Corinth
must	AUX	must
fall	VERB	fall
before	ADP	before
her	PRON	she
,	PUNCT	,
but	CCONJ	but
the	DET	the
actual	ADJ	actual
time	NOUN	time
of	ADP	of
their	PRON	their
overthrow	NOUN	overthrow
was	AUX	be
made	VERB	make
all	DET	all
the	DET	the
more	ADV	more
striking	ADJ	striking
by	ADP	by
the	DET	the
fact	NOUN	fact
that	SCONJ	that
both	DET	both
cities	NOUN	city
perished	VERB	perish
in	ADP	in
the	DET	the
same	ADJ	same
year	NOUN	year
,	PUNCT	,
and	CCONJ	and
that	SCONJ	that
both	DET	both
were	AUX	be
visited	VERB	visit
by	ADP	by
the	DET	the
same	ADJ	same
fate	NOUN	fate
.	PUNCT	.
I	PRON	I
have	AUX	have
attempted	VERB	attempt
in	ADP	in
this	DET	this
story	NOUN	story
to	PART	to
group	VERB	group
some	DET	some
picturesque	ADJ	picturesque
incidents	NOUN	incident
round	ADP	round
the	DET	the
person	NOUN	person
of	ADP	of
a	DET	a
young	ADJ	young
Greek	PROPN	Greek
who	PRON	who
struggles	VERB	struggle
in	ADP	in
vain	ADJ	vain
to	PART	to
resist	VERB	resist
the	DET	the
destiny	NOUN	destiny
of	ADP	of
the	DET	the
conquering	VERB	conquer
race	NOUN	race
.	PUNCT	.
The	DET	the
reader	NOUN	reader
will	AUX	will
also	ADV	also
find	VERB	find
some	DET	some
suggestion	NOUN	suggestion
of	ADP	of
the	DET	the
thought	NOUN	thought
which	DET	which
the	DET	the
Roman	ADJ	roman
historian	NOUN	historian
had	AUX	have
in	ADP	in
his	PRON	his
mind	NOUN	mind
when	SCONJ	when
he	PRON	he
wrote	VERB	write
:	PUNCT	:
""""	PUNCT	""""
Carthage	PROPN	Carthage
,	PUNCT	,
the	DET	the
rival	NOUN	rival
of	ADP	of
the	DET	the
Roman	PROPN	Roman
Empire	PROPN	Empire
,	PUNCT	,
perished	VERB	perish
root	NOUN	root
and	CCONJ	and
branch	NOUN	branch
,	PUNCT	,
sea	NOUN	sea
and	CCONJ	and
land	NOUN	land
everywhere	ADV	everywhere
lay	VERB	lie
open	ADJ	open
before	ADP	before
us	PRON	we
,	PUNCT	,
when	SCONJ	when
at	ADP	at
last	ADV	last
Fortune	NOUN	fortune
began	VERB	begin
to	PART	to
rage	VERB	rage
against	ADP	against
us	PRON	we
and	CCONJ	and
throw	VERB	throw
everything	PRON	everything
into	ADP	into
confusion	NOUN	confusion
""""	PUNCT	""""
.	PUNCT	.
The	DET	the
day	NOUN	day
when	SCONJ	when
Rome	PROPN	Rome
rid	PROPN	rid
herself	PRON	herself
of	ADP	of
her	PRON	her
rivals	NOUN	rival
seemed	VERB	seem
to	ADP	to
some	DET	some
of	ADP	of
her	PRON	her
more	ADV	more
thoughtful	ADJ	thoughtful
sons	NOUN	son
to	PART	to
be	AUX	be
the	DET	the
first	ADJ	first
of	ADP	of
her	PRON	her
corruption	NOUN	corruption
and	CCONJ	and
decline	NOUN	decline
.	PUNCT	.
A.	PROPN	A.
J.	PROPN	J.
C.	PROPN	C.
ASHLEY	PROPN	ASHLEY
,	PUNCT	,
_	PUNCT	_
April	PROPN	April
22	NUM	22
,	PUNCT	,
1897	NUM	1897
_	PUNCT	_
.	PUNCT	.
CONTENTS	NOUN	content
.	PUNCT	.
CHAP	PROPN	CHAP
.	PUNCT	.
Page	NOUN	page
I.	PUNCT	I.
THE	DET	the
FATE	NOUN	fate
OF	ADP	of
THE	DET	the
_	PUNCT	_
MELCART	PROPN	MELCART
_	PUNCT	_
,	PUNCT	,
11	NUM	11
II	X	ii
.	PUNCT	.
CLEANOR	PROPN	CLEANOR
,	PUNCT	,
SON	NOUN	son
OF	ADP	of
LYSIS	PROPN	LYSIS
,	PUNCT	,
20	NUM	20
III	NUM	iii
.	PUNCT	.
THE	DET	the
LAST	ADJ	last
OF	ADP	of
A	DET	a
VETERAN	PROPN	VETERAN
,	PUNCT	,
26	NUM	26
IV	NUM	iv
.	PUNCT	.
SCIPIO	PROPN	SCIPIO
,	PUNCT	,
41	NUM	41
V.	PUNCT	V.
A	DET	a
GREAT	ADJ	great
SCHEME	PROPN	SCHEME
,	PUNCT	,
48	NUM	48
VI	NUM	vi
.	PUNCT	.
THE	DET	the
MISSION	PROPN	MISSION
,	PUNCT	,
61	NUM	61
VII	NUM	vii
.	PUNCT	.
THE	DET	the
LAST	NOUN	last
OF	ADP	of
THE	DET	the
GREEKS	NOUN	greek
,	PUNCT	,
70	NUM	70
VIII	NUM	viii
.	PUNCT	.
THE	DET	the
CORINTHIAN	ADJ	corinthian
ASSEMBLY	PROPN	ASSEMBLY
,	PUNCT	,
82	NUM	82
IX	NUM	ix
.	PUNCT	.
