Big	ADJ	big
It	PRON	it
was	AUX	be
one	NUM	one
of	ADP	of
his	PRON	his
greatest	ADJ	great
pleasures	NOUN	pleasure
in	ADP	in
life	NOUN	life
to	PART	to
see	VERB	see
his	PRON	his
pretty	ADJ	pretty
Margot	PROPN	Margot
prettily	ADV	prettily
attired	VERB	attire
,	PUNCT	,
a	DET	a
pleasure	NOUN	pleasure
in	ADP	in
which	DET	which
the	DET	the
young	ADJ	young
lady	NOUN	lady
herself	ADV	herself
fully	ADV	fully
concurred	VERB	concur
.	PUNCT	.
She	PRON	she
had	AUX	have
too	ADV	too
much	ADJ	much
good	ADJ	good
taste	NOUN	taste
to	PART	to
transport	VERB	transport
all	DET	all
the	DET	the
frills	NOUN	frill
and	CCONJ	and
fripperies	NOUN	frippery
of	ADP	of
London	PROPN	London
to	ADP	to
a	DET	a
Highland	PROPN	Highland
glen	NOUN	glen
;	PUNCT	;
but	CCONJ	but
,	PUNCT	,
on	ADP	on
the	DET	the
other	ADJ	other
hand	NOUN	hand
,	PUNCT	,
she	PRON	she
set	VERB	set
her	PRON	her
face	NOUN	face
firmly	ADV	firmly
against	ADP	against
the	DET	the
mustard	NOUN	mustard
-	PUNCT	-
coloured	ADJ	coloured
tweeds	NOUN	tweed
affected	VERB	affect
by	ADP	by
so	ADV	so
many	ADJ	many
women	NOUN	woman
for	ADP	for
country	NOUN	country
wear	NOUN	wear
,	PUNCT	,
choosing	VERB	choose
instead	ADV	instead
a	DET	a
soft	ADJ	soft
dull	NOUN	dull
blue	NOUN	blue
,	PUNCT	,
a	DET	a
hundred	NUM	hundred
times	NOUN	time
more	ADJ	more
becoming	VERB	become
.	PUNCT	.
For	ADP	for
headgear	NOUN	headgear
there	PRON	there
was	AUX	be
a	DET	a
little	NOUN	little
cap	NOUN	cap
of	ADP	of
the	DET	the
same	ADJ	same
material	NOUN	material
,	PUNCT	,
with	ADP	with
a	DET	a
quill	NOUN	quill
feather	NOUN	feather
stuck	VERB	stick
jauntily	ADV	jauntily
through	ADP	through
a	DET	a
fold	NOUN	fold
at	ADP	at
the	DET	the
side	NOUN	side
,	PUNCT	,
while	SCONJ	while
neat	ADJ	neat
,	PUNCT	,
strong	ADJ	strong
little	ADJ	little
boots	NOUN	boot
and	CCONJ	and
a	DET	a
pair	NOUN	pair
of	ADP	of
doeskin	NOUN	doeskin
gloves	NOUN	glove
gave	VERB	give
a	DET	a
delightfully	ADV	delightfully
business	NOUN	business
-	PUNCT	-
like	ADJ	like
air	NOUN	air
to	ADP	to
the	DET	the
costume	NOUN	costume
.	PUNCT	.
In	ADP	in
the	DET	the
rug	NOUN	rug
-	PUNCT	-
strap	NOUN	strap
was	AUX	be
a	DET	a
capacious	ADJ	capacious
golf	NOUN	golf
cloak	NOUN	cloak
,	PUNCT	,
displaying	VERB	display
a	DET	a
bright	ADJ	bright
plaid	NOUN	plaid
lining	NOUN	lining
.	PUNCT	.
This	DET	this
was	AUX	be
waiting	VERB	wait
in	ADP	in
readiness	NOUN	readiness
for	ADP	for
the	DET	the
six	NUM	six
-	PUNCT	-
mile	NOUN	mile
drive	NOUN	drive
at	ADP	at
the	DET	the
end	NOUN	end
of	ADP	of
the	DET	the
journey	NOUN	journey
,	PUNCT	,
and	CCONJ	and
inside	ADP	inside
the	DET	the
large	ADJ	large
dress	NOUN	dress
-	PUNCT	-
box	NOUN	box
was	AUX	be
a	DET	a
selection	NOUN	selection
of	ADP	of
well	ADV	well
-	PUNCT	-
chosen	VERB	choose
garments	NOUN	garment
--	PUNCT	--
a	DET	a
white	ADJ	white
serge	NOUN	serge
coat	NOUN	coat
and	CCONJ	and
skirt	NOUN	skirt
for	ADP	for
bright	ADJ	bright
weather	NOUN	weather
;	PUNCT	;
cottons	NOUN	cotton
and	CCONJ	and
lawns	NOUN	lawn
for	ADP	for
the	DET	the
warm	ADJ	warm
days	NOUN	day
that	PRON	that
must	AUX	must
surely	ADV	surely
come	VERB	come
;	PUNCT	;
a	DET	a
velveteen	ADJ	velveteen
dress	NOUN	dress
for	ADP	for
chilly	ADJ	chilly
evenings	NOUN	evening
,	PUNCT	,
blouses	NOUN	blouse
galore	ADJ	galore
,	PUNCT	,
and	CCONJ	and
even	ADV	even
a	DET	a
fur	NOUN	fur
-	PUNCT	-
lined	VERB	line
cloak	NOUN	cloak
.	PUNCT	.
Margot	NOUN	margot
felt	VERB	feel
a	DET	a
thrill	NOUN	thrill
of	ADP	of
wondering	VERB	wonder
satisfaction	NOUN	satisfaction
in	ADP	in
her	PRON	her
own	ADJ	own
prudence	NOUN	prudence
,	PUNCT	,
as	ADP	as
she	PRON	she
packed	VERB	pack
this	DET	this
latter	ADJ	latter
garment	NOUN	garment
,	PUNCT	,
on	ADP	on
a	DET	a
hot	ADJ	hot
June	PROPN	June
day	NOUN	day
,	PUNCT	,
with	ADP	with
the	DET	the
scent	NOUN	scent
of	ADP	of
roses	NOUN	rose
filling	VERB	fill
the	DET	the
room	NOUN	room
from	ADP	from
the	DET	the
vase	NOUN	vase
on	ADP	on
the	DET	the
toilet	NOUN	toilet
table	NOUN	table
.	PUNCT	.
She	PRON	she
packed	VERB	pack
sketching	NOUN	sketching
materials	NOUN	material
also	ADV	also
,	PUNCT	,
plenty	NOUN	plenty
of	ADP	of
fancy	ADJ	fancy
-	PUNCT	-
work	NOUN	work
destined	VERB	destine
to	PART	to
provide	VERB	provide
presents	NOUN	present
for	ADP	for
the	DET	the
coming	VERB	come
Christmas	PROPN	Christmas
,	PUNCT	,
a	DET	a
selection	NOUN	selection
of	ADP	of
sixpenny	NOUN	sixpenny
novels	NOUN	novel
,	PUNCT	,
and	CCONJ	and
one	NUM	one
or	CCONJ	or
two	NUM	two
pet	ADJ	pet
classics	NOUN	classic
from	ADP	from
her	PRON	her
own	ADJ	own
library	NOUN	library
,	PUNCT	,
which	DET	which
travelled	VERB	travel
about	ADV	about
with	ADP	with
her	PRON	she
wherever	SCONJ	wherever
she	PRON	she
went	VERB	go
.	PUNCT	.
Ronald	PROPN	Ronald
's	PART	's
preparations	NOUN	preparation
were	AUX	be
more	ADV	more
easy	ADJ	easy
,	PUNCT	,
for	ADP	for
surely	ADV	surely
no	DET	no
stock	NOUN	stock
-	PUNCT	-
in	ADP	in
-	PUNCT	-
trade	NOUN	trade
is	AUX	be
so	ADV	so
simple	ADJ	simple
as	ADP	as
that	DET	that
of	ADP	of
an	DET	an
author	NOUN	author
!	PUNCT	!
His	PRON	his
favourite	ADJ	favourite
stylographic	ADJ	stylographic
pen	NOUN	pen
,	PUNCT	,
his	PRON	his
favourite	ADJ	favourite
note	NOUN	note
-	PUNCT	-
book	NOUN	book
,	PUNCT	,
and	CCONJ	and
that	DET	that
was	AUX	be
an	DET	an
end	NOUN	end
of	ADP	of
it	PRON	it
so	ADV	so
far	ADV	far
as	ADP	as
work	NOUN	work
was	AUX	be
concerned	VERB	concern
.	PUNCT	.
He	PRON	he
took	VERB	take
his	PRON	his
half	ADJ	half
-	PUNCT	-
plate	NOUN	plate
camera	NOUN	camera
with	ADP	with
him	PRON	he
,	PUNCT	,
however	ADV	however
;	PUNCT	;
and	CCONJ	and
the	DET	the
two	NUM	two
handsome	ADJ	handsome
free	ADJ	free
-	PUNCT	-
wheel	NOUN	wheel
bicycles	NOUN	bicycle
were	AUX	be
carefully	ADV	carefully
swathed	VERB	swathe
for	ADP	for
the	DET	the
journey	NOUN	journey
.	PUNCT	.
""""	PUNCT	""""
I	PRON	I
ca	AUX	can
n't	PART	not
understand	VERB	understand
why	SCONJ	why
you	PRON	you
could	AUX	could
n't	PART	not
be	AUX	be
content	ADJ	content
to	PART	to
go	VERB	go
to	ADP	to
some	DET	some
nice	ADJ	nice
south	ADJ	south
-	PUNCT	-
country	NOUN	country
place	NOUN	place
,	PUNCT	,
instead	ADV	instead
of	ADP	of
travelling	VERB	travel
to	ADP	to
the	DET	the
other	ADJ	other
end	NOUN	end
of	ADP	of
the	DET	the
country	NOUN	country
in	ADP	in
this	DET	this
dusty	ADJ	dusty
weather	NOUN	weather
,	PUNCT	,
""""	PUNCT	""""
Agnes	PROPN	Agnes
opined	VERB	opine
,	PUNCT	,
as	ADP	as
she	PRON	she
assiduously	ADV	assiduously
fixed	VERB	fix
the	DET	the
label	NOUN	label
to	ADP	to
every	DET	every
separate	ADJ	separate
piece	NOUN	piece
of	ADP	of
the	DET	the
luggage	NOUN	luggage
which	DET	which
was	AUX	be
piled	VERB	pile
together	ADV	together
in	ADP	in
the	DET	the
hall	NOUN	hall
.	PUNCT	.
""""	PUNCT	""""
It	PRON	it
's	AUX	be
so	ADV	so
foolish	ADJ	foolish
to	PART	to
waste	VERB	waste
time	NOUN	time
and	CCONJ	and
money	NOUN	money
when	SCONJ	when
there	PRON	there
are	AUX	be
nice	ADJ	nice
places	NOUN	place
at	ADP	at
hand	NOUN	hand
.	PUNCT	.
Now	ADV	now
,	PUNCT	,
there	PRON	there
's	AUX	be
Cromer--	PROPN	Cromer--
""""	PUNCT	""""
""""	PUNCT	""""
You	PRON	you
do	AUX	do
n't	PART	not
get	VERB	get
heather	NOUN	heather
-	PUNCT	-
clad	VERB	clothe
mountains	NOUN	mountain
at	ADP	at
Cromer	PROPN	Cromer
,	PUNCT	,
Agnes	PROPN	Agnes
,	PUNCT	,
and	CCONJ	and
we	PRON	we
sha	AUX	shall
n't	PART	not
have	AUX	have
promenades	NOUN	promenade
at	ADP	at
Glenaire	PROPN	Glenaire
,	PUNCT	,
nor	CCONJ	nor
bands	NOUN	band
,	PUNCT	,
nor	CCONJ	nor
crowds	NOUN	crowd
of	ADP	of
fashionable	ADJ	fashionable
people	NOUN	people
quizzing	VERB	quiz
each	DET	each
other	ADJ	other
all	DET	all
day	NOUN	day
long	ADV	long
.	PUNCT	.
We	PRON	we
prefer	VERB	prefer
the	DET	the
real	ADJ	real
,	PUNCT	,
true	ADJ	true
,	PUNCT	,
genuine	ADJ	genuine
country	NOUN	country
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
Oh	INTJ	oh
,	PUNCT	,
well	INTJ	well
,	PUNCT	,
you	PRON	you
'll	AUX	will
be	AUX	be
tired	ADJ	tired
of	ADP	of
it	PRON	it
soon	ADV	soon
enough	ADV	enough
!	PUNCT	!
Margot	PROPN	Margot
will	AUX	will
hate	VERB	hate
it	PRON	it
.	PUNCT	.
We	PRON	we
shall	AUX	shall
have	AUX	have
you	PRON	you
hurrying	VERB	hurry
back	ADV	back
at	ADP	at
the	DET	the
end	NOUN	end
of	ADP	of
a	DET	a
fortnight	NOUN	fortnight
,	PUNCT	,
bored	VERB	bore
to	ADP	to
death	NOUN	death
.	PUNCT	.
I	PRON	I
do	AUX	do
n't	PART	not
think	VERB	think
that	DET	that
lock	NOUN	lock
of	ADP	of
yours	PRON	yours
is	AUX	be
quite	ADV	quite
safe	ADJ	safe
,	PUNCT	,
Margot	PROPN	Margot
.	PUNCT	.
I	PRON	I
should	AUX	should
n't	PART	not
wonder	VERB	wonder
if	SCONJ	if
you	PRON	you
found	VERB	find
some	DET	some
things	NOUN	thing
missing	VERB	miss
when	SCONJ	when
you	PRON	you
arrive	VERB	arrive
.	PUNCT	.
The	DET	the
guards	NOUN	guard
have	AUX	have
a	DET	a
splendid	ADJ	splendid
chance	NOUN	chance
on	ADP	on
these	DET	these
all	DET	all
-	PUNCT	-
night	NOUN	night
journeys	NOUN	journey
,	PUNCT	,
""""	PUNCT	""""
prophesied	VERB	prophesy
Agnes	PROPN	Agnes
cheerfully	ADV	cheerfully
.	PUNCT	.
She	PRON	she
stared	VERB	stare
in	ADP	in
surprise	NOUN	surprise
when	SCONJ	when
Margot	PROPN	Margot
burst	VERB	burst
into	ADP	into
a	DET	a
peal	NOUN	peal
of	ADP	of
laughter	NOUN	laughter
,	PUNCT	,
and	CCONJ	and
repeated	VERB	repeat
,	PUNCT	,
""""	PUNCT	""""
Poor	ADJ	poor
old	ADJ	old
Agnes	PROPN	Agnes
!	PUNCT	!
""""	PUNCT	""""
as	ADP	as
if	SCONJ	if
she	PRON	she
,	PUNCT	,
secure	ADJ	secure
and	CCONJ	and
comfortable	ADJ	comfortable
at	ADP	at
home	NOUN	home
,	PUNCT	,
were	AUX	be
the	DET	the
one	NOUN	one
to	PART	to
be	AUX	be
pitied	VERB	pity
,	PUNCT	,
instead	ADV	instead
of	ADP	of
the	DET	the
careless	NOUN	careles
travellers	NOUN	traveller
into	ADP	into
the	DET	the
unknown	ADJ	unknown
!	PUNCT	!
The	DET	the
sisters	NOUN	sister
kissed	VERB	kiss
each	DET	each
other	ADJ	other
in	ADP	in
perfunctory	ADJ	perfunctory
manner	NOUN	manner
,	PUNCT	,
Ron	PROPN	Ron
shook	VERB	shake
hands	NOUN	hand
,	PUNCT	,
and	CCONJ	and
nodded	VERB	nod
vaguely	ADV	vaguely
in	ADP	in
response	NOUN	response
to	ADP	to
half	DET	half
a	DET	a
dozen	NOUN	dozen
injunctions	NOUN	injunction
and	CCONJ	and
reminders	NOUN	reminder
;	PUNCT	;
then	ADV	then
the	DET	the
travellers	NOUN	traveller
took	VERB	take
their	PRON	their
places	NOUN	place
in	ADP	in
the	DET	the
cab	NOUN	cab
,	PUNCT	,
bending	VERB	bend
forward	ADV	forward
to	PART	to
wave	VERB	wave
their	PRON	their
adieux	X	adieux
,	PUNCT	,
looking	VERB	look
extraordinarily	ADV	extraordinarily
alike	ADJ	alike
the	DET	the
while--	NOUN	while--
young	ADJ	young
and	CCONJ	and
eager	ADJ	eager
and	CCONJ	and
handsome	ADJ	handsome
,	PUNCT	,
with	ADP	with
the	DET	the
light	NOUN	light
of	ADP	of
the	DET	the
summer	NOUN	summer
sun	NOUN	sun
reflected	VERB	reflect
in	ADP	in
their	PRON	their
happy	ADJ	happy
eyes	NOUN	eye
.	PUNCT	.
Agnes	PROPN	Agnes
felt	VERB	feel
a	DET	a
little	ADJ	little
chill	NOUN	chill
as	ADP	as
she	PRON	she
shut	VERB	shut
the	DET	the
door	NOUN	door
and	CCONJ	and
walked	VERB	walk
back	ADV	back
into	ADP	into
the	DET	the
quiet	ADJ	quiet
house	NOUN	house
.	PUNCT	.
All	DET	all
the	DET	the
morning	NOUN	morning
she	PRON	she
had	AUX	have
looked	VERB	look
forward	ADV	forward
to	ADP	to
the	DET	the
hours	NOUN	hour
of	ADP	of
peace	NOUN	peace
and	CCONJ	and
quietness	NOUN	quietness
which	DET	which
would	AUX	would
follow	VERB	follow
the	DET	the
departure	NOUN	departure
of	ADP	of
the	DET	the
two	NUM	two
children	NOUN	child
of	ADP	of
the	DET	the
household	NOUN	household
;	PUNCT	;
but	CCONJ	but
now	ADV	now
that	SCONJ	that
the	DET	the
time	NOUN	time
had	AUX	have
arrived	VERB	arrive
she	PRON	she
was	AUX	be
conscious	ADJ	conscious
of	ADP	of
an	DET	an
unwonted	ADJ	unwonted
feeling	NOUN	feeling
of	ADP	of
depression	NOUN	depression
.	PUNCT	.
The	DET	the
sound	NOUN	sound
of	ADP	of
that	DET	that
last	ADJ	last
pitying	VERB	pity
,	PUNCT	,
""""	PUNCT	""""
Poor	ADJ	poor
old	ADJ	old
Agnes	PROPN	Agnes
!	PUNCT	!
""""	PUNCT	""""
rang	VERB	ring
in	ADP	in
her	PRON	her
ears	NOUN	ear
.	PUNCT	.
Why	SCONJ	why
""""	PUNCT	""""
poor	ADJ	poor
""""	PUNCT	""""
?	PUNCT	?
Why	SCONJ	why
should	AUX	should
Margot	PROPN	Margot
speak	VERB	speak
of	ADP	of
her	PRON	she
as	ADP	as
some	DET	some
one	NUM	one
to	PART	to
be	AUX	be
pitied	VERB	pity
?	PUNCT	?
As	ADP	as
her	PRON	her
father	NOUN	father
's	PART	's
eldest	ADJ	eld
unmarried	ADJ	unmarried
daughter	NOUN	daughter
and	CCONJ	and
the	DET	the
mistress	NOUN	mistress
of	ADP	of
the	DET	the
house	NOUN	house
,	PUNCT	,
she	PRON	she
was	AUX	be
surely	ADV	surely
a	DET	a
person	NOUN	person
to	PART	to
be	AUX	be
approved	VERB	approve
and	CCONJ	and
envied	VERB	envy
.	PUNCT	.
And	CCONJ	and
yet	ADV	yet
,	PUNCT	,
recalling	VERB	recall
those	DET	those
two	NUM	two
vivid	ADJ	vivid
,	PUNCT	,
radiant	ADJ	radiant
faces	NOUN	face
,	PUNCT	,
Agnes	PROPN	Agnes
dimly	ADV	dimly
felt	VERB	feel
that	SCONJ	that
there	PRON	there
was	AUX	be
something	PRON	something
in	ADP	in
life	NOUN	life
which	DET	which
Margot	PROPN	Margot
and	CCONJ	and
Ron	PROPN	Ron
had	AUX	have
found	VERB	find
,	PUNCT	,
and	CCONJ	and
she	PRON	she
herself	PRON	herself
had	AUX	have
missed	VERB	miss
.	PUNCT	.
""""	PUNCT	""""
I	PRON	I
do	AUX	do
n't	PART	not
understand	VERB	understand
!	PUNCT	!
""""	PUNCT	""""
she	PRON	she
repeated	VERB	repeat
to	ADP	to
herself	PRON	herself
with	ADP	with
wrinkled	ADJ	wrinkled
brows	NOUN	brow
.	PUNCT	.
A	ADJ	a
vague	ADJ	vague
depression	NOUN	depression
hung	VERB	hang
over	ADP	over
her	PRON	her
spirits	NOUN	spirit
;	PUNCT	;
she	PRON	she
thought	VERB	think
uneasily	ADV	uneasily
of	ADP	of
her	PRON	her
years	NOUN	year
,	PUNCT	,
and	CCONJ	and
wondered	VERB	wonder
if	SCONJ	if
she	PRON	she
were	AUX	be
growing	VERB	grow
old	ADJ	old
,	PUNCT	,
unconscious	ADJ	unconscious
of	ADP	of
the	DET	the
fact	NOUN	fact
that	SCONJ	that
she	PRON	she
had	AUX	have
never	ADV	never
yet	ADV	yet
succeeded	VERB	succeed
in	ADP	in
being	AUX	be
young	ADJ	young
.	PUNCT	.
CHAPTER	NOUN	chapter
EIGHT	NUM	eight
.	PUNCT	.
GLENAIRE	PROPN	GLENAIRE
.	PUNCT	.
Margot	PROPN	Margot
and	CCONJ	and
Ronald	PROPN	Ronald
slept	VERB	sleep
through	ADP	through
their	PRON	their
long	ADJ	long
journey	NOUN	journey
with	ADP	with
the	DET	the
fortitude	NOUN	fortitude
of	ADP	of
youth	NOUN	youth
,	PUNCT	,
enjoyed	VERB	enjoy
a	DET	a
delicious	ADJ	delicious
breakfast	NOUN	breakfast
at	ADP	at
Perth	PROPN	Perth
,	PUNCT	,
took	VERB	take
train	NOUN	train
again	ADV	again
for	ADP	for
a	DET	a
couple	NOUN	couple
of	ADP	of
hours	NOUN	hour
,	PUNCT	,
and	CCONJ	and
finally	ADV	finally
set	VERB	set
out	ADP	out
on	ADP	on
the	DET	the
last	ADJ	last
and	CCONJ	and
most	ADV	most
enjoyable	ADJ	enjoyable
stage	NOUN	stage
of	ADP	of
their	PRON	their
journey	NOUN	journey
--	PUNCT	--
the	DET	the
six	NUM	six
-	PUNCT	-
mile	NOUN	mile
drive	NOUN	drive
to	ADP	to
the	DET	the
head	NOUN	head
of	ADP	of
Glenaire	PROPN	Glenaire
.	PUNCT	.
The	DET	the
first	ADJ	first
portion	NOUN	portion
of	ADP	of
the	DET	the
road	NOUN	road
gave	VERB	give
little	ADJ	little
promise	NOUN	promise
of	ADP	of
beauty	NOUN	beauty
,	PUNCT	,
but	CCONJ	but
with	ADP	with
every	DET	every
mile	NOUN	mile
that	PRON	that
was	AUX	be
traversed	VERB	traverse
the	DET	the
scenery	NOUN	scenery
began	VERB	begin
to	PART	to
assume	VERB	assume
a	DET	a
wilder	ADJ	wild
and	CCONJ	and
a	ADJ	a
sterner	ADJ	stern
aspect	NOUN	aspect
.	PUNCT	.
The	DET	the
mountains	NOUN	mountain
were	AUX	be
high	ADJ	high
and	CCONJ	and
bare	ADJ	bare
,	PUNCT	,
with	ADP	with
few	ADJ	few
trees	NOUN	tree
upon	SCONJ	upon
their	PRON	their
banks	NOUN	bank
,	PUNCT	,
except	SCONJ	except
here	ADV	here
and	CCONJ	and
there	ADV	there
a	DET	a
patch	NOUN	patch
of	ADP	of
dark	ADJ	dark
green	ADJ	green
firs	NOUN	fir
.	PUNCT	.
When	SCONJ	when
the	DET	the
sun	NOUN	sun
retired	VERB	retire
behind	ADP	behind
a	DET	a
cloud	NOUN	cloud
they	PRON	they
looked	VERB	look
somewhat	ADV	somewhat
grim	ADJ	grim
and	CCONJ	and
forbidding	ADJ	forbidding
,	PUNCT	,
but	CCONJ	but
as	ADP	as
it	PRON	it
emerged	VERB	emerge
from	ADP	from
the	DET	the
shelter	NOUN	shelter
they	PRON	they
became	VERB	become
in	ADP	in
a	DET	a
moment	NOUN	moment
a	DET	a
soft	ADJ	soft
,	PUNCT	,
blooming	VERB	bloom
purple	NOUN	purple
;	PUNCT	;
a	DET	a
wonder	NOUN	wonder
of	ADP	of
beauty	NOUN	beauty
against	ADP	against
the	DET	the
high	ADJ	high
,	PUNCT	,
blue	ADJ	blue
sky	NOUN	sky
.	PUNCT	.
In	ADP	in
the	DET	the
valley	NOUN	valley
were	AUX	be
rolling	VERB	roll
plains	NOUN	plain
of	ADP	of
meadowland	NOUN	meadowland
,	PUNCT	,
of	ADP	of
richest	ADJ	rich
,	PUNCT	,
most	ADV	most
verdant	ADJ	verdant
green	NOUN	green
,	PUNCT	,
with	ADP	with
here	ADV	here
and	CCONJ	and
there	ADV	there
a	DET	a
blaze	NOUN	blaze
of	ADP	of
golden	ADJ	golden
gorse	NOUN	gorse
or	CCONJ	or
of	ADP	of
thickly	ADV	thickly
-	PUNCT	-
growing	VERB	grow
rushes	NOUN	rush
,	PUNCT	,
to	PART	to
mark	VERB	mark
the	DET	the
presence	NOUN	presence
of	ADP	of
hidden	VERB	hide
water	NOUN	water
.	PUNCT	.
At	ADP	at
long	ADJ	long
intervals	NOUN	interval
was	AUX	be
seen	VERB	see
a	DET	a
little	ADJ	little
white	ADJ	white
cottage	NOUN	cottage
,	PUNCT	,
set	VERB	set
back	ADV	back
from	ADP	from
the	DET	the
road	NOUN	road
,	PUNCT	,
where	SCONJ	where
some	DET	some
lonely	ADJ	lonely
shepherd	NOUN	shepherd
tended	VERB	tend
his	PRON	his
sheep	NOUN	sheep
;	PUNCT	;
and	CCONJ	and
,	PUNCT	,
at	ADP	at
the	DET	the
sound	NOUN	sound
of	ADP	of
wheels	NOUN	wheel
,	PUNCT	,
little	ADJ	little
linty	ADJ	linty
-	PUNCT	-
headed	ADJ	headed
children	NOUN	child
would	AUX	would
rush	VERB	rush
out	ADV	out
to	ADP	to
the	DET	the
gate	NOUN	gate
,	PUNCT	,
and	CCONJ	and
stand	VERB	stand
gazing	VERB	gaze
at	ADP	at
the	DET	the
strangers	NOUN	stranger
with	ADP	with
big	ADJ	big
round	ADJ	round
eyes	NOUN	eye
,	PUNCT	,
which	DET	which
looked	VERB	look
light	ADJ	light
against	ADP	against
the	DET	the
tan	NOUN	tan
of	ADP	of
their	PRON	their
faces	NOUN	face
.	PUNCT	.
What	DET	what
a	DET	a
life	NOUN	life
for	ADP	for
young	ADJ	young
and	CCONJ	and
old	ADJ	old
to	PART	to
live	VERB	live
all	DET	all
the	DET	the
year	NOUN	year
round	ADV	round
,	PUNCT	,
looking	VERB	look
out	ADV	out
on	ADP	on
the	DET	the
grim	ADJ	grim
bare	ADJ	bare
hills	NOUN	hill
;	PUNCT	;
alone	ADJ	alone
with	ADP	with
God	PROPN	God
and	CCONJ	and
Nature	PROPN	Nature
,	PUNCT	,
and	CCONJ	and
the	DET	the
dumb	ADJ	dumb
,	PUNCT	,
patient	ADJ	patient
animals	NOUN	animal
!	PUNCT	!
Day	NOUN	day
after	ADP	after
day	NOUN	day
alone	ADV	alone
,	PUNCT	,
in	ADP	in
a	DET	a
little	ADJ	little
niche	NOUN	niche
between	ADP	between
grey	ADJ	grey
rocks	NOUN	rock
;	PUNCT	;
alone	ADV	alone
in	ADP	in
the	DET	the
summer	NOUN	summer
-	PUNCT	-
time	NOUN	time
,	PUNCT	,
when	SCONJ	when
the	DET	the
winds	NOUN	wind
blew	VERB	blow
soft	ADJ	soft
,	PUNCT	,
and	CCONJ	and
the	DET	the
buttercups	NOUN	buttercup
made	VERB	make
splashes	NOUN	splash
of	ADP	of
gold	NOUN	gold
across	ADP	across
the	DET	the
green	NOUN	green
;	PUNCT	;
alone	ADV	alone
in	ADP	in
the	DET	the
winter	NOUN	winter
,	PUNCT	,
when	SCONJ	when
the	DET	the
mountains	NOUN	mountain
seemed	VERB	seem
to	PART	to
shut	VERB	shut
out	ADP	out
the	DET	the
light	NOUN	light
,	PUNCT	,
and	CCONJ	and
the	DET	the
snow	NOUN	snow
lay	VERB	lie
deep	ADV	deep
on	ADP	on
the	DET	the
ground	NOUN	ground
.	PUNCT	.
Margot	PROPN	Margot
looked	VERB	look
with	ADP	with
a	DET	a
shudder	NOUN	shudder
at	ADP	at
the	DET	the
tall	ADJ	tall
poles	NOUN	pole
set	VERB	set
here	ADV	here
and	CCONJ	and
there	ADV	there
along	ADP	along
the	DET	the
road	NOUN	road
.	PUNCT	.
She	PRON	she
had	AUX	have
inquired	VERB	inquire
as	ADP	as
to	ADP	to
their	PRON	their
purpose	NOUN	purpose
,	PUNCT	,
and	CCONJ	and
had	AUX	have
been	AUX	be
informed	VERB	inform
that	SCONJ	that
they	PRON	they
were	AUX	be
so	ADV	so
placed	VERB	place
to	PART	to
act	VERB	act
as	ADP	as
landmarks	NOUN	landmark
;	PUNCT	;
for	ADP	for
when	SCONJ	when
the	DET	the
drifts	NOUN	drift
lay	VERB	lay
deep	ADJ	deep
,	PUNCT	,
the	DET	the
ends	NOUN	end
of	ADP	of
the	DET	the
poles	NOUN	pole
served	VERB	serve
to	PART	to
point	VERB	point
out	ADP	out
the	DET	the
direction	NOUN	direction
of	ADP	of
the	DET	the
road	NOUN	road
,	PUNCT	,
whereas	SCONJ	whereas
without	ADP	without
their	PRON	their
aid	NOUN	aid
the	DET	the
traveller	NOUN	traveller
would	AUX	would
of	ADP	of
a	DET	a
certainty	NOUN	certainty
be	AUX	be
lost	VERB	lose
on	ADP	on
the	DET	the
moors	NOUN	moor
.	PUNCT	.
Poor	ADJ	poor
little	ADJ	little
linty	NOUN	linty
-	PUNCT	-
locked	ADJ	locked
ones	NOUN	one
,	PUNCT	,
imprisoned	VERB	imprison
in	ADP	in
the	DET	the
tiny	ADJ	tiny
cot	NOUN	cot
in	ADP	in
those	DET	those
bitter	ADJ	bitter
days	NOUN	day
!	PUNCT	!
Margot	PROPN	Margot
's	PART	's
thoughts	NOUN	thought
flew	VERB	fly
homeward	ADV	homeward
,	PUNCT	,
to	ADP	to
the	DET	the
well	ADV	well
-	PUNCT	-
kept	VERB	keep
roads	NOUN	road
near	ADP	near
her	PRON	her
own	ADJ	own
home	NOUN	home
;	PUNCT	;
to	ADP	to
the	DET	the
grumbling	NOUN	grumbling
and	CCONJ	and
indignation	NOUN	indignation
of	ADP	of
the	DET	the
family	NOUN	family
,	PUNCT	,
if	SCONJ	if
perchance	ADV	perchance
a	DET	a
recent	ADJ	recent
fall	NOUN	fall
of	ADP	of
snow	NOUN	snow
had	AUX	have
not	PART	not
been	AUX	be
swept	VERB	sweep
away	ADV	away
as	ADV	as
speedily	ADV	speedily
as	ADP	as
might	AUX	might
be	AUX	be
:	PUNCT	:
""""	PUNCT	""""
The	DET	the
road	NOUN	road
was	AUX	be
thick	ADJ	thick
with	ADP	with
mud	NOUN	mud
.	PUNCT	.
Impossible	ADJ	impossible
to	PART	to
cross	VERB	cross
without	ADP	without
splashing	VERB	splash
one	PRON	one
's	PART	's
shoes	NOUN	shoe
.	PUNCT	.
The	DET	the
snow	NOUN	snow
was	AUX	be
left	VERB	leave
to	PART	to
melt	VERB	melt
on	ADP	on
the	DET	the
pavement	NOUN	pavement
--	PUNCT	--
