JUDE	X	jude
Gibbon	PROPN	Gibbon
,	PUNCT	,
and	CCONJ	and
Johnson	PROPN	Johnson
,	PUNCT	,
and	CCONJ	and
Dr.	PROPN	Dr.
Browne	PROPN	Browne
,	PUNCT	,
and	CCONJ	and
Bishop	PROPN	Bishop
Ken	PROPN	Ken
—	PUNCT	—
”	PUNCT	""""
“	PUNCT	""""
Come	VERB	come
along	ADP	along
do	AUX	do
!	PUNCT	!
Phantoms	NOUN	phantom
!	PUNCT	!
There	PRON	there
's	AUX	be
neither	CCONJ	neither
living	VERB	live
nor	CCONJ	nor
dead	ADJ	dead
hereabouts	ADV	hereabouts
except	SCONJ	except
a	DET	a
damn	ADJ	damn
policeman	NOUN	policeman
!	PUNCT	!
I	PRON	I
never	ADV	never
saw	VERB	see
the	DET	the
streets	NOUN	street
emptier	ADJ	empty
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Fancy	ADJ	fancy
!	PUNCT	!
The	DET	the
Poet	PROPN	Poet
of	ADP	of
Liberty	PROPN	Liberty
used	VERB	use
to	PART	to
walk	VERB	walk
here	ADV	here
,	PUNCT	,
and	CCONJ	and
the	DET	the
great	ADJ	great
Dissector	PROPN	Dissector
of	PROPN	of
Melancholy	PROPN	Melancholy
there	ADV	there
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
I	PRON	I
do	AUX	do
n't	PART	not
want	VERB	want
to	PART	to
hear	VERB	hear
about	ADP	about
'em	PRON	them
!	PUNCT	!
They	PRON	they
bore	VERB	bore
me	PRON	I
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Walter	PROPN	Walter
Raleigh	PROPN	Raleigh
is	AUX	be
beckoning	VERB	beckon
to	ADP	to
me	PRON	I
from	ADP	from
that	DET	that
lane	PROPN	lane
—	PUNCT	—
Wycliffe	PROPN	Wycliffe
—	PUNCT	—
Harvey	PROPN	Harvey
—	PUNCT	—
Hooker	PROPN	Hooker
—	PUNCT	—
Arnold	PROPN	Arnold
—	PUNCT	—
and	CCONJ	and
a	DET	a
whole	ADJ	whole
crowd	NOUN	crowd
of	ADP	of
Tractarian	PROPN	Tractarian
Shades	PROPN	Shades
—	PUNCT	—
”	PUNCT	""""
“	PUNCT	""""
I	PRON	I
_	PUNCT	_
do	AUX	do
n't	PART	not
want	VERB	want
_	PUNCT	_
to	PART	to
know	VERB	know
their	PRON	their
names	NOUN	name
,	PUNCT	,
I	PRON	I
tell	VERB	tell
you	PRON	you
!	PUNCT	!
What	PRON	what
do	AUX	do
I	PRON	I
care	VERB	care
about	ADP	about
folk	NOUN	folk
dead	ADJ	dead
and	CCONJ	and
gone	VERB	go
?	PUNCT	?
Upon	SCONJ	upon
my	PRON	my
soul	NOUN	soul
you	PRON	you
are	AUX	be
more	ADV	more
sober	ADJ	sober
when	SCONJ	when
you	PRON	you
've	AUX	have
been	AUX	be
drinking	VERB	drink
than	ADP	than
when	SCONJ	when
you	PRON	you
have	AUX	have
not	PART	not
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
I	PRON	I
must	AUX	must
rest	VERB	rest
a	DET	a
moment	NOUN	moment
,	PUNCT	,
”	PUNCT	""""
he	PRON	he
said	VERB	say
;	PUNCT	;
and	CCONJ	and
as	ADP	as
he	PRON	he
paused	VERB	pause
,	PUNCT	,
holding	VERB	hold
to	ADP	to
the	DET	the
railings	NOUN	railing
,	PUNCT	,
he	PRON	he
measured	VERB	measure
with	ADP	with
his	PRON	his
eye	NOUN	eye
the	DET	the
height	NOUN	height
of	ADP	of
a	DET	a
college	NOUN	college
front	NOUN	front
.	PUNCT	.
“	PUNCT	""""
This	DET	this
is	AUX	be
old	ADJ	old
Rubric	PROPN	Rubric
.	PUNCT	.
And	CCONJ	and
that	DET	that
Sarcophagus	PROPN	Sarcophagus
;	PUNCT	;
and	CCONJ	and
up	ADP	up
that	DET	that
lane	NOUN	lane
Crozier	PROPN	Crozier
and	CCONJ	and
Tudor	PROPN	Tudor
:	PUNCT	:
and	CCONJ	and
all	DET	all
down	ADV	down
there	ADV	there
is	AUX	be
Cardinal	PROPN	Cardinal
with	ADP	with
its	PRON	its
long	ADJ	long
front	NOUN	front
,	PUNCT	,
and	CCONJ	and
its	PRON	its
windows	NOUN	window
with	ADP	with
lifted	VERB	lift
eyebrows	NOUN	eyebrow
,	PUNCT	,
representing	VERB	represent
the	DET	the
polite	ADJ	polite
surprise	NOUN	surprise
of	ADP	of
the	DET	the
university	NOUN	university
at	ADP	at
the	DET	the
efforts	NOUN	effort
of	ADP	of
such	ADJ	such
as	ADP	as
I.	PUNCT	I.
”	PUNCT	""""
“	PUNCT	""""
Come	VERB	come
along	ADP	along
,	PUNCT	,
and	CCONJ	and
I	PRON	I
'll	AUX	will
treat	VERB	treat
you	PRON	you
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
Very	ADV	very
well	ADV	well
.	PUNCT	.
It	PRON	it
will	AUX	will
help	VERB	help
me	PRON	I
home	ADV	home
,	PUNCT	,
for	ADP	for
I	PRON	I
feel	VERB	feel
the	DET	the
chilly	ADJ	chilly
fog	NOUN	fog
from	ADP	from
the	DET	the
meadows	NOUN	meadow
of	ADP	of
Cardinal	PROPN	Cardinal
as	ADP	as
if	SCONJ	if
death	NOUN	death
-	PUNCT	-
claws	NOUN	claw
were	AUX	be
grabbing	VERB	grab
me	PRON	I
through	ADP	through
and	CCONJ	and
through	ADV	through
.	PUNCT	.
As	ADP	as
Antigone	PROPN	Antigone
said	VERB	say
,	PUNCT	,
I	PRON	I
am	AUX	be
neither	CCONJ	neither
a	DET	a
dweller	NOUN	dweller
among	ADP	among
men	NOUN	man
nor	CCONJ	nor
ghosts	NOUN	ghost
.	PUNCT	.
But	CCONJ	but
,	PUNCT	,
Arabella	PROPN	Arabella
,	PUNCT	,
when	SCONJ	when
I	PRON	I
am	AUX	be
dead	ADJ	dead
,	PUNCT	,
you	PRON	you
'll	AUX	will
see	VERB	see
my	PRON	my
spirit	NOUN	spirit
flitting	VERB	flit
up	ADP	up
and	CCONJ	and
down	ADV	down
here	ADV	here
among	ADP	among
these	DET	these
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
Pooh	INTJ	pooh
!	PUNCT	!
You	PRON	you
may	AUX	may
n't	PART	not
die	VERB	die
after	ADV	after
all	ADV	all
.	PUNCT	.
You	PRON	you
are	AUX	be
tough	ADJ	tough
enough	ADV	enough
yet	ADV	yet
,	PUNCT	,
old	ADJ	old
man	NOUN	man
.	PUNCT	.
”	PUNCT	""""
It	PRON	it
was	AUX	be
night	NOUN	night
at	ADP	at
Marygreen	PROPN	Marygreen
,	PUNCT	,
and	CCONJ	and
the	DET	the
rain	NOUN	rain
of	ADP	of
the	DET	the
afternoon	NOUN	afternoon
showed	VERB	show
no	DET	no
sign	NOUN	sign
of	ADP	of
abatement	NOUN	abatement
.	PUNCT	.
About	ADV	about
the	DET	the
time	NOUN	time
at	ADP	at
which	DET	which
Jude	PROPN	Jude
and	CCONJ	and
Arabella	PROPN	Arabella
were	AUX	be
walking	VERB	walk
the	DET	the
streets	NOUN	street
of	ADP	of
Christminster	PROPN	Christminster
homeward	ADV	homeward
,	PUNCT	,
the	DET	the
Widow	PROPN	Widow
Edlin	PROPN	Edlin
crossed	VERB	cross
the	DET	the
green	NOUN	green
,	PUNCT	,
and	CCONJ	and
opened	VERB	open
the	DET	the
back	ADJ	back
door	NOUN	door
of	ADP	of
the	DET	the
schoolmaster	NOUN	schoolmaster
's	PART	's
dwelling	NOUN	dwelling
,	PUNCT	,
which	DET	which
she	PRON	she
often	ADV	often
did	AUX	do
now	ADV	now
before	ADP	before
bedtime	NOUN	bedtime
,	PUNCT	,
to	PART	to
assist	VERB	assist
Sue	PROPN	Sue
in	ADP	in
putting	VERB	put
things	NOUN	thing
away	ADV	away
.	PUNCT	.
Sue	PROPN	Sue
was	AUX	be
muddling	VERB	muddle
helplessly	ADV	helplessly
in	ADP	in
the	DET	the
kitchen	NOUN	kitchen
,	PUNCT	,
for	ADP	for
she	PRON	she
was	AUX	be
not	PART	not
a	DET	a
good	NOUN	good
housewife	NOUN	housewife
,	PUNCT	,
though	SCONJ	though
she	PRON	she
tried	VERB	try
to	PART	to
be	AUX	be
,	PUNCT	,
and	CCONJ	and
grew	VERB	grow
impatient	ADJ	impatient
of	ADP	of
domestic	ADJ	domestic
details	NOUN	detail
.	PUNCT	.
“	PUNCT	""""
Lord	PROPN	Lord
love	VERB	love
'	PRON	'
ee	INTJ	ee
,	PUNCT	,
what	PRON	what
do	AUX	do
ye	PRON	ye
do	AUX	do
that	DET	that
yourself	PRON	yourself
for	ADP	for
,	PUNCT	,
when	SCONJ	when
I	PRON	I
've	AUX	have
come	VERB	come
o	ADP	o
'	PRON	'
purpose	NOUN	purpose
!	PUNCT	!
You	PRON	you
knew	VERB	know
I	PRON	I
should	AUX	should
come	VERB	come
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Oh	INTJ	oh
—	PUNCT	—
I	PRON	I
do	AUX	do
n't	PART	not
know	VERB	know
—	PUNCT	—
I	PRON	I
forgot	VERB	forget
!	PUNCT	!
No	INTJ	no
,	PUNCT	,
I	PRON	I
did	AUX	do
n't	PART	not
forget	VERB	forget
.	PUNCT	.
I	PRON	I
did	AUX	do
it	PRON	it
to	PART	to
discipline	VERB	discipline
myself	PRON	myself
.	PUNCT	.
I	PRON	I
have	AUX	have
scrubbed	VERB	scrub
the	DET	the
stairs	NOUN	stair
since	SCONJ	since
eight	NUM	eight
o'clock	NOUN	o'clock
.	PUNCT	.
I	PRON	I
_	PUNCT	_
must	AUX	must
_	PUNCT	_
practise	VERB	practise
myself	PRON	myself
in	ADP	in
my	PRON	my
household	NOUN	household
duties	NOUN	duty
.	PUNCT	.
I	PRON	I
've	AUX	have
shamefully	ADV	shamefully
neglected	VERB	neglect
them	PRON	they
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
Why	SCONJ	why
should	AUX	should
ye	PRON	ye
?	PUNCT	?
He	PRON	he
'll	AUX	will
get	VERB	get
a	DET	a
better	ADJ	well
school	NOUN	school
,	PUNCT	,
perhaps	ADV	perhaps
be	AUX	be
a	DET	a
parson	NOUN	parson
,	PUNCT	,
in	ADP	in
time	NOUN	time
,	PUNCT	,
and	CCONJ	and
you	PRON	you
'll	AUX	will
keep	VERB	keep
two	NUM	two
servants	NOUN	servant
.	PUNCT	.
'	PRON	'
Tis	VERB	ti
a	DET	a
pity	NOUN	pity
to	PART	to
spoil	VERB	spoil
them	PRON	they
pretty	ADJ	pretty
hands	NOUN	hand
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Do	AUX	do
n't	PART	not
talk	VERB	talk
of	ADP	of
my	PRON	my
pretty	ADJ	pretty
hands	NOUN	hand
,	PUNCT	,
Mrs.	PROPN	Mrs.
Edlin	PROPN	Edlin
.	PUNCT	.
This	DET	this
pretty	ADJ	pretty
body	NOUN	body
of	ADP	of
mine	PRON	mine
has	AUX	have
been	AUX	be
the	DET	the
ruin	NOUN	ruin
of	ADP	of
me	PRON	I
already	ADV	already
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
Pshoo	INTJ	pshoo
—	PUNCT	—
you've	PRON	you've
got	VERB	get
no	DET	no
body	NOUN	body
to	PART	to
speak	VERB	speak
of	ADP	of
!	PUNCT	!
You	PRON	you
put	VERB	put
me	PRON	I
more	ADV	more
in	ADP	in
mind	NOUN	mind
of	ADP	of
a	X	a
sperrit	X	sperrit
.	PUNCT	.
But	CCONJ	but
there	PRON	there
seems	VERB	seem
something	PRON	something
wrong	ADJ	wrong
to	ADP	to
-	PUNCT	-
night	NOUN	night
,	PUNCT	,
my	PRON	my
dear	NOUN	dear
.	PUNCT	.
Husband	NOUN	husband
cross	PROPN	cross
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
No	INTJ	no
.	PUNCT	.
He	PRON	he
never	ADV	never
is	AUX	be
.	PUNCT	.
He	PRON	he
's	AUX	be
gone	VERB	go
to	ADP	to
bed	NOUN	bed
early	ADV	early
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Then	ADV	then
what	PRON	what
is	AUX	be
it	PRON	it
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
I	PRON	I
can	AUX	can
not	PART	not
tell	VERB	tell
you	PRON	you
.	PUNCT	.
I	PRON	I
have	AUX	have
done	VERB	do
wrong	ADJ	wrong
to	ADP	to
-	PUNCT	-
day	NOUN	day
.	PUNCT	.
And	CCONJ	and
I	PRON	I
want	VERB	want
to	PART	to
eradicate	VERB	eradicate
it	PRON	it
…	PUNCT	…
Well	INTJ	well
—	PUNCT	—
I	PRON	I
will	AUX	will
tell	VERB	tell
you	PRON	you
this	DET	this
—	PUNCT	—
Jude	PROPN	Jude
has	AUX	have
been	AUX	be
here	ADV	here
this	DET	this
afternoon	NOUN	afternoon
,	PUNCT	,
and	CCONJ	and
I	PRON	I
find	VERB	find
I	PRON	I
still	ADV	still
love	VERB	love
him	PRON	he
—	PUNCT	—
oh	INTJ	oh
,	PUNCT	,
grossly	ADV	grossly
!	PUNCT	!
I	PRON	I
can	AUX	can
not	PART	not
tell	VERB	tell
you	PRON	you
more	ADJ	more
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Ah	INTJ	ah
!	PUNCT	!
”	PUNCT	""""
said	VERB	say
the	DET	the
widow	NOUN	widow
.	PUNCT	.
“	PUNCT	""""
I	PRON	I
told	VERB	tell
'	PRON	'
ee	PRON	ee
how	SCONJ	how
'	PRON	'
twould	AUX	twould
be	AUX	be
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
But	CCONJ	but
it	PRON	it
sha	AUX	shall
n't	PART	not
be	AUX	be
!	PUNCT	!
I	PRON	I
have	AUX	have
not	PART	not
told	VERB	tell
my	PRON	my
husband	NOUN	husband
of	ADP	of
his	PRON	his
visit	NOUN	visit
;	PUNCT	;
it	PRON	it
is	AUX	be
not	PART	not
necessary	ADJ	necessary
to	PART	to
trouble	VERB	trouble
him	PRON	he
about	ADP	about
it	PRON	it
,	PUNCT	,
as	ADP	as
I	PRON	I
never	ADV	never
mean	VERB	mean
to	PART	to
see	VERB	see
Jude	PROPN	Jude
any	ADV	any
more	ADV	more
.	PUNCT	.
But	CCONJ	but
I	PRON	I
am	AUX	be
going	VERB	go
to	PART	to
make	VERB	make
my	PRON	my
conscience	NOUN	conscience
right	ADJ	right
on	ADP	on
my	PRON	my
duty	NOUN	duty
to	PART	to
Richard	VERB	richard
—	PUNCT	—
by	ADP	by
doing	VERB	do
a	DET	a
penance	NOUN	penance
—	PUNCT	—
the	DET	the
ultimate	ADJ	ultimate
thing	NOUN	thing
.	PUNCT	.
I	PRON	I
must	AUX	must
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
I	PRON	I
wouldn't	ADV	wouldn't
—	PUNCT	—
since	SCONJ	since
he	PRON	he
agrees	VERB	agree
to	ADP	to
it	PRON	it
being	AUX	be
otherwise	ADV	otherwise
,	PUNCT	,
and	CCONJ	and
it	PRON	it
has	AUX	have
gone	VERB	go
on	ADP	on
three	NUM	three
months	NOUN	month
very	ADV	very
well	ADV	well
as	ADP	as
it	PRON	it
is	AUX	be
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Yes	INTJ	yes
—	PUNCT	—
he	PRON	he
agrees	VERB	agree
to	ADP	to
my	PRON	my
living	NOUN	living
as	ADP	as
I	PRON	I
choose	VERB	choose
;	PUNCT	;
but	CCONJ	but
I	PRON	I
feel	VERB	feel
it	PRON	it
is	AUX	be
an	DET	an
indulgence	NOUN	indulgence
I	PRON	I
ought	AUX	ought
not	PART	not
to	PART	to
exact	VERB	exact
from	ADP	from
him	PRON	he
.	PUNCT	.
It	PRON	it
ought	AUX	ought
not	PART	not
to	PART	to
have	AUX	have
been	AUX	be
accepted	VERB	accept
by	ADP	by
me	PRON	I
.	PUNCT	.
To	PART	to
reverse	VERB	reverse
it	PRON	it
will	AUX	will
be	AUX	be
terrible	ADJ	terrible
—	PUNCT	—
but	CCONJ	but
I	PRON	I
must	AUX	must
be	AUX	be
more	ADV	more
just	ADV	just
to	ADP	to
him	PRON	he
.	PUNCT	.
O	INTJ	o
why	SCONJ	why
was	AUX	be
I	PRON	I
so	ADV	so
unheroic	ADJ	unheroic
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
What	PRON	what
is	AUX	be
it	PRON	it
you	PRON	you
do	AUX	do
n't	PART	not
like	VERB	like
in	ADP	in
him	PRON	he
?	PUNCT	?
”	PUNCT	""""
asked	VERB	ask
Mrs.	PROPN	Mrs.
Edlin	PROPN	Edlin
curiously	ADV	curiously
.	PUNCT	.
“	PUNCT	""""
I	PRON	I
can	AUX	can
not	PART	not
tell	VERB	tell
you	PRON	you
.	PUNCT	.
It	PRON	it
is	AUX	be
something	PRON	something
…	PUNCT	…
I	PRON	I
can	AUX	can
not	PART	not
say	VERB	say
.	PUNCT	.
The	DET	the
mournful	ADJ	mournful
thing	NOUN	thing
is	AUX	be
,	PUNCT	,
that	SCONJ	that
nobody	PRON	nobody
would	AUX	would
admit	VERB	admit
it	PRON	it
as	ADP	as
a	DET	a
reason	NOUN	reason
for	ADP	for
feeling	VERB	feel
as	ADP	as
I	PRON	I
do	AUX	do
;	PUNCT	;
so	SCONJ	so
that	SCONJ	that
no	DET	no
excuse	NOUN	excuse
is	AUX	be
left	VERB	leave
me	PRON	I
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Did	AUX	do
you	PRON	you
ever	ADV	ever
tell	VERB	tell
Jude	PROPN	Jude
what	PRON	what
it	PRON	it
was	AUX	be
?	PUNCT	?
”	PUNCT	""""
“	PUNCT	""""
Never	ADV	never
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
I	PRON	I
've	AUX	have
heard	VERB	hear
strange	ADJ	strange
tales	NOUN	tale
o	ADP	o
'	PUNCT	'
husbands	NOUN	husband
in	ADP	in
my	PRON	my
time	NOUN	time
,	PUNCT	,
”	PUNCT	""""
observed	VERB	observe
the	DET	the
widow	NOUN	widow
in	ADP	in
a	DET	a
lowered	ADJ	lowered
voice	NOUN	voice
.	PUNCT	.
“	PUNCT	""""
They	PRON	they
say	VERB	say
that	SCONJ	that
when	SCONJ	when
the	DET	the
saints	NOUN	saint
were	AUX	be
upon	SCONJ	upon
the	DET	the
earth	NOUN	earth
devils	NOUN	devil
used	VERB	use
to	PART	to
take	VERB	take
husbands	NOUN	husband
'	PART	'
forms	NOUN	form
o	ADP	o
'	PUNCT	'
nights	NOUN	night
,	PUNCT	,
and	CCONJ	and
get	VERB	get
poor	ADJ	poor
women	NOUN	woman
into	ADP	into
all	DET	all
sorts	NOUN	sort
of	ADP	of
trouble	NOUN	trouble
.	PUNCT	.
But	CCONJ	but
I	PRON	I
do	AUX	do
n't	PART	not
know	VERB	know
why	SCONJ	why
that	DET	that
should	AUX	should
come	VERB	come
into	ADP	into
my	PRON	my
head	NOUN	head
,	PUNCT	,
for	ADP	for
it	PRON	it
is	AUX	be
only	ADV	only
a	DET	a
tale	NOUN	tale
…	PUNCT	…
What	PRON	what
a	DET	a
wind	NOUN	wind
and	CCONJ	and
rain	NOUN	rain
it	PRON	it
is	AUX	be
to	ADP	to
-	PUNCT	-
night	NOUN	night
!	PUNCT	!
Well	INTJ	well
—	PUNCT	—
don't	ADV	don't
be	AUX	be
in	ADP	in
a	DET	a
hurry	NOUN	hurry
to	PART	to
alter	VERB	alter
things	NOUN	thing
,	PUNCT	,
my	PRON	my
dear	NOUN	dear
.	PUNCT	.
Think	VERB	think
it	PRON	it
over	ADP	over
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
No	INTJ	no
,	PUNCT	,
no	INTJ	no
!	PUNCT	!
I	PRON	I
've	AUX	have
screwed	VERB	screw
my	PRON	my
weak	ADJ	weak
soul	NOUN	soul
up	ADP	up
to	ADP	to
treating	VERB	treat
him	PRON	he
more	ADV	more
courteously	ADV	courteously
—	PUNCT	—
and	CCONJ	and
it	PRON	it
must	AUX	must
be	AUX	be
now	ADV	now
—	PUNCT	—
at	ADP	at
once	ADV	once
—	PUNCT	—
before	ADP	before
I	PRON	I
break	VERB	break
down	ADP	down
!	PUNCT	!
”	PUNCT	""""
“	PUNCT	""""
I	PRON	I
do	AUX	do
n't	PART	not
think	VERB	think
you	PRON	you
ought	AUX	ought
to	PART	to
force	VERB	force
your	PRON	your
nature	NOUN	nature
.	PUNCT	.
No	DET	no
woman	NOUN	woman
ought	AUX	ought
to	PART	to
be	AUX	be
expected	VERB	expect
to	PART	to
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
It	PRON	it
is	AUX	be
my	PRON	my
duty	NOUN	duty
.	PUNCT	.
I	PRON	I
will	AUX	will
drink	VERB	drink
my	PRON	my
cup	NOUN	cup
to	ADP	to
the	DET	the
dregs	NOUN	dreg
!	PUNCT	!
”	PUNCT	""""
Half	DET	half
an	DET	an
hour	NOUN	hour
later	ADV	later
when	SCONJ	when
Mrs.	PROPN	Mrs.
Edlin	PROPN	Edlin
put	VERB	put
on	ADP	on
her	PRON	her
bonnet	NOUN	bonnet
and	CCONJ	and
shawl	NOUN	shawl
to	PART	to
leave	VERB	leave
,	PUNCT	,
Sue	PROPN	Sue
seemed	VERB	seem
to	PART	to
be	AUX	be
seized	VERB	seize
with	ADP	with
vague	ADJ	vague
terror	NOUN	terror
.	PUNCT	.
“	PUNCT	""""
No	INTJ	no
—	PUNCT	—
no	INTJ	no
—	PUNCT	—
don't	ADV	don't
go	VERB	go
,	PUNCT	,
Mrs.	PROPN	Mrs.
Edlin	PROPN	Edlin
,	PUNCT	,
”	PUNCT	""""
she	PRON	she
implored	VERB	implore
,	PUNCT	,
her	PRON	her
eyes	NOUN	eye
enlarged	VERB	enlarge
,	PUNCT	,
and	CCONJ	and
with	ADP	with
a	DET	a
quick	ADJ	quick
nervous	ADJ	nervous
look	NOUN	look
over	ADP	over
her	PRON	her
shoulder	NOUN	shoulder
.	PUNCT	.
“	PUNCT	""""
But	CCONJ	but
it	PRON	it
is	AUX	be
bedtime	NOUN	bedtime
,	PUNCT	,
child	NOUN	child
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Yes	INTJ	yes
,	PUNCT	,
but	CCONJ	but
—	PUNCT	—
there	PRON	there
's	AUX	be
the	DET	the
little	ADJ	little
spare	ADJ	spare
room	NOUN	room
—	PUNCT	—
my	PRON	my
room	NOUN	room
that	PRON	that
was	AUX	be
.	PUNCT	.
It	PRON	it
is	AUX	be
quite	ADJ	quite
ready	ADJ	ready
.	PUNCT	.
Please	INTJ	please
stay	VERB	stay
,	PUNCT	,
Mrs.	PROPN	Mrs.
Edlin!—I	PROPN	Edlin!—I
shall	AUX	shall
want	VERB	want
you	PRON	you
in	ADP	in
the	DET	the
morning	NOUN	morning
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Oh	INTJ	oh
well	INTJ	well
—	PUNCT	—
I	PRON	I
do	AUX	do
n't	PART	not
mind	VERB	mind
,	PUNCT	,
if	SCONJ	if
you	PRON	you
wish	VERB	wish
.	PUNCT	.
Nothing	PRON	nothing
will	AUX	will
happen	VERB	happen
to	ADP	to
my	PRON	my
four	NUM	four
old	NOUN	old
walls	NOUN	wall
,	PUNCT	,
whether	SCONJ	whether
I	PRON	I
be	VERB	be
there	ADV	there
or	CCONJ	or
no	INTJ	no
.	PUNCT	.
”	PUNCT	""""
She	PRON	she
then	ADV	then
fastened	VERB	fasten
up	ADP	up
the	DET	the
doors	NOUN	door
,	PUNCT	,
and	CCONJ	and
they	PRON	they
ascended	VERB	ascend
the	DET	the
stairs	NOUN	stair
together	ADV	together
.	PUNCT	.
“	PUNCT	""""
Wait	VERB	wait
here	ADV	here
,	PUNCT	,
Mrs.	PROPN	Mrs.
Edlin	PROPN	Edlin
,	PUNCT	,
”	PUNCT	""""
said	VERB	say
Sue	PROPN	Sue
.	PUNCT	.
“	PUNCT	""""
I	PRON	I
'll	AUX	will
go	VERB	go
into	ADP	into
my	PRON	my
old	ADJ	old
room	NOUN	room
a	DET	a
moment	NOUN	moment
by	ADP	by
myself	PRON	myself
.	PUNCT	.
”	PUNCT	""""
Leaving	VERB	leave
the	DET	the
widow	NOUN	widow
on	ADP	on
the	DET	the
landing	NOUN	landing
Sue	PROPN	Sue
turned	VERB	turn
to	ADP	to
the	DET	the
chamber	NOUN	chamber
which	DET	which
had	AUX	have
been	AUX	be
hers	PRON	hers
exclusively	ADV	exclusively
since	SCONJ	since
her	PRON	her
arrival	NOUN	arrival
at	ADP	at
Marygreen	PROPN	Marygreen
,	PUNCT	,
and	CCONJ	and
pushing	VERB	push
to	ADP	to
the	DET	the
door	NOUN	door
knelt	VERB	kneel
down	ADP	down
by	ADP	by
the	DET	the
bed	NOUN	bed
for	ADP	for
a	DET	a
minute	NOUN	minute
or	CCONJ	or
two	NUM	two
.	PUNCT	.
She	PRON	she
then	ADV	then
arose	VERB	arise
,	PUNCT	,
and	CCONJ	and
taking	VERB	take
her	PRON	her
night	NOUN	night
-	PUNCT	-
gown	NOUN	gown
from	ADP	from
the	DET	the
pillow	NOUN	pillow
undressed	VERB	undress
and	CCONJ	and
came	VERB	come
out	ADP	out
to	ADP	to
Mrs.	PROPN	Mrs.
Edlin	PROPN	Edlin
.	PUNCT	.
A	DET	a
man	NOUN	man
could	AUX	could
be	AUX	be
heard	VERB	hear
snoring	VERB	snore
in	ADP	in
the	DET	the
room	NOUN	room
opposite	ADV	opposite
.	PUNCT	.
She	PRON	she
wished	VERB	wish
Mrs.	PROPN	Mrs.
Edlin	PROPN	Edlin
good	ADJ	good
-	PUNCT	-
night	NOUN	night
,	PUNCT	,
and	CCONJ	and
the	DET	the
widow	NOUN	widow
entered	VERB	enter
the	DET	the
room	NOUN	room
that	PRON	that
Sue	PROPN	Sue
had	AUX	have
just	ADV	just
vacated	VERB	vacate
.	PUNCT	.
Sue	PROPN	Sue
unlatched	VERB	unlatche
the	DET	the
other	ADJ	other
chamber	NOUN	chamber
door	NOUN	door
,	PUNCT	,
and	CCONJ	and
,	PUNCT	,
as	ADP	as
if	SCONJ	if
seized	VERB	seize
with	ADP	with
faintness	NOUN	faintness
,	PUNCT	,
sank	VERB	sink
down	ADP	down
outside	ADP	outside
it	PRON	it
.	PUNCT	.
Getting	VERB	get
up	ADP	up
again	ADV	again
she	PRON	she
half	ADV	half
opened	VERB	open
the	DET	the
door	NOUN	door
,	PUNCT	,
and	CCONJ	and
said	VERB	say
“	PUNCT	""""
Richard	PROPN	Richard
.	PUNCT	.
”	PUNCT	""""
As	ADP	as
the	DET	the
word	NOUN	word
came	VERB	come
out	ADP	out
of	ADP	of
her	PRON	her
mouth	NOUN	mouth
she	PRON	she
visibly	ADV	visibly
shuddered	VERB	shudder
.	PUNCT	.
The	DET	the
snoring	NOUN	snoring
had	AUX	have
quite	ADV	quite
ceased	VERB	cease
for	ADP	for
some	DET	some
time	NOUN	time
,	PUNCT	,
but	CCONJ	but
he	PRON	he
did	AUX	do
not	PART	not
reply	VERB	reply
.	PUNCT	.
Sue	PROPN	Sue
seemed	VERB	seem
relieved	ADJ	relieved
,	PUNCT	,
and	CCONJ	and
hurried	VERB	hurry
back	ADV	back
to	ADP	to
Mrs.	PROPN	Mrs.
Edlin	PROPN	Edlin
's	PART	's
chamber	NOUN	chamber
.	PUNCT	.
“	PUNCT	""""
Are	AUX	be
you	PRON	you
in	ADJ	in
bed	ADJ	bed
,	PUNCT	,
Mrs.	PROPN	Mrs.
Edlin	PROPN	Edlin
?	PUNCT	?
”	PUNCT	""""
she	PRON	she
asked	VERB	ask
.	PUNCT	.
