id	title	author	authoryearofbirth	authoryearofdeath	subgenre	historical	scifi	lovestory	detective	downloads	type	subjects	language	length
PG60614	Rat in the Skull	Phillips, Rog	1909	1965	scifi	no	yes	no	no	96	Text	{'Experiments -- Fiction', 'College teachers -- Fiction', 'Rats -- Fiction', 'Psychological fiction', 'Science fiction', 'Cyborgs -- Fiction'}	['en']	11351
PG7157	The Prince and the Pauper, Part 4.	Twain, Mark	1835	1910	historical	yes	no	no	no	30	Text	{'Edward VI, King of England, 1537-1553 -- Fiction', 'Lookalikes -- Fiction', 'Boys -- Fiction', 'Historical fiction', 'Social classes -- Fiction', 'Impostors and imposture -- Fiction', 'London (England) -- Fiction', 'Poor children -- Fiction', 'Princes -- Fiction'}	['en']	11471
PG29322	When the Sleepers Woke	Zagat, Arthur Leo	1896	1949	scifi	no	yes	no	no	37	Text	{'Science fiction'}	['en']	11489
PG62075	Gods of Space	Cummings, Ray	1887	1957	scifi	no	yes	no	no	45	Text	{'Poliomyelitis -- Research -- Fiction', 'Asteroids -- Fiction', 'Human-alien encounters -- Fiction', 'Mines and mineral resources -- Fiction', 'Science fiction'}	['en']	11639
PG7485	The Last American: A Fragment from the Journal of Khan-li, Prince of Dimph-yoo-chur and Admiral in the Persian Navy	Mitchell, John Ames	1845	1918	scifi	no	yes	no	no	29	Text	{'Science fiction'}	['en']	11731
PG19338	The Keeper	Piper, H. Beam	1904	1964	scifi	no	yes	no	no	41	Text	{'Science fiction'}	['en']	11922
PG68236	The colour out of space	Lovecraft, H. P. (Howard Phillips)	1890	1937	scifi	no	yes	no	no	663	Text	{'Extraterrestrial beings -- Fiction', 'Farmers -- Fiction', 'Horror tales', 'Human-alien encounters -- Fiction', 'Families -- Fiction', 'Science fiction', 'Meteorites -- Fiction'}	['en']	11952
PG29046	The Heads of Apex	Weiss, George Henry	1898	1946	scifi	no	yes	no	no	31	Text	{'Science fiction'}	['en']	11969
PG7162	The Prince and the Pauper, Part 9.	Twain, Mark	1835	1910	historical	yes	no	no	no	61	Text	{'Edward VI, King of England, 1537-1553 -- Fiction', 'Lookalikes -- Fiction', 'Boys -- Fiction', 'Historical fiction', 'Social classes -- Fiction', 'Impostors and imposture -- Fiction', 'London (England) -- Fiction', 'Poor children -- Fiction', 'Princes -- Fiction'}	['en']	12093
PG63796	What Hath Me?	Kuttner, Henry	1915	1958	scifi	no	yes	no	no	37	Text	{'Asteroids -- Fiction', 'Adventure stories', 'Science fiction'}	['en']	12119
PG29059	The World Beyond	Cummings, Ray	1887	1957	scifi	no	yes	no	no	47	Text	{'Science fiction'}	['en']	12135
PG32833	A Woman's Place	Clifton, Mark	1906	1963	scifi	no	yes	no	no	37	Text	{'Man-woman relationships -- Fiction', 'Robinsonades', 'Science fiction'}	['en']	12177
PG29408	Wanderer of Infinity	Vincent, Harl	1893	1968	scifi	no	yes	no	no	45	Text	{'Science fiction'}	['en']	12183
PG2349	The Adventure of the Devil's Foot	Doyle, Arthur Conan	1859	1930	detective	no	no	no	yes	189	Text	{'Holmes, Sherlock (Fictitious character) -- Fiction', 'Detective and mystery stories', 'Private investigators -- England -- Fiction'}	['en']	12319
PG29284	An Encore	Deland, Margaret Wade Campbell	1857	1945	lovestory	no	no	yes	no	35	Text	{'Love stories', 'Older people -- Fiction'}	['en']	12403
PG40016	The Last Rose of Summer	Hughes, Rupert	1872	1956	lovestory	no	no	yes	no	37	Text	{'Older women -- Fiction', 'Love stories', 'Single women -- Fiction'}	['en']	12433
PG16493	The Man Without a Country	Hale, Edward Everett	1822	1909	historical	yes	no	no	no	39	Text	{'Exiles -- Fiction', 'Stateless persons -- Fiction', 'Burr Conspiracy, 1805-1807 -- Fiction', 'Historical fiction', 'Soldiers -- Fiction', 'Sea stories'}	['en']	12567
PG29321	Vulcan's Workshop	Vincent, Harl	1893	1968	scifi	no	yes	no	no	43	Text	{'Science fiction'}	['en']	12611
PG22154	Creatures of Vibration	Vincent, Harl	1893	1968	scifi	no	yes	no	no	43	Text	{'Science fiction'}	['en']	12621
PG62170	The Star-Master	Cummings, Ray	1887	1957	scifi	no	yes	no	no	63	Text	{'Adventure stories', 'Science fiction', 'Venus (Planet) -- Fiction', 'War stories'}	['en']	12663
PG69042	Potemkin village	Pratt, Fletcher	1897	1956	scifi	no	yes	no	no	36	Text	{'Space colonies -- Fiction', 'Science fiction', 'Venus (Planet) -- Fiction'}	['en']	12668
PG22513	Sense from Thought Divide	Clifton, Mark	1906	1963	scifi	no	yes	no	no	49	Text	{'Psychic ability -- Fiction', 'Science fiction'}	['en']	12763
PG49462	Lord Tedric	Smith, E. E. (Edward Elmer)	1890	1965	scifi	no	yes	no	no	88	Text	{'Time -- Fiction', 'Science fiction', 'Blacksmiths -- Fiction'}	['en']	12907
PG5759	The Day of the Dog	McCutcheon, George Barr	1866	1928	lovestory	no	no	yes	no	33	Text	{'Widows -- Fiction', 'Inheritance and succession -- Fiction', 'United States -- Fiction', 'Adventure stories', 'Love stories', 'Lawyers -- Fiction', 'Humorous stories'}	['en']	12916
